,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X300059.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.200101775290875,0,0.206045319556846,0,0,0,8.67361737988404e-19,0,0,0.143724131957568,0,0,0,0.0657127655028485,0,0,0,0,0,0,0,0,0,0,0.052369492546382,0,0,0,0.146986566452427,0,0,0,0,0,0,0,0,0,0,-0.0147722073695197,0,0,0,0,0,0,0,0,0,0.21741708077406,0
X601939.CH.EQUITY,0.163554708067371,0,0,0.322996160870912,0,0,0,0,0,0,0.0532102211402251,0,0,0.285305611017644,0,0,0,0,0,0,0,0,0,0,-0.107445058035473,0.203460508130497,0,0,0,0,-0.0997275074539909,0,0,0,0,0,-0.0235617054908279,0,0,0,-0.0153336686468056,0,0,0,0,0,0,0,0.0477319399527481,0,-0.00299138110748471,0
X601318.CH.EQUITY,0,0,0,0,0,0.0937479241439913,0,0,0,0,0,0,0.0897709171609193,0,0,0,0,0.0624435777577071,0.171418838466083,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0360801555918003,0,0.00701027896606203,0,0,0,0,0,0.023740187800215,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.492585501703728,0,0,0.119415028982999,0,0,0,0,0,0.0996272884119031,0,0.116532275857444,0.0228316114540074,0,0,0,0,0,0.142673626716018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155648184957847,0,0,0,-0.0416458922640955,0,-0.0289461826307285,0,0,0,0,0.0338876541994865,0,-0.0952724961995459,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.339011973228633,0,0,0,0,0,0.355632445718265,0,0,0,0,0.0463021741487457,0.146639334302365,0,0.0928857173153838,0.0728477930699629,0,0,0,0,0,0,0,0.0645260096181399,0,0,0,0,0,0,0,0,0,-0.480556188910441,0,0,0,0.0343067516488445,0,0,0,0,0,0,0,0,0,0,0.337988845934224
X600036.CH.EQUITY,0,0.179046249135096,0.0164013049785536,0,0,0,0,0,0.0987853623965575,0,0,-0.0295430515077001,0.124222554952403,0,0,0,0,0.169854842078612,0,0,-0.0217684643855011,0,0,0.131458100260682,0.029609619959259,0,0,0,0,0,0,0,0.36793446074016,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0310548429439335,0,0,0,0.0615918141440586,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0861041356785226,0,0,0.17546927511311,0,0,0.288849020533544,-6.93889390390723e-18,0,0,0,0.136687936317464,0,0,0,0,0,0,0.0900519931044683,0,0,0,0,0,0,0,0,0,0,0.150651824450928,0,0.0357588749431161,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436568235154326,0,0,-0.0376182563735745,0,0,0,-0.381251570994846,0.61046600717537,0,0,0.0433560676658578,0,0.690244920457752,0,0.0174761920481758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148249777579552,0,0,0.28614409343333,0,0,0,0
X601628.CH.EQUITY,0,0.0182661461697282,0.0141993913604725,0,0,0.286443223587994,0,0,0,0,0,-0.116916432672525,0,0,0,0,0,0,0,0,0,0.325686555281134,0,0.0887998279659843,0,0,0,0,0.0798241151464868,0,0,0,0,0,0.0586480692656114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167946516428385,0.0621917169953333
X601658.CH.Equity,0,0,0,0,0.118491515990767,0,0,0,0,0,0,-0.106910815871547,0,0.114735553691769,0,0,0,0.0967930459381906,0.22711065616705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157175906981551,0.323854412603154,0,-0.147226341088813,-0.135906545253963,0,0,0,0,0.104312947132291,0,0,0,0,-5.42101086242752e-20,0
