,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0.379192118240172,0,0.0217682902287411,0,0,0,0.0279599073954645,0,4.33680868994202e-19,0,0,0,0.0953047816276646,0.149108158400959,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0781869864005881,0,0,0,0,0,0,0.0355928159278589,0,0.0050409774640659,-0.000578564945561782,0,0.0390164282974665,0,-0.0882549931139065,0
X601318.CH.EQUITY,0,0,3.46944695195361e-18,0,-6.93889390390723e-18,0,0,0,0,-0.0160481180590985,0,0,0,0,0.175398244802725,0,0,0,3.46944695195361e-18,0.355607602415307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179364593886923,0,0.0921748638674386,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.144514566960501
X601939.CH.EQUITY,0.00789168818597368,0,0,0,0.695782599451474,0,0,0,0,0.0421536182039907,0.210605596233041,0,0,-0.0311457210537052,0,0.048858133822187,0,0.0622410577574596,0,0,0,0,0,0.0151314103818872,0,0,0,0,0.0187211436280929,0,0,0,0,0,0,0,0,0,0,0,0.0478477375880011,0,0,0,0,0,0,0,0,0,0,-0.0505255164298109
X601628.CH.EQUITY,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.160333716057287,0,0.0669372241095604,0,0,0,0,0,0,0.335275844267697,0,0,0.196744967114477,0,0.0888626418345242,0,0,-0.00443348418740184,0,0,0,0,0,0.160792786387722,0.0343862819065455,0.0767435546430878,0,0,0,0,0,0,0,0,0,0,0,0.150681103210552,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.962257483965477,0,0,0,0,-0.0707622700148577,0,0,0.071606543600556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196090854153322,-0.0474583123922804,0,0,0,0,0,0,0,-0.0170447687116611,0
X600036.CH.EQUITY,0,0.228066857431973,0.0740172246268275,0,0.159018818728378,0,0,0.0961261488668679,0,0,0,0,0,0,0.255796726690446,0,0,0.0865655355157485,0,0,0,0,0,0,0,0.203707078807708,0,0,0.0558058014978936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0.144536112474699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603487745562491,0,0.0245943968553183,0,0,0,0,0,0,0,0,0,0,-0.051408612411427,-0.0255626821047521,0,0,0,0,0,0,0,0,-0.0853502322937544,0,0,0,-0.090516663889989,0.908004054287027,0,-0.0555009731387618,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0320628233688795,0,0,0,0,0,0,0,0,0,0,-0.0407737009312596,0,0.280173749511758,0,0,0.122792473353761,0.0174652854713853,0,0,-0.160269077941356,0,0.045798867679919,0,0,0,0,0.117997517048704,0.0913848114252178,0,0,0,0.152727458963459,0,0.171836638337508,-0.0940972689998198,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.225301312674539,0,0,0,0,0,-0.0474485357138712,0,0,0,0,0,0,0,0.0826479056083301,0.345559814163445,0,0.126030743446625,0,0,0,0,-0.0545494778474551,0,0,0.0917863638101305,0,0,-0.0486713067325633,0.147219510700516,0,0.313557894160081,0.0339093925445233,0,0,0,0,0.068263258166044,0,0
X388.HK.EQUITY,0,0.0977804202170642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161308993611803,0,0,0,0.10368773397578,0,0.0552845362163322,0,0,0,0,0,0,0.110930682637704,0,0,0.096587050706672,0,0,0,0.178395570131772,0.117150764083636,0.210279314112952,0,0,0,-0.260665363020227,0,0,0,0.302064274716143,0,0,0,0,0.0321710461905297
X601658.CH.Equity,0.128715919960533,0,0.259639935110353,0,0.0624171378790321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154381937627361,0,0.233398865044416,0,0,0,0,0,0,0,0,0.0417051124200919,0,-0.0498311667019139,0,0,0,0.0723649109789356,0,0,0,0.0750707424830773,0,0
