,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.295424792303722,0.0273530614270923,0,0,0,0.447030742910647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105027069371537,0.0519833861797118,0,0,0,0,0,0,0,0,0,0,0.0796416752452638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.152630584740361,0,0,0,0,0,0.17415193936193,0,0,0.0463003209702354,0.125734695746885,0,0.0566078821133426,0,0,0.0285674503161734,0,0,0.1509894854476,0,0,0,0,0,0,0,0,0,0.06615941320201,0,0.0601686294852193,0,0,0,0,0.0590043295361369,0,0,0,0,-0.039570862339496,0,0,0,0,0,0,0,0,0.0472270099910526
X601939.CH.EQUITY,0.455165673051555,0.133281725685366,0,0,0,0,0,0.244159725532847,0,0,0,0,0,0,0,0,0.0117339052083686,0,0,0,0,-0.139387025660584,0,0,0,0,0,0,0.160632279468854,0,0,0,0.118898799261267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117172263371631,0.156791698862247,0
X600036.CH.EQUITY,0,0.126244757689738,0,0,0,0,0.0746544390695575,0.0919746454995566,0,0,0,0,0.100503417514422,0,0,0.00405361950091821,0,0,0,0,0,0,0.0122659337706397,0,0,0.0923449615532519,0,0,0.0846095231238211,0.0033881975251185,0,0,0,0,0,0,0,0.0345004125060886,0,0,0,0,0,0,0,0,0,0,0,0.342732568519369,-0.223497093559993,0
X601288.CH.EQUITY,0,0.000440502997980772,0,0,0,0,0,0.562345159973501,0,0,-0.0819462983123239,0.0378543731267286,0,0,0,0,0,0,0,0,0,0.0601391871457876,0.0758829523055333,0,0,0.104991241557289,0,0,0.1126480560109,0,0,0,0.0556665802997379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053082522733961,0,0,0.00565921012893211,0
X601628.CH.EQUITY,0.0977290996321747,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0549900999996628,0,0,-0.269751103750053,0,0,0,0,0,0.106996210617754,0,0,0,0,-0.0363806036139975,0,0,0,0,0,0,0.573093452744004,0.141089479575158,0,0,0,0,0,0.00148660950722628,0,0,0,0,0.0878543593047867,0,0,0.00218080283484593,0,0.035767817252297,0.136964542961244
X1299.HK.EQUITY,0,0,-0.0532495372068426,0.0366577521634807,0,0,0,0,0,0,0.149342196737812,0,0,0,0,0,0,0,0,0.165930878288921,0,0,0.21263856445164,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.06059954722731,0,-5.42101086242752e-20,0,0.160538790265502,0.0342796983870998,0,0.149706390192915,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.138388473055825,0,0.0943785165062189,0,0.37267772818085,0,0,0,0,0,0,0,0.21842270421438,0,0,0,0.110990571323994,0,0,0,0,0,0.0172116135338605,0,0,0,0,0,0,0,0.120427116928613,0,0,0,0,0,0.0108999714856903,0,0,0,0,0,0.00592957315776479,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.124987609272819,0,0,0,0,0,0,0,0,0,0,0,-0.0882069359519996,0,0,0,0,0,0,0.238755961584898,0,0.185876574450021,0,0.140669456776706,0,0,0,0,0,0,0,0.0546747791655511,0,0,0,0,0,-0.0670604115385932,0.196609773407001,0.0532186308972246,0,0.270689888427377,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0644172686626974,0.123450050622542,0,0,0.0894435094880372,0,0,0,0,0,0,0,0,0,0,0.172176582908345,0.0198623799113683,0.428268954633743,0,0,0,0,0.0495058530098515,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0354798386893076
