,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.182872358153129,0.239939294797936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430112140065783,0,0.0740876495616503,-0.416521295672322,0,0,0,0,0.685898707172598,0.13334975041532,0,-0.210521310123298,-0.023355611715961,0,0.168814714770046,-0.0353080150477827,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.140124130057525,0,0.00795771652784499,0.00448824751704071,0,0,0,0,0.0485961447977009,0,0,0.168088512737049,0,0,0,0,0.0581072691151573,0,0,0,0,0,0.0636227931601769,0,0,0,0,0,0,0,0,0,0,0.575912705555721,0.0365685819555238,-0.0759017875356732,0,0,0,0,0,0,-0.0308534937931486,0,-0.0398050652965045
X601939.CH.EQUITY,0.230521433497603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125047642774786,0,0,0,0,0,0,0,0,0.0470445658359182,0,0,-0.00547684676000836,0,0.374465928855985,0,0,0,0,-0.0182074250445465,0,0.073229828753331,0,0,0,0,0.0438339017915146,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.239233251766016,0,0,0,0,0,0,0.0897643127300068,0,0,0,0,0,0,0.131782238016188,0,0,-0.0284624955482542,0,0,0,0,0.114844878785215,0,0,0,0,0,-0.0714488045870451,0,0,0,0,0,0.25188307760355,0,0,0,0.174652465162423,0,0,0,0,0.0824979540441701,-0.00254343195956569,-0.0189523740465475
X5.HK.EQUITY,-0.204555106947467,-0.0833785344937638,0,0.120735791257287,0,0,0,0,0,0,0,0,0,0,0.269085210678781,0,0.342544973420648,0,0,0,0,0.168767707458702,0,0,0.276442038722827,-0.0330059189263733,0,0,-0.202939139823229,0,0,0,0,-0.168125480040362,0,0,0,0,0,0,0.220027860193974,-0.172008012520386,0.0341294674764004,0,0,-0.00457138369299675,0,0,-0.120875043109579,0,0
X601988.CH.EQUITY,0.238688999555641,0,0,0.572958260154556,0,0,0,0,0,0,0.119124685754128,0,0.141795845223787,0,-0.0657390307978434,0,0.0832124122262178,0,0.00915055108656899,0,0.0177494224488176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374471056746626
X600036.CH.EQUITY,0,0.696078856751088,0.0392896986841981,0,0,0,0,0,-0.18803642345493,0,0,0,-0.0164108723548928,0,0,0,0,0,0.152758380949483,0,0,0,0,0,0,0.0417136269757909,0,0,0.0327192632923213,0,0,0,0,0,0,0,0,0,0,0,0.264897853651453,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296617692331876,-0.0971904631749786,0.0243821310943586,0.145038498070103,0,0,0.141467247040112,0,3.46944695195361e-18,0.235123368366236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0621354953101264
X601628.CH.EQUITY,0,0.129930268660052,0,0.129692663757728,0,0,0,0,0,0,0.0369591375736945,0,0,0.251290314400626,0,0,0,0.0364600740631451,0,0,0,0,0.111485285146717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195663368861255,0,0.0186079467196133,0,0,0,0,0,0,0,0,0,-0.00702496315949562,0
X601328.CH.EQUITY,0,0.099274189120428,0.120878293720233,0.320776431381499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499714710967892,0.0829471370661175,0.00645426466078263,0,0.0191749698115514,0,0,0,0.180967752026525,0,0,0,-0.0238028013336095,0,0,0,0,0,0,0,0,0,0,0,0,0.105769619067631,0,0,0,-0.0368687725562609,0,0,-0.248669784905409
