,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X2007.HK.EQUITY,0.0615693490486057,0,0,0,0,0,0.0968677524083104,0.297829910864821,0.0668159267150428,0.00655762136290052,0,0,0,0,0,0,0,0,0,0,0,0.0306695712132094,0,0,0,0.104163123178645,0,0.115525865208427,0,0,0,0,0,0,0,0.0144721814340681,0,0,0,0,0,0,0,0,0,0.149557339564377,0,0,0,0,0,0
X267.HK.EQUITY,0,0.0585909009935779,0,0,0,0,0,0,0.0573189884281781,0.184395505453743,0,0,0,0,0,0,0,0,0,0,0.0588173166292111,0,0.027585492493477,0,0,0,0,0,0,0,0,0.0710494451019482,0.0636588346409434,0,0,0,0,0,0,0,0,0,0,0.0352901736742952,0,0.0482991217790381,0,0,0.317142105998316,0,0,-0.0996664195022701
X600048.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0427992004054599,0,0,0.665627033498044,0,0,0,0.0992915384089548,0,0,0,0,0,0,0,0,0,0,0,0.017410242648844,0,0,0,0,0,0,0,0,0,-0.0209115054556044,0,0,0,0,0,0,-0.0719965604029782,0,0
X601818.CH.EQUITY,0,0,0,0.256454639647188,0.0661378829574945,0,0,0,0,0,0,0,0,0.00981916631903289,0.0492206338139697,0.0894938592288331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144779891046592,0,0,0,0,0,0.0448531950421242,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0.411170644910731,0,0,0,0,0,0,0,0,0,0,0,0.152966769666386,0,0,0.201693728469006,0,0,0,0,0,0,-0.0871339342858297,-0.180153925787696,0.231817581459037,0,0,0,0,0,0,0,0,0,0.0578409205393394,-0.00647301024438645,0,0,0,0,0,0,0.352400316094094,0,0,0.0670920186747402
X601688.CH.EQUITY,0.0106834571030306,0,0,0,0,0.00882884932881248,0,0,0,0,0,0.153160864261458,0,0,0,0,0,0,0,0,0,-0.0892094123795707,0.0782146196587251,0,0,0,0,0,0,0,0,0,0,0,0.155779896644135,0,0,0,0.428962316141167,0,0,0,0,0,0.103509723977143,0,0.0578722253576775,0.156889663850104,0,0,0,0.0237822502751588
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.0564092537620474,0,0,0,0,0.0785496129589183,0,0,0,0.0688705175344955,0.0222163171629713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50134969680749,0,0,0.0385630555850522,0,0,0,0,0,0,0.0334780955313736,0,0,0.00785642354395477,0.0558373599886619,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.100356988024236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821388905454503,0,0.340723040222168,0.420400432270721,0,-0.131583871890002,0,0,0,0,0,0,0,0,0,0,0,0,0.0369502671194342,0.0926527225238677,0,0.356835969395628,0,0,0,0,-0.40954592097452,0
X601336.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0.0660731413024242,0,0,0,0,0,0,0,0,0,0,0,0.495654304860839,0,0.142754434893525,0,0,0.036710714027999,0,0,0,0,0.00126455163052399,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946427083706441,0,0.0672840667744205,0,0.0601890794492696,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0.0515903141115248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212399766964515,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.138949864439804,0,0.582449291487693,0,0,0,0,0.0618566986476297,0,0,0.0664419346328196,0.0616013192808645,0,0,0,-0.0304367241552622
