,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.133263694531692,-0.133870249760729,0,0,0,0,0,0,0.432409524440629,0,0,-0.0564715707456342,0,0,0,0,0,-0.0490099525067821,0,0,0,0,0,0,0,0,-0.0459900020490689,0,0.665401861570008,0,0,-0.0564867216422897,0,0,0,0,0,-0.0683419007093983,-0.0272726743279619,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.060572728193798,0.00650181273947338,0.169776552532983,0,0,0,0,0.130742642757634,0,0,0,0,0.078455234727513,0,0.104328588576939,0,0,0,0,0,0.0375357320309544,0,0,0,0.0497947704389115,-0.0310188933490742,0,0.0386885092028045,0.0704640214048336,0,0,0,0,0.237001997153961,0,-5.42101086242752e-20,0,0,0.00508747428877388,0,0,0,0,0,0
X601939.CH.EQUITY,0.361961347715396,0,0,0,0,0,0,0,0,0.0330450712853396,0,0,0,0,0,0,0,0,0,0,0,0,0.152357653495622,0,0,-0.295767121573636,0,0.0416611489871665,0,0,-0.0432934651979208,0,0,0,0,-0.0618813748615102,0,0.049953330814023,0,0,0.599966550205448,0,0,0,-0.012985506091617,0,0,0,0,0,0.108111749275656
X601288.CH.EQUITY,0,0,0,0,-0.179221740245542,0,0,0,0,0,0.436510393836168,0,0,0,0.347032845901379,0.0051594763415229,-0.0956145553126437,0,0,-0.154721032830916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158493805722627,0,0,0,0,0,0,0,0,0,0,0,0,0.00810693042690261
X5.HK.EQUITY,0,0,0,0,0,0.147326443300342,0,0.166397116044651,0,0,0.153943139199618,0,0,0,0.215905860986243,0,0,0.093322504848875,8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.174583852904287,0,0,0,0,0,0,0,0,0,0.147776682214064,0,0.068192962667762,0,0,0,0,0,-0.0756770559372698,0,0,0.148995419386796,0,0
X601988.CH.EQUITY,0,0,0,0,0.393547942938777,0,0,0,0,0,0,0,0,0,0.0741882930111325,0,0,0.0571806116862332,0,-0.132211420195704,0,0,0,0,0.23608580922554,0,0.00538833476727921,0,0,0,0,-0.321011473307228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0944686353874235,0,0,0,0.0325245340441227,0.0395985283937852
X600036.CH.EQUITY,0,0.268514983145614,-0.0603241130810083,0,0,0,0,-0.127886029812009,0,0.501573146843507,0,0,0,0,0,0,0.0907036642686073,0,0,0.27929615495921,0,0,0,0,0,0,0,0,0.108531048927323,0,0,0,0,-0.134441666686901,0,0,0,0,0,-0.0616145290907597,0,0,0.229148885034848,0,0,-0.0768111324563129,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.026309547067798,0,0.246474457442987,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0684464089973784,0.0478484272492136,0,0,0,0,0,0,0.246759309328641,0,0.013647914064014,0,0.0924598807482207,0,0,0,0.0398793461806961,0,0,0,0,0,0,0,0,-0.222919248779644,0,-0.111412344750491,0,0,0.0620686612590219,0,0,0
X601628.CH.EQUITY,0,0.046596103192723,0.0296268651203864,0.0751190619191546,0,0,0,0,0,0,0,0,0,0.360031108542428,0,0,-0.0211035134957316,0,0,0,0,0,0,0,0.123356204817568,0,0,0,0,0,-0.011875927145313,0,0,0,0,0.159373241149804,0.0573204416180572,0,0,0,0,0.202200978260343,0.0554624809558292,0,0.0885752273504922,0,0,0,0,0,-0.0704056335403092
X601328.CH.EQUITY,0,0,0.0187171064788705,0.0284320428018613,-0.0770407577065334,0,0.539138981247003,0,0,0,0,0,0,0,0,0.0514208942202843,0,0.137254084870831,0,0.166850854422855,0,0,0,0,0,0.213998730465014,0,0,0,0,0,0,0,0,0,0,0,-0.215382735020512,0,0,0,0,0.227653225477868,0,0,0,-0.303006701834187,0,0,0.0706792022719105,-0.137276578701354
X601166.CH.EQUITY,0.160957140930146,0,0,0.250150533746357,0,0,0,0,0,0,0,0,0.318226103850883,0.0066536925819662,0,0,0,0,0.0902583421820251,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0521967260219626,0,0,0,0,0,0,0,-0.0372849807772188,0,0,0,0,0,0,0,0,0,0,-0.0025206943767856,0
X601319.CH.EQUITY,-0.0271452943153349,0,0,0,0,0,0,0,0,-0.0791905371094842,0,0,0,0,0,0,0,0.0720847546610792,-0.174937856442589,0,0,0,0,0,0,2.16840434497101e-19,0,8.67361737988404e-19,-0.0304709304875454,-0.00630900476464687,0,0,0,0,0.295598891333903,0,0,0,0,0,0,0,0,0.492608285860895,0,0,0,0,0,-0.0038387344037047,0
X600000.CH.EQUITY,0,0,0.110505721366738,0,0.00444169763597463,0,0,0,0,0.0846949273942691,0.579679391767104,0,0,0.148066437340165,0,0,0,0,0,0,0.140723594660464,0,0,0,0,0.223719951940038,0,0,0,0,0,0,0,-0.179957646908166,0,0,-0.231362518431452,0,0,0,0,0,0,0,-0.0530040087561571,0,-0.110791801571006,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.0847489258764274,0,0.314779053286842,0,0,3.5262057468826e-05,0,0,0,0.0486116500628856,0,0,0,-0.147626790946408,0,0,0.00893273010792842,0,0,0,0.276940922786927,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915071672514067,0,0,0,0,0,0,0,0.0296120853097247,-4.33680868994202e-19,0.016678289461283
