,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X1997.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.413344021524821,0.0763602283972632,0,0,0,0,0,0,0,0,0,0,0.0519953479571678,0,0,0.0763987147092972,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0521602777935633,0,0,0,0,0,0,0,0,0,0.078660597092137,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0766553121279124,0.246944481854512,0,0,0,0,0,0,0,0,0.327847643364969,0,0.0906285861742868,0.0574180456608737,0,0,0,0,0.0921474161629186,0,0,0,-0.0128884608374193,0,0,0,0,0,0.0267390461274847,0,0.00909264805168823,0,0.0425975026468861,0,0,0,0,0,0,0,0,0.0119313020779856,0,0
X601939.CH.EQUITY,0,0,0,0.661928412069432,0,0.0545578931235076,0,0,0,0.261793503390953,0,0,0,0,0,0,0,0,0,0,0.0587660677034243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158227011331011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00363662431971221
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.259418376949882,0.0344116012321188,0,0.757308594787645,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13200553811773,0,0,0,0.112543219877268,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.15417262663751,0,0.306775537893103,0,0,0,0,0.0445039172048579,0,0,0,0,0,0,0.0211656455769471,0,0,0,0,0,0.0149512958316071,0,-0.144297880716584,0,0,0,0,0,0,0,0,0.112303391012243,0,0,0.29127229248526,0,0,0,0,0,0,-0.0588650535248899,0,0.060226358028177,0,0
X601988.CH.EQUITY,0,0,0,0,0.35577790156781,0,0,0,0,0,0,0,0,0,0,0,0.0657051827126001,0,-0.0829591860078985,0,-0.0506891273203619,0,0,0,0.280184316554935,0,0,0,0,-0.236923842776286,0,0,0,0,0,0,0,0,0,0,0,0.151227180206092,0,0,0,0,0,0,-0.0259400357782776,0.137416497822964,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.441156442537665,0,0,0,0,0,0,0,0.187279538368148,0,-0.115035069639396,0,0,0,0,0.204542539929629,0,0,0,0,0,0.176381103999049,0,0,-0.0112271755087264,0,0,0,0,-0.0124930411476055,-0.198443515984454,0,0.152867723882142,0,0,0.125948905487773,0,0,0,0,0,0.0102501765563789
X1299.HK.EQUITY,0,0,0,0,0.213274103587841,0,0,0,0,0,0,0,0,0,0,0,0.194351740939274,0,0,0,0,0,0,0,0,0.067270456971606,0,0.0940843708779721,-0.0749618782862444,0.000604887734776259,0.0999851243035451,0,0,0,0,0,0.414596335340468,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047545917006698
X601628.CH.EQUITY,0,0.179737504010614,0,0.0045476507258068,-0.111468801513489,0,0,0,0,0,0,0,0,0,0,0,0,0.176342227814094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017776969244881,0,0.352377431035753,0,0.0386502506006013,0.155530030204133,0,0.0797171436662926,0,0.0980828759755376,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.179043721675804,0,0,0,0.374852406318792,0,0,0,0,-0.00354356464479223,0.459794832673184,0,0,0,0,0,0,0,0.0481083491671281,0.18659463416009,0,0,0,0,0,0,0,0,0,0,-0.0389787532203708,-0.0920302484406729,0,0,0,0,0,0,0,-0.0433025774161544,0,0,0,-0.097040429643594,0,0,0,0,0
X601166.CH.EQUITY,0.145290669707988,0,0,0.251775403373689,0,0,0,0,0,0.0857354349894687,0,-0.0225316699199736,0.244708532715431,0,0,0,0,0,0,0.0465621062096074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295807968742203,0,0,0,0,0,0,0.0965973046247281,0,0,0,0,0,0,0,0.0682418006918381,0
