,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X002142.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X12.HK.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.182328892772937,0.102833959568094,0,0,0.340561038760898,0,0,0.0134154948223502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22836033821052,0,0,0,0.0925007980447966,0,0,0,0.110068018128107,0.0518190829894067,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392713296059121,0.00420155320662222,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0581701764257941,0,0,0.243161441686455,0,0,0.304360748639257,0,0.0357984613259088,0,0.0427938577774341,0.0125690734051452,0,0,0.188318677465977,0,0,0,0,0,0,0,0,0,0,0,0.0632375729658819,0,0,0,0.238701484559495,0,0.00239446949985858,0,0,0,-0.0540426685266033,0,0,0,0,0,0,0,0.010201180048371,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.102688704072529,0,0,0,0,0,0.0570681870294595,0,0,0,0,0,0,0,0,0,0,0,0,0.0433905338099251,0.374777038356385,0,0.165994147483577,0,0,0,0,0,0,0,0,0,-0.1018539569849,0,0,0,0,-0.0290990091874853,0,0,0,0,0,0,0.0500098940117246,-0.0522187377322045,0
X601939.CH.EQUITY,0.565839415094665,0.0716028070710803,0,0,0,0,0,0,0.171227108102459,0,0,0,0,0,0,0,0,0,0.0884758678262033,0,0,0,0,0,0,0,0,0.125386008351908,0,0,0,0,0,0,0,0,0.115139557953534,0.0512300125717717,0,0,0,0,0,0,0,0,0,0,0,0.117449076442082,0.0459935088622709,0
X601288.CH.EQUITY,0,0,0,0.132394234703162,0,0,0,0.416563961581403,0,0,0.00727422227644013,0,0,0,0,0,0,0.0678149400641408,0,0,0,0,0,0,0.0471018697708448,0,0,0.0506211607176781,0,0,0,0,0.0989731232697144,0,0,0,0,0,0,0,0,0.0921896567584058,0,0,0,0,0,0,0,0,0,-0.0679791271578118
X1299.HK.EQUITY,0,0.0219138370349479,0,0,0,0,0,0,0.0369846345326325,0.334135148769233,0,0,8.67361737988404e-19,0,0.00722623122206786,0.138074093584874,0,0,0,-0.16580804694665,0.146715739730008,0,0,0,0,0,0,0,0,0,0.118470168063186,0,0.0359379364445697,0,0,0,0,0,0,0.18393157765174,0,0,0.183098478959383,0,0,0,0,0.101889394751636,0,0,0,0
X601628.CH.EQUITY,0,0,-0.143083802019359,0,0,0,0,0,0,0.0970819908467027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496810416748268,0.098958882305756,0,0,0,-0.042465638386232,0,-0.0832249001044677,0,0,0.370440155579889,0,0,-0.000517341731346821,0.369276461624675,0,0,0.0497878312969652,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.194398839197873,0,0,0,0.342894394864773,0,0.0764214756760014,0,0,0,0,-0.00388141330558653,0.0560152059991723,0,0,0,0,0,0.120936990932329,0,0,0,0,0,0.123888652930128,0,0,0,0,0,0,0,-0.231794365551416,0,0,0,0,0,0,0.0364054482121476,0,0,0,0,0,0.0421206111802121,0,0,0.035035886352779,0,0,-0.0644666870497838
X5.HK.EQUITY,0,0.165077602379724,0,0.085023698987637,0,0,0,0,0,-0.116875234292496,0.0791024500463177,0,0.0684059748278662,0,0,0,0,0,0,0,0,0,0,0.174413819138248,0,0,0.148331416951138,0,0,0,0,0,0,0,0,0,0,0.277660662461516,0,0,0,0,0,0,0,0,0.0585997691365386,0,0,0,0,-0.0754442754569786
X388.HK.EQUITY,0,0,0,-0.0692692606135628,0,0,-0.0446873935425165,0,0,0,0,0,0,0,0,0,0.207980225238347,0,0,-0.0464228799413029,0,0,0,-0.144290996307407,0,0,0,0,0,0,0,0,0,-0.325504667355083,0,0,-0.150412418774016,0,0.334605488071899,0.246326786819003,-0.085185491641199,0,0,0,0.255926694812343,0,0,0,0,0,0,0
