,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.443892885827508,0.0634504394443679,0,0,0,0,0,0,0,0,0,0.130831457541107,0,0.0899534497808676,0,0,0,-0.12039516238924,0,0.0104019136987419,0,0,0,0,0,0,0.0476262866392939,0,0,0,0,0,0,0,0.0413730423647819,0,0,0,0,0,0,0,0,0,0.121320713363397,0.137853099979433,0,0,0
X601318.CH.EQUITY,0,0,0.178622692276241,0,0.0291935037481594,0,0,0,0,0,0,0,0,0,0.3011765508814,0,0.0366720403695196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154899665767474,0,0,0,0,0,0.170416501377183,0,0,0,0,0,0,0,0.0833827043803876,0,0,0
X601939.CH.EQUITY,0.163262597009312,0,0,0,0,0,0,0,0,0,0.170596088186823,0,0,0.28859213473088,0,0,0,0,0.0431426604275985,0.177696744105877,0,0,-0.0326208522919229,0,0,0,0,0,0,0.0187545969889466,0,0,0,0,0,0.0878708593693019,0,0,0,0,0.0368215101696821,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0
X601288.CH.EQUITY,0.34702531618527,0,0.0192449240354187,0,0.50210701169877,0,0,0,0,0,0.0113194887047804,0,0,0,0,0,0.0453326871180018,-0.0268073789020464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893508984078641,0,0,0
X601988.CH.EQUITY,0,0,0,0.115325425186961,0,0,0,0,0,0,0,0.475452604144611,0,0.0154264210959935,0,0,0,0,0,0,0,0,0,0.0388126577546055,0,0,0,0,0,0,0,0,0,0.0894892958634096,0,0,0,0,0,0,0.0892917230971134,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.190650259197987,0,0,0,0.00383597551521201,0,0,0,0.256331963526613,0,0.269402777003615,0,0,0.414976488446123,-0.599815779194424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327466346252309,-0.148513833616475
X600036.CH.EQUITY,0,0,0,0.0519158458976606,0,0,0,0.101327061735412,0,0,0,0,0,0,0.145135332089283,0,0,0,0.088814744971552,0,0,0,0.0529389825803562,0,0,0,0,0,0,0,0.185372096113284,0,0.199241365452645,0,0,0.0555087797143407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796959328200447,0,0,0,0,0.0947018045159017,0.16824450366686,0,0,0,0,0,0,0.0497276258427644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267163315886876,0,0,0
X601628.CH.EQUITY,0,0,0.264547846533386,0.0324273027911466,0.227216198411876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0536338314682095,0,0,0,0.133126001553314,0,0,0,0,0,0,0.110722290909594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.22463179820019,0,0,0,0,0,0.0806888188848913,0,0,0,-0.111479182094749,0,0,0,0,0,0,0.450409886908036,0,0,0,0,0,0.1469976620132,0,0,-0.166233777844859,0,0,0.139589589660042,0,0,-0.0220271526270748,0,0.575289613734701,-0.207915991559307,0,0,0,0,0.513021826842476,0,-0.230583667305119,0,0,0
