,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.221204068565059,0,0.123192594628,0,0,0,0,0.246219271098212,0.0648353796577605,-6.93889390390723e-18,0.136460530913911,0,0,0,0,0,0,0.128448536317871,0,0,-0.0575103367256296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345100071904082,0,0,0,0,0,0,0,0,0,0.034459954751693,0,0,0,0,0.00737307529368532,0
X601939.CH.EQUITY,0.497250159139226,0,0,0,0,0,-0.0559410042006465,0,0,0.032501570089792,0.211180096649133,0,0.200138303932024,0,0,0,0,0,0,0,0,0,0,0,0,-0.00900728783419871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232647405651886,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200102035304846,0,0,0,0,0,0,0.152796658336926,0,0,0.0792160764881962,0,0.173848699257707,0.183460216666824,0,0,0,0,0
X601288.CH.EQUITY,0.347227531877831,0.0458906695362535,0,0,0.401546356217422,0,0,-0.0313692244069635,0,0,0.0626198149521359,0,0,0,0.114211446939202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210811432982622,0,0,0,0,0,0,0,0,0.0133544466829903,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0874918173614923,0,0.290208003114655,0,0,0,0,0,0,0.249428365850835,0,0,0.100296316234958,0,0,0,0,0.143585503915964,0,0,0,0,0,0,0.0676831085196427,0,-0.00853539984153125,0,0,0.0215034571594045,0,0,0,0,0,0,0,0,0,0,0.044740601869526,0,0,0,0,0,0.0530158247715401,0,0,-0.00319374415890428,0
X600036.CH.EQUITY,0,0,0.0399671938427217,0,0,0,0.0229149245348951,0,0,0,0,0.427319681222172,0,0,0,0,0,0,0,0,0,0.0211588536413617,0,0,0,0.11063312531281,0,0,0,0,0,0,0,0,0,0,0,0.0575357317381412,0,0,0,0.0487353599630078,0,0,0,0,0,0,0,0.251690334996655,0,0
X1299.HK.EQUITY,0,0,0,0,8.67361737988404e-19,0.0915527439850018,0,0,0,0,0,0,0,0,0,0,0,0,0.0106748421695707,0,0,0.0968668199032227,0,0,0,0,0.0430523082909088,0,0.175170147936272,0,0,0.106065326264567,0,0.214539159375744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148047077303692,0,0,0,0
X5.HK.EQUITY,0,-0.299776553588337,0,-0.0634694567986617,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,1.31237187914435,0,-0.85667544432554,0,0.0915999595779507,-0.017551146750202,0.366046669440747,0,0,0,0,0,0,0,0,0,0,0,0.423340991270316,0,0,0,0,0,0,0,0,0,0,0.13125688208896,-0.067201786719182
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.194353465405693,0,0,0,0,0,0,0,0,0.219509292223751,0,0.0879958516765725,0,0.146279809364646,0,0,0,0.0564349308114491,0,0,0,0,0,0,0.0277767521954199,0,0,0,0,0.0562393016961787,0,0,0,0,0,0,0,0,0,0.0612115260521278,0
X601658.CH.Equity,0,0,-0.159608758605807,0.289028181548768,0,0,0,0.0996873226348892,0.0139745966864052,0,0,0,0,0,-0.198858131022944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679784825445876,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0684411122611018,0,0,0,0,0,0.66572069352871,0,0,0,-0.112583143292997,0.00109932737727261,0
