,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.147023236158939,0,0,0,0,0,-0.107354035782956,0,0,0,0,0,0,0,0,0,0,-0.0834250706015595,0,0,0.426264908417795,-0.125306865443462,0,0,0,0,0.472172191663496,-4.33680868994202e-19,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0296318745794624,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0364312012965048,-0.0214195631918058,0,0,0,0,0,0.247803844413357,0,0,-1.73472347597681e-18,0.503822632089989,0,0.0184843467384115,-0.0110176066680326,0,0,0,0.01593779358562,0,0,0,0.0528098192676109,0,0,0,0.118293725923094,0,0.054590686396615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152146399901285
X601939.CH.EQUITY,0,0.0306228436128841,0,0.764677494584284,0,0,0,0,0,0.0219374719020752,0.103915504507158,0,0,0,0,0.0872376751702476,0,0,0,0,0,0,0,0,0,0,0,0.0638951810097662,0,0,0,0,0,0,0.0153531991436486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00614740998823102
X601288.CH.EQUITY,0,0,0.967905304947306,0,0,0.00732076339945807,0,-0.0430850094337359,0,0.0376557975942039,0,0,0,-0.0150001088569386,0,0,0.011035120818393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372666055991226,0,0,0,0,0.0275978908161654,0,-0.0276435849619431,0,0.00561304985539084,-0.0610741277419236,0,0,0,0.0730717201787245,0,0,0,0,-0.125716761684837,-0.0457616250057442
X601628.CH.EQUITY,0,0.00721732970674877,0,0,0,0,0,0,-0.1012751718353,0.268481445254067,0,0.27615205032773,0,0,0,0,0,0,0.302658696812376,0,0,0,0,0,0,0,0,-0.0839192875649089,0,0,0.0206785404160129,0,0,0,0.263942493059868,0,0,0,0,0,0,0,0,0,0,0.109213358905952,0,0,0,0,0,0.0405559241560387
X600036.CH.EQUITY,0,0,0,0.343425275076324,0,0,0,0,0,0,0.0124451013619793,0,0,0,0,0,0,0.177825558708415,0,0,0,0,0,0,0,0.195031252443595,0,0.0264240230478569,0,0,0,0,0,0,0,0,0.0675920524259843,0,0,0,0,0,0,0,0.0741381119122368,0,0,0,0,0.00383135083537333,0,-0.0115534341291426
X601988.CH.EQUITY,0,0,1.38777878078145e-17,0.0691137098273198,0,0,0,0,-0.0269859371701622,-0.0730217405835378,0,0,0,0,0,0,0,0,0,0,0.00120143054105283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131805708651819,-0.0627274048220155,0,0.989875502892501,0,0,0
X1299.HK.EQUITY,0,0.00674018204358342,0,0,0.0183021046443405,0,0,0,0,0.287777576083289,0,0,0,0,0,0,0.00159569690956226,0,0,0,0,0,0.287475331899167,-0.0474722801871753,0,0,0,0,0.0926619289744926,0,0.0698592718693619,0,0,0,0,0,0.079891615712795,0.0224764282720318,0,0,0,0,0.0730216100870432,0.0741299896134435,0,-0.00468459110146223,0,0.194335252749256,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406932706141493,0,0,0,0,0,0,0,0,0.103484566534443,0.547531058988535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17738531852837,0.250639400353193,0.32585542603791,0,0,0,0.229614423953459,0,-6.93889390390723e-18
X388.HK.EQUITY,0,0,0,0,0.169682774974184,0,0,0,0,0,0,0,0,0,-7.91836088437045e-05,0,0.119510783262944,0,0,0,0.265030423566526,0,0.272070651023071,0,0.206975242989417,0,0,-0.0695711050458405,0,0,0,0,0,0,0,0,0.13359705913859,0,0,0,0,-0.124916416762592,0,-0.174701905523604,-0.0853013521577355,0,0,0,0,0,-0.0324730342407461,0.316019063865209
X601658.CH.Equity,0,0,0.227452194596544,0.143281932542991,0,0,0,0.043500050692645,0,-0.0274672096008884,0,0,0,0,0,0,0,0.0708502185977039,0,0,0,0,0,0,0,0,0.146695704595938,0.00717069108173606,0,0,0,0,0,0,0,0,0,0,0,0.155480025326684,-0.0724201876783729,0,0,0,0,0,0.0621092466161129,0,0,0.0346461964676995,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.124335148528763,0,0,0,0.346280233960947,0,0.0157628601769963,0.00472399297947043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153812816153353,0,0,6.93889390390723e-18,0,0,0.166732038790236,0.0649189897321679,0,0,-0.0557411901313304,0.155097039588652,0,0,0,0.272111425329167,0,0,0,0
X601166.CH.EQUITY,0,0,0.0375146202746738,0,0,0.054350022042987,0.210810108930322,0,0,0,0,0,0,0,0,0.0474920861689249,0,0.0239296749200681,0,0,0,0.0657456927829333,0.0686731506119943,0.216074752317952,0,0,0.00634930229691922,0,0,0,0,0.020220054802862,0,0,0,0,0,0.115383470212266,0,0,0,0,0,0,0,0,0,0,0.246387976278131,0,0,0
