,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.654152109043621,0,0,0,0,0,0,0,0,0,0,0.210836013238032,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0224194258646066,0,0,0,0,0,0.0341871563318011,0,0.0413846680087974,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.453024384979169,0,0,0,0,0,0,0.0893598206657582,0,0,0,0,0.0680426991241959,0,0,0,0,0,0.0648708147135701,0.120940053811905,0,0,0,0.225416685133398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775947026590308
X600000.CH.EQUITY,0,0,0,0.0141900534457371,0,0,0,-0.0107515674456386,0,0.0382475322604033,0.409942173183989,0,0,0,0,6.93889390390723e-18,0,0,0.276768924939337,0,0,0,0,0,0.0445544139209038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140691883417983,0,0,0,0,0,0.124986772953228,0.0178701612066857,0
X000002.CH.EQUITY,0.160467938795567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798509112237746,0,0,0,0.0116360159860015,0,0,0,0,0,0,0,0,0,0.526363191831285,0.00630387366677508,0,0,0,0,0,0,0.228138352127785,0,0,0,0,0,0,0,-0.156418112628878,0,0.0041845075133014,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,-1.73472347597681e-18,0.121816203428469,0,0,0,0,0,0,0.0884430099208323,0,0,0,0,0,0.574085400508933,0.00711318926190514,0,0,0,0.0557691034130427,0,0,0,0.0403538287587314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019777153318199,0,-0.0311254148460808
X16.HK.EQUITY,0,0,0,0.177080443462513,0,0,0,0,0,-0.131006887740863,0,0,0,0,0.0844210025653762,0,0,0,0,0,0.00795607303460726,0.37562957347911,0,0,0,0,0,0,0,0,0,0.241383507236505,0,0,0,-0.0572772682885159,0,0,0,0,0,0,0.13715700234579,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0.0487990795540849,0,0,0,0.184275240019503,0.342474807929952,0,0,0.0491126074232512,0,0.0651821213721765,0.02815338952237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628245506727753,0,0,0,0,0,0.194846534380825,0,0.0141316100635283,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.0975242184658937,0,0,0.0677262995459626,-0.0576508494125493,0,0,0,0,0,0.0865793270958119,0,0,0,0,0,0,0.559284405058586,0,0,0,0,0,0,0,0,0,0,0,0.0390078597694293,0,0,0,0,0,0,0,0,0.0680984073851346,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.233644170925285,0,-0.144368846249876,0,0,0,0,0,0.0107880232294964,0,0,0,0,0.105468559760552,0,0,0,0,0.0836018815977833,0.0468117942739283,0,0,0,0.256394939951244,0,0,0,-0.0339431252895345,0,0.249250823102278,0,0,0.0919016890533522,0,0,0,0,0,0,0,0.156231286734598,0,0,0.0314702636697905,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.0290949301646866,0,0,0,0,0.411287031470181,0,-0.148208010051423,0,0,0,0,0,0,0.120429141056519,0,-0.249502846426113,0,0,0,0,0,-0.117379081810084,0,0,0.222448332612493,0,0,0.521656805298032,0,0,0,0,0,0,0,0,0,0.00192959165450955
