,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0140574374751353,0,0,0,-0.0513618004108842,0.0804928560404164,0,0,0,0,0,0,0,0.356960322853726,0,-0.19206431857135,-0.0343805412681589,0,0,0,0,-0.189846949655879,0,0,0,0,0,0,0.151288193707823,0,0,0,0,0.68626254323925,0,0,0,0,0,0,0,0,-0.0567894850706894,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0233861430065973,0.10431946117107,-8.67361737988404e-19,0,0,0,0,0,0,0.0715387945313747,0,0.0830343276023804,0.0536332008219752,0.0212357526505616,0,0,0,0,0.0830373746113038,0,0.0425147869259075,0,0,0,0,0,0,0,0.274109352783428,0,0,0,0,0.215828454911907,0.0133396215900275,0,0,0.0461693274048612,0,0,0,0,0,-0.0240417245266739
X601939.CH.EQUITY,0.296127024651208,0,0,0,0,0,0,0,0,0.0456427723616069,0,0,0,0,-0.00105916247415652,0,0,0,0,0,0,0,0.0939010669269436,0,0,0,-0.181369450685138,0,0,0,0,0,-0.0167426929022951,0,0,0,0,0.0174493046168368,0,0.5416770965817,0,0,0,0,0,0,0,0,0,0,0.123761395518167
X601288.CH.EQUITY,0,0,0,0,-0.133881929944824,0,0,-0.0356437038644961,0.0665543842920627,0,0.365409547811788,0,0,0.330143221353017,-0.0712873660821174,0,0,0,0,0,-0.115047937290726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314054107766046,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.117380276647939,0,0.351799434968977,0,0,0,0,-0.0191710077326988,0.308966661327787,0,0,0,0.0727895749506535,0,0,0,0,0.0979199532347425,0,0,0,0.0380743415430058,-0.178311263323171,0,0,0,0,0.111748842864194,0,0,0,0,0.0572117250239969,0,0,0,0,0,0,0,-0.245633160795904,0,0,0.150327110213756,0,-0.00929798006432002
X601988.CH.EQUITY,0,0,0,0,0.34576898451932,0,0,0,-1.73472347597681e-18,0,0,0,0,0.107626775445661,0,0,0,0.171456034004676,0,0,-0.057621159460987,0,0,0,0.175480790914504,0.0187808556716068,0,0,0,0,0,-0.337754746718225,0,0,0,0,0,0,0,0,0,0,0,0,0.0139709568823276,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.133284856157843,0,0,-0.000393016921155705,0,0,0,0,0.480890149108954,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.226763257298712,0,0,0,0,0,0,0,0.125930947342098,0,0,0,0,-0.211141946044673,0,0,-0.155912072636351,0,0,0,-0.00882910456861613,0,0,0.209649146474999,0,-0.0239221999836628,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.331467016883854,0,0,0,0,0,0,0,0,0,0,0,0,0.0686082597341432,0,0,0,0,0,0,0,0,0.196437605481672,0.06508997884601,0,0.0384373300865205,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184846646772092,-0.100511807142482,0,0.149838742885755,0,0,0,0
X601628.CH.EQUITY,0,0.277405872722086,0.0111864232231459,0.0451863054205455,-0.109375875467648,0,0,0,0,0,0,0,0,0,0,0,0.246275547051343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133870560500683,0.08292166026587,0,0,0,0,0,0.161106419903985,0,0.083838459094567,0.0968084034467832,0,0,0,0,0,-0.00396812750070125
X601328.CH.EQUITY,0,0,0,0,0,0,0.677285668149688,0,0,0,0,0,0,0,0,0.0713532672947602,0,0,0,0,0.209159113140876,0,0,0,0,0,0.114820933556187,0,0,0,0,0,0,0,0,0,0,-0.0876716646124954,3.46944695195361e-18,0,0,0,0,0.0810375127829927,0,-0.223292800516686,0,-0.0394593555199116,0,0,-0.0445858923134964
