,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.35920420457129,0.0702757474950122,0.0696155675563958,0.0556834759727857,0,0,0,0,0,0.247676134149945,0,0,0,0,0,0,0,0,0,0,0.00433706196035778,0,-0.0306162547470901,0.0344283691852831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00768627792666375,0,0,0,0,0.0408175748610378,0,0,1.73472347597681e-18,0.185033039786829,0
X601939.CH.EQUITY,0.17760225920282,0,0,0.20637269632747,0,0,0,0,-0.095623891871392,0,0.131148382816826,0,0,0.217642610033235,-0.0714590215051584,0,0,0,0,0,0,0,0,0,0.196817955758844,0,0,0,-0.0257467081628204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270930554748799,0,0,0.161393003324431,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.224788711865036,0.117469268322905,0,0,0,0,0,0,0,0,0.0515834085436623,0,0,0,0,0,0,0.188867653030786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395607537104335,0,0,0,0,0,0,0.187273519154752,0,0,0,0,0,0
X601288.CH.EQUITY,0.37619928256801,0,0,0,0.214657879238757,0,0,0,0,0,0,0,0,0.146411091192415,0,0,0,0.0916326357004371,0,0,0.0341609006207865,0,0,0,0,0,0,0,0,0,0,0,0.0842747315585327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.51474317779082,0,0,0,0,0,0.199416322455785,0,0,0,0,0,0.105175400199144,0.122955888147189,0,0,0,0,0,0,0,0,0,0.0396118930994054,0,0,0,0,0,0,0,0,-0.510944430934787,0,0,0,0,0,0,0,0.156852722572087,0,0,0,0,0,0,0,0.24724327245669
X600036.CH.EQUITY,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.276092281287893,0,0,0,0,0.0557609200926608,0,0,0,0,0.101888572828036,0,0.00337952125396463,0,0,0,0,0,0.125877267654862,0.0363987755595102,0.123884891849738,0,0,0,0,0,0,0.0294031810557587,0,0,0,0.144970283109657,0,0,0,0.0824248233135732,0.0394585454053478,0,0,-0.0137775751423361,0
X1299.HK.EQUITY,0,0,0,0,0.0326550055926075,0,0,0,0,0,0,0,0,0.203592730652718,0,0,0.0437074643595493,0,0.479684456497393,0,0,0,0,0.135672496738882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0864805545779079,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.09724917942395,0,-0.0727678529263196,0,0,0,0,0,-0.0612800006144092,0.321439067083728,0,0,0,0.596615853154014,0,0,0,0,0,0,0,0,0,0.274088104098747,0,0,0,0,0,0,0,-0.145115646373083,0,0,0,0,0,0
X601628.CH.EQUITY,0.0414272263790982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12535187963242,0,0,0,0,0.280414474489852,0,0,0,0,0,0,0.131743496821698,0,0,0,0,0,0,0,0,0,0,0,0,0.0600947258268587,0,0,0.0341784056707068,0,0,0.037275282320532,0.0240466959860267,-6.93889390390723e-18,0.0650094078640361,0
X601658.CH.Equity,0,0,0,0.0581073162897657,0.154820005744022,0,0,0,0,0,0,0,0,0.152599107681153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223118541622996,0,0,0,0,0,0,0,0,0.14651123357913,0,0,0,0,0,0,0,0,0,0,0.312048859448185,0,0,0
