,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.033271744746334,0,0,0,0,0,0,0,0,0,0,0,0,0.510068610449338,0.763766423685303,0.0107400329125059,0,0,0,-0.110899970650467,0.217204819795928,-0.228267180472304,0,0,0,0,-0.322246395167326,0,0,0,-0.0454934639650282,0,-0.0608802858204779,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.185460161934695,0,0,0,0,0,0,0,0,0,0,0,0.053379691462909,0,0.0938835185406747,0,0,0,0,0,0,0,0.0199670843520717,0,0,0.00417799144790259,0.0692576259016527,0,0,0,0,0.233639629666095,0,0,0,0,0,0,0,0,0,0.0758261518541569,0,0,0.217270005576789,0,0.105584048938877
X601939.CH.EQUITY,0,0,0,0.825116835847145,0,0,0,0,0,0.0217398430138237,0,-0.0458010691558084,0,0,0,0,0.0737564126231792,0,0,0.0611291423343965,0,0.00894609675228145,0,0,0,0,0.0625622954830933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501460298687444,0.0301237530636422,0,0
X601288.CH.EQUITY,0.0383731141766172,0,0.878017108535577,0,-0.061187150201333,0,0,0,0,0,0,0,0,0,0.0279716347233901,0.0109483203432263,0,0,0,0.137831601128904,0,0,0,0,0,0,0.0394091093675268,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.117834648918935,0,0,0,0,0,0,-0.0487778276644037,0,0,0,-0.0473164923920718,0
X601628.CH.EQUITY,0,0.0154504824155719,0,0,0,0,0,0,0,0.0680151009485257,0,0,0.419714114121764,0,0,0,0,0,0,0,0,0.112600416369027,-0.0135773665964256,0,0,0,0,0,0,0,0,0,0,0,0.404248068266792,-0.113917723459632,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.108996956404661,0,0,0,0,0.0728617566115418,0.125827401455994
X600036.CH.EQUITY,0,0,0.408401353407487,0,0,0,0,0,0.0248237334938604,-0.00642764897880453,0,0,0,0,0,0,0.106566054244801,0,0.00488327421990674,0,0.0126828557303321,0,0,0,0,0,0.192378334468958,0,0,0.123021543815319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.134939250848881,0.092782396355447,0,0.0447998468817909,0,0,0,0,-0.0129031584250405,1.0842021724855e-19,0,0,0,0,0,0,-0.0766608612717576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108965054248971,0,0,0.00777375532884818,0,0,0,0,0,0,1.04495548837116,0,0
X1299.HK.EQUITY,0,0,0,0,0.201596386830532,0,0,0,0,0.197131159824266,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.194521176311425,0.00488142064313675,0,0.398984101821028,0.3035644326769,0,0,0.142325950286009,0.107863717745479,0,0.0347791323841938,0,0,0,0,-1.38777878078145e-17,0,0.0376826551089362,0,0,-0.146227043173609,0,0,0,0,0,0,0.105732006977059,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454827886491147,0,0,0,0,0.0702628589511601,0,0,0.405900690379833,0.291710208691156,0,0,0,0,0,0,0,-0.0437268288582024,0,0,0,0,0,0,0,0.0344545564652501,0,0,-0.151582092842705,0,0,0,0,0.203667441682478,-0.0930800657171893
X388.HK.EQUITY,0,0,0,0,0.34834538215077,0,0,0,0.0837852412662405,0,-0.0800078786958386,0,0,0,0,0,0,-0.229492149938447,0,0,0,0,0,0,0.387778808932466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0666205944021815,-0.202696617576445,0,0.0762547442856341,0.23335527469373,0,0,0.0390214915827564,0,-0.126425562081699,0
