,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.359355687962104,0,0,0.0779088139837779,0,0,0,0,0,0,0,0,0.0241274831116101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0464917864818453,0,0,0.165307507491963,0,0,0.0140630408320871,0.0716280456062977,0,0,0,0,0,0,0,0,0.195699116641314,0.0315947130760477,0.0314293172445038,-0.0102686786006972,0
X601318.CH.EQUITY,0,0,0,0,0.0106682885260554,0,0,0,0.14687959740403,0,0.0549579661336156,0,0.0950314139556191,0,0,0,0,0,0.215273448707865,0,0.212221932380079,0,0,0.0100456953903222,0,0,0,-0.0114922548671518,0,0.0820245344287445,0,0,0,0,0.0121803255720914,0,0,0.0487559818989108,0,0,0,0,0,0.0178774432873039,0,0,0,0,0,0,0,0.0791947175414712
X601939.CH.EQUITY,0,0,0,0.259492256057382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562413087237053,0,0.746761895717743,0.0334199938879927,-0.251025117972029,-0.209912452729035,0,0,0.00686641653147901,0,0.162970611258845,0,0,0,0,0,0,0,0,0,0,-0.0681623870252877,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.114826257723374,0,0.074045563838118,0,0.0855850649897128,0,0.412014042537718,0,0,0,0,0,0,0,0,0.0486238789087819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206793769318048,0,0,0,0,0,0,0.111149620957318,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213492583403695,0,0,0,0,0.036583211008612,0.222067852549198,-0.0948977864359016,0,0,0,0,0,0.113126633715264,0,0.508668991451886,0,0.0158827973980676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425818578182306
X600036.CH.EQUITY,0,0.155742167763401,0,0,0.102645430054696,0,0.0827357455304582,0.0617698685931803,0,0,0,0,0.265152849712671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29066834972916,0,0,0,0,0.0681817217664962,0,0,0,0,0,0,0.0913590798091011,0,0,0,0,0,0,0,0.0557638022841485,0,-0.0128878090403839,0,0,0
X601988.CH.EQUITY,0.252260758810549,0,0.00199776424268464,0,0,0.354003701178223,0,0,0,0,0,0,0.0517008595816649,0,0,0,0,0,0,0.0268082524942365,0,0,0,0,0,0,0,-0.000870460773719248,0,0.158147772537398,0,0,-0.068400526772349,0,0,0,0,0,0,0,0,-0.0916339973274541,0,0,0,-0.0265970776103756,0,0,0,0.328157200183182,0,0
X1299.HK.EQUITY,0,0,-0.152753825338253,0,0,0.0857264023265312,0,0,0,0.291728584325422,0,0,0,0,0,0,0.0969941547042022,0,0,-0.052582347873996,-0.00143558207968771,0,0,0,0,0.207673337452876,0.0134172881710029,0.092456685775501,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.122886311504521,0,0.10400543107885,0,-0.0126686531185598,0,0,0,0,0,0,-0.0173436322470471
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837810644022144,0,0,0,0,0.153225504781752,0,0,0,0,0.641846605731722,0.0638454459947223,0,0,0,0,0.0133729357616373,0.0704365686377722,0,0,0,0,0,0,0,0,0.141781838982051,0.0646203945977036,-0.156496080495073,0,0.119939240421105,0,0.0894990348741277,0,0.21121752194826,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0755545902806834,0,0,0,0,0,0,0,0,0,0,0,-0.0927594260239837,0,0,0,0.477818877740193,0.270182349028774,0,0,0,0,0,0,0.159924287303047,0.250971790811276,0,0,0,0,0.208152836952619,0,0,0,0,0,-0.035089905516399,-0.332858798615053,-1.73472347597681e-18,0.0058415461521911,0,0,0,0,0
