,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.33489731598163,0.318229767719516,0,0.0738314827963511,0,-0.0907060503184442,0,0,0.183742547617001,0,0,0,-0.0405375425429639,0,-0.081978812199211,0,0,0,0,0,0.0330332079292186,0,0,0,0,0.0112008442553925,-0.0382091610479707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0701307398124025,0,-0.102535183208461,-0.0739707034299296
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.208713305891907,0.0261745032661018,0,0.313344063334668,0,0,0,0,0,0,-0.0227015675124901,0,0,0,0,-0.0262085836151968,0,0,0,0,0.058343263866519,0,0,0,0,0,0,-0.292251954192127,0.208015261329035,0,0,0.249593241965676,0,0,0,0.0444777040427631,0.0585830599575581,0,0,0
X601939.CH.EQUITY,0.436675992637196,0,0,0.0892536214426934,0.114498187641782,0,0,0,0,0,0,0,0.140308310694809,0,0,0,0,0,0,0,0.132080943324142,0,0.0114182646456631,0.0319460966058545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328097231389361,0,0,0,0,0.0072248369287165,0,-0.174745680794129,0,0,0,0,0
X601288.CH.EQUITY,0.413427319965699,0,0.189527550152443,0,0.151913114023977,0.0575433293427492,0,0.0379901847705017,0,0,0,0,0,0.010078570712532,0,0,0,0,0,0,0,0,0,0,0,0,0.0554473142934653,0,0,0,0,0,0,0.0620091427927789,0,0,0,0.0893883399412586,0.142047962376724,0,0,0,0,0.0603199211464648,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.263030240293225,0,0.130332869370803,0,0,0.0849742277896626,-0.0977317277545443,-0.0988848334923747,0,0.381140332226083,0,0,0.20307098835806,0,0,0,0.305593583819066,-0.0760611846518838,0,0,-0.246615157345312,0,0.411766568893539,0,0,-0.00651896076625914,0,0,0,0,0,0,0,0,0,0,0,0.0144344374318837,0,0.185914985274712,0,0,0,0,0,0,0,0,0.0776590258634382,0
X601988.CH.EQUITY,0.0758455321496093,0,0.189475183502314,0.141039650028646,0,0,0,0.0829433525718646,0,0.119628108044147,0.256472834335827,0,0,-0.318398935376984,0,0,0,0,0,0,0.0248785780000065,0,0,0,0,0,0.0751020259481963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437015023309081,0,0,0,0.139402260810784,0,0,0,0,0.00864142881827536,0.0834252168383088
X600036.CH.EQUITY,0,0.248542479254106,0,0,0,0,0,0,0,0,0,0,0.201920192482392,0,0,0,0.108773841430537,0,0,0,0,0,0,0.111494871904643,0,0,-0.0114127304305435,0,0,0,0,0.204745261919172,0,-0.0163765156503382,0,0,0,0,0,0,0.0992749095864602,0.0740629051517634,0,0,0,0,0.0798604682720727,0,0.13152129574384,0.0626519676022173,0
X601628.CH.EQUITY,0,0,0,0.184612698110127,0,0,0,0,0,0.0806178864177018,0,0,0,0,0,0,0,0,0,0.232091840114954,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0825594254953042,0,0,0,0,0,0,0.157475896544304,0,0,0,0,0,0,-0.0813971845224629,0.00564572727192721,0.155689231881324,0.0812991494287198
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.063877811643823,0,0,0,0.199847773136646,0.0167857611253627,0,0,0.112075161156074,0.187531246511184,0,0,0,0,0,0,0.346718213843502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697486787581737,0,0,0.0199281340330671,0.0228520777360434,0
X601166.CH.EQUITY,0,0,0,0,0,0.185400967912706,0.0895716991018048,0.0718278362796687,0,0,0,0,0,0,0.157035903053466,0,0,0,0,0,0,0,0,0,0,0,0.0547521534802887,0,0,0,0,0.401902078908602,0,0.137283649397815,0,0,0,0,0,0.0719915726580852,-0.00222314345835594,0,0,0,0,0,0,0,0,0,-0.119655246232171
