,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0449310396040574,0,0.0530870671688298,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333069383724979,0,-0.149560398994097,0,0,0,0,0,0,0,0.879364044097543,0,0,-0.0181620341574483,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.220748934237877,0.0173825498273915,0,0,0,0,0.0610284713210685,0,0,0,0,0,0.0249496000693715,0,0,0,0,0.0250558284767558,0,0,0.0763881371131931,0.0204454900721752,0,0,0,0,0,0.271718161060351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.136321013560931,0,0,0,0,0,0,0,0,0.261621582145037,0,0,-0.00633380711214832,0,0,0,0,0.128350524608922,0,0,0,0,0,0,0,0,0,0,0.00365214996184746,0.114506956453426,0,0,0,-0.20939306036811,-0.182762620986942,0,0,0.136127486220929,0,0.476514260929051,0,0,0.105685897208191,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,-0.0639425510218311,0,0,0,0,-0.625045887493938,0.283411509165602,0.127059928399931,0.543548806192266,0,0,0,0,0.330970428752272,0,0,0.149338689677867,0,0,0,0,0,-0.460021838532554,0,0,0,0,0,0.0993047627233957,-0.702245007516112,0,0,0,0,0,0,0,-0.386928519690935,0,0.263461436238384,0,0,0,0,0.464908034885508,0,0,0,-0.0214178123199929
X5.HK.EQUITY,-0.0652515371577439,-0.0670787738151433,0,0,0,0,0,0,0,0,0,0,0,0,0.517135815870488,0,0,0,0.406368043285818,0,0,0,0,0.0663276646337124,0.169808654700103,0,0,0,-0.0794879192471511,-0.111334343095228,-0.0927232634378879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234902361623503,0,0,-0.110177265318696,0,0,0
X601988.CH.EQUITY,-0.410255872493361,0,0,-0.0255989048443525,0.466126962301288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.835512809198619,0,0,-0.0572111404926318,0,0,-0.0438779141298546,0,-0.631723709707011,0,0,0,0,0,0,0,-0.0576447555201633,0,0,0.140112052723384,0,0.181819996902223,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.102041567001864,0.474354975178426,-0.041010676738871,0,0,0,0,-0.106786337222543,-0.0256486055344524,0.470310213614201,0,0.161109401139105,0,0,0,0,0,0,0,0,-0.105817027359238,0,0,0,0.27954193508401,0,0,0.0782039864904065,0,0,0.0945585569088972,0,0,-0.29412491106658,0,0,0,0,0,0,0,0.230691643670742,0,0,0.117575259512758,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0121905162063626,0,0,0.0807897796104048,0,0,-0.0892440543493841,0,0,0.0515333231006971,0.106118301432933,0,0,0.165513054716992,0,0,0,0,0,0,0.146061909077413,0,0,0,0,0,0,0.18168898213889,0,0,0,0,-0.0405847979818185,0,0,0,0,0.149401070656046,0,0,0,0,0,0.0144916809011941,0,0
X601628.CH.EQUITY,0,0.0155572656764035,0.0362110198288123,0,0,0,0,0,0,0,0.114923003157806,0,0.368904123137902,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,-0.0242536379495622,0,0,0,0,0.186490560239261,0.157232059099208,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0964218228793436
X601328.CH.EQUITY,0,0,0,0,0,0,0.390262526544924,0,0,0,0,0.101053929829511,0,0,0,0,0,0,0,0,0,0,0.0351672274278704,0,0.231216113345074,0.187312965591789,0,0,0,0,0,0,0,0,-0.128748321339725,0,0,0,-0.106683261070642,0,0,0,0,0.101514217055032,0,0.00987441264605397,0,0,0,0,-0.206428306192552
X601166.CH.EQUITY,0.00220212729639296,0,0,0.247594862794599,0,0,0,0,0,0,0,0.248074726374059,0,0,0.021134418320867,0,0,0,0.0504831248697224,0,0.118712348622786,0,0,0,0,0,0,0,0.16191650744922,0,0.0521009229370269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023385023264366,0
X600000.CH.EQUITY,0,0,0,0,0,0,0.52249991380382,0,0,0,0,0,0,-0.0338786476170035,0,0,0,0,0,0,0,0,0,0,0,0.370364297298974,0,0,0,0,0.050100596517997,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315694691846675,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,-0.00944549324990338,0,-0.134785008725249,0.0493989494899653,0,0.667095928423709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483541870862252,-0.096289707845381,0,0.256796321963658,0,-0.052873051948316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0421015573131065,0,0.123356511020204
X601319.CH.EQUITY,0,0.00744633097768656,0,-0.110900665237451,0,0,0,0,0,0,0,0,0.294418827097139,0,0,0,0,0,-0.0959070166605865,0,0,0,0,0.100338150887362,0,0,0,0,0,0,0,0,-0.0684388871963694,0,0,0.372305890383175,0,0,0,0,0,0.153417155448691,0,0,0,0,0,0,-0.0723937846771143,0,0
X000002.CH.EQUITY,0,0,0,0,0.260937459957902,0,0,0,0,0,0,0,0.203026521486208,0,0,0,-0.259609401464175,0,0,0,0,0.290695800777018,0,0,-0.131085920446323,0,0.337335539124887,0,0,-0.131488776801929,0.366054905072004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263758709191342,0,0.0321323005592631,0,0,0,0
X16.HK.EQUITY,0,0,0,0,1.73472347597681e-18,0,-0.0261687292530391,0.0972478876536811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196601473056347,0,0,0.0217234375970912,0.145589092233897,0.167218010684225,0,0.329951511347682,0,0,-0.070814575154734,0,0,0,0,0.313758461512907,0,0.0692787508392509,0,0.0735734307185894,0,0,0,0,0,0
