,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.418626639209859,0,0,0.0384980014856144,0,0,0,0,0,0,0,0,0.0191052587898358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156246004069405,0,0,0,0,0,0.24002577645888,0,0,0,0,0,0,0,0,0,0.218792395129514,0,0,-0.00934727030104548,0
X601318.CH.EQUITY,0,0,0,0,0.0211722138893225,0,0,0.0219066641545227,0.139763044308977,0,0.0515522529042408,0,0,0.0998341243843931,0,0,0,0,0.216400558074979,0,0.220019198376686,0.0276039323671444,0,-0.0163437470527395,0,0,0.0964429138107156,0,0,0,0,0,0,0,0,0,0.0350869753700125,-1.73472347597681e-18,0,0,0,0,0,0.0375817837972842,0,0,0,0,0,0,0,0.0844554500745762
X601939.CH.EQUITY,0,0,0,0.291433312049907,0,0,0,0,0,-0.0394753475053258,0.0374584084829802,0,0,0,0,0,0,0,0,0.0416413693611836,0,-0.286612334875471,0.705255966019248,0,0.0581518727494838,-6.93889390390723e-18,0.124728741459445,-0.205443632479551,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.06001028637157,0,-0.0460138257497355,0,0,0,0,0,0.0466217171496186,-0.00540787301302968
X601288.CH.EQUITY,0.112212268749551,0,0.0747316104903141,0,0,0.0874003339251376,0.403946477819492,0,0,0,0,0,0,0,0,0.0484799939839524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204982229652212,0,0,0,0,0,0,0.117921704081561,0
X600036.CH.EQUITY,0,0.181594928965696,0,0,0,0.0681336275605437,0.0911303407099898,0,0,0,0,0,0,0.206417678086365,0,0,0,0,0,0,0,0,0,0.0286955484626747,0,0,0,0,0.319142084815389,0,0,0.0873388175999855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178215801394779
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0375045331725551,0,0,0,0,0,0,0,0.160693814412647,0,0,0,0.121714949020989,0,0,0,0,0,0,-0.0620832902174006,0,0,0,0.185547185872684,0,0.0527666088617805,0,0,0.537476689574136,0,-0.0496506746000995,0,0,0.102838470798706,0,0,0,0,0,0.00180223073371361,0,0,0.075498522745766
X601988.CH.EQUITY,0.0401294570591914,0.172921011442376,0,0.221539224148309,0.335293468301338,0,0,0,0,0,0,0,0,0,0,0.139872084053841,0,0,0,0.105604547414266,0,0,0,-0.0210192248224985,0,0,0.111913948393013,3.46944695195361e-18,0,0,0,0,-0.0458015851626542,0,0,0,0.07199597158329,0,0,0,0,-0.110966762106074,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0452185898970277,0,0,-0.00228842495609523,0,0,0.12866801964507,0,0,0,-0.183860287725433,0,0,0,0,0,0,0,0,0,0,0,0.226989637197994,0,0.0279761590952472,0,0,0,0,0,0,0,0,0,0,0,0.140058910551379,0.114853278215716,0.0573796142237201,0,0.0671346956098329,0,0.0247501384835366,0.180623253304335,0,0.136625567032933,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.022920032488844,0,0.147572598440257,0,0,0,0,0.190386034824825,0,0.151982898907466,0,0,0,0.0699648980493413,-0.0560467845291526,0.453455449728162,0,0.0967871782637215,0,0,0,0,0,0,0,0,0,-0.113352181878567,0,0.203255203563124,0,0,0,0,0.1180877353136,0,0.276467683114547,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.104802926118346,0,0,0,0,0,0.00658590825759188,0,0,-0.0397402012833203,0,0,-0.133564093046626,0,0.475777470043044,0,0.225741443242181,0,0,0,0.197569635324051,2.16840434497101e-19,0,0,0.155945782889572,0.18833807878008,0,0,0,0.136763790835812,0,0,0,0,0,0.0602634350196181,0,-0.342305536491807,0,0,0,0,0,0,0
