,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.166993395167528,0,0,0,0,0,-0.192226346177246,0,0,0,0,0,0,0,0,0,0,-0.0220975448389805,0,0,0.384558138815708,-0.0313541046926672,0,0,0,0.430701637135735,0,0,0,0,-0.0693855758313833,0,0,0,-0.0344536024185378,0,0,0,0,0,0.0233502648780439,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0146774917792577,0,0,0,0,0,0.160958331604827,0,0,0,0.34811241603799,0,0,0,0,0,0,0.0217087560458633,0,0,0,0,0,0,0,0.206065209385994,0,0,0.0809749614686537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161853656897787
X601939.CH.EQUITY,0,0,0,0.764708470228855,0,0,0,0,0,0,0.116851163438826,0,0,0,0,0.101693369574729,0,0,0,0,0,0.00591987258471745,0,0,0.0111593419820224,0,0,0.0681691682081954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.971401928649381,0,0,0.0255493440976472,0,-0.0546577280742163,0,0.0207532054162175,0,0,0,-0.0277145351246182,0,0,0.0126197738680922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248112775295345,0,0,0,0,0,0.0221508726986569,-0.0198722837224343,0.011310048316616,0,-0.0616528375524909,0,0,0,0.0757444976297307,0,0,0,0,-0.128376659159384,-0.0259389943458955
X601628.CH.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.243171761110248,0,0,0,0,0,0,0,0,0.445580966454185,0,0,0,0,0,0,0,0,-0.0559497809479718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105129902058167,0,0.373783538572978,0,0,0,0
X600036.CH.EQUITY,0,0,0,0.371042193085552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157717813517616,0,0,0,0,0,0,0,0.160521446347305,0,0,0,0,0,0,0,0,0,0,0,0.0563121874528788,0,0,0,0,0,0,0.0493757719219875,0,0,0,0,0.0296413672203756,0,-0.0116928260132315
X601988.CH.EQUITY,0,0,0,0.0587827152232039,0,0.0230775126931743,0,0,-0.0624879003377594,-0.00894331157219434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706883728485871,0,0,0,0,0,-0.0272658776100611,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.128536877750934,0,1.00103172688817,0,0,0
X1299.HK.EQUITY,0,0.0325719892284527,0,0,0,0,0,0,0,0.201625651822902,0,0,0,0.18295779064121,0,0,0,0,0,0,0,0,0.31337121091442,0,0,-3.46944695195361e-18,0,0,-0.0562849689435922,0,0.0459271502217385,0,0,0,0,0,0.0649456006617322,0.0717799361561812,0,0,0,0,0.163137300268437,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0521825197946737,0,0,0,0,0,0,0,0,0.0830898951157584,0,0.556616669900289,0,0,0,0,0,0,0,0,0,0.0266789901789477,0,0,0,0.198218938724822,0.259118997605912,0.329759624302815,0,0,0,0.235910848444659,0,0
X388.HK.EQUITY,0,0.212755867853618,0,0,0.17087604427129,0,0,0.0421660294289788,-0.05506302725434,0,0,0,0,0,0,0,0,-0.0727737200591269,0,0,0.0373362094088569,0,0.178699378424463,0,0.135857767727651,0,0,0,0,0,0,0,0,0,0,0,0,0.232617728979682,0,0,0,0,0,0,-0.14573011981147,0.091830171542071,0,0,0,-0.0719022693351375,0,0.230245603499393
