,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,-3.46944695195361e-18,0.0503672291503022,0,0.0760881845993464,0.128634463155251,0,0.360579149873135,0,0,0,0,0.00139066893719911,0.100935028179484,0,0,0,0,0,0,0,0,0,0.0846262286590956,0,0.0130660290628128,0,0,0.152493316109693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.147594769430369,0,0,0,0,0,0,0,0.274407783349186,0,0,6.93889390390723e-18,0,0,0.0614105061933746,0.204640166207581,0,0,0.155404593328906,0,0,0,0,-1.38777878078145e-17,0,0,0.0421909734889762,0,0,0.0467462919354821,-0.114065825119033,0,0,0,0,0,0.0996854962928552,0.119285010397579,0,0,0,0,0,3.46944695195361e-18,0,0,0.0136775294618538,0,0,0.00687983151486815,0,-0.0415086443384295
X601939.CH.EQUITY,0.309831361823008,0,0,0,0,0,0,0,0,0,0,0,0.262354507750252,0,0,0,0,0.011417787278581,0,0,0,0,0,0,0,0,-0.0324430015021196,0,0,0,0,0,0,0,0,0,0.220900003944058,0,0.0921700527089206,0,0,0,0,0.0995548754145608,0,0,0.0463493733211629,0,0,0,0,0
X601288.CH.EQUITY,0.347216595566848,0,0.0266520222928487,0,0,0.489663597782237,0,0,0,0,0.0073561860475417,0,0,0,0.0358148107924202,0,0,0,-0.025679402196661,0,0.00929591913664891,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101046681424438,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.218261889635466,0,0,0,0,0,0.292320747767539,0,0,0,0,0,0,0,0.00587925395535401,0.66120127359015,0,0,0,0.0700659995077097,0,0,0,0,0,0,0.0966194361110234,0,0,0,0,0,0,0,0,-0.219798085261203,0,0,0,0,0,0,0,0,-0.0108305352111513
X601988.CH.EQUITY,0,0.0769558635097809,0,0,0,0,0,0,0.151660900861785,0,0,0,0.181165031986742,0,0,0,0,0,0,0.119101255211595,0.133253317148082,0,0,0.268967843562104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.219062230399916,0,0,0.258950121740405,1.38777878078145e-17,0,0.0304879240627079,0,0.180961239726792,0,0,0,0,0,0,0,0,0,0,0.00369118670966692,0,0,0.0934232452664145,0,0,0.103964689828474,0,0,0,0,0,0,0,0.0495161736160653,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0638137048321753,0,0,0,0.437542673190141,0,0,0,0,0,0.167145350219525,0.132253245364458,0,0,0,0,0,0,0.288670393649923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.385834855929983,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117588430239335,0.0964185746492386,0,0,0,0.13536720145776,-0.0201191706524586,0,0,0.0482776166378419,0,0.232065278575381,0,0,0,0,0.118234627364247,-0.0128925804174806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.440326778682081,0,0,0,0,0,0,0.228951971929753,0,0,0,0,0,0,0,0,0,0,0,0,-0.00452694710595024,0,0,0,0.140166458351274,0,-0.0949192881582216,0,0.332483231049186,0,0,0,0,-0.0271487910245617,0,0.861800013132392,0,0,0,0,0,0.298301790122922,0,-0.235334228759659,0,0
