,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.21148342667804,0,0,0,0,0,0,0,0,0,0.0424659237816853,0,0,0,0,0,0,0,0,0,0,0,0.201510370431072,0.12394102134481,0,0,0.0353838442842161,0.137536187420988,0,0,0,0,0.223375258754348,0,0,0,0.0388838808794844,0.0146389445546018,0,-0.0482014136292972,-0.0149606999892853
X601688.CH.EQUITY,0,-0.0111381455052508,0,0,0.257454149727311,0,0,0,-0.171773377866238,0,0,0,-0.104296245390413,0.124895140017418,0,0.212797833016166,0.1406587989195,0,0,-0.0137137841087536,0,0,0,0,0,-0.181473021207769,-0.0645908517596011,0.140357857531557,0,0,0,0,0,0.260879237055568,0,0,0.199573025390573,0,0,0,0.34412357621575,0,-0.00295981543444267,0,0,0,0,0,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313446201201189,0,0,0,0.114667575471936,0,0,0,0,0.0356990842548711,0,0,0,0,0.115733836261634,0,0,0,0,0.109776618861156,0,0,0,0,0,0,0,0,0,0,0,0,0.289852554873914,0.25878979612925,0.135651977251856,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.294984949081356,0.149316373638386,0,0,0,0,0,0,0,0,0,0.182612831612538,0,0.169362269524868,0.0133106860896772,0,0,-0.0714134360227069,0,-0.352149509205115,0,0.121505607861788,0,0,0,0,0,0,0,0.0659652055777861,0,0,0,0,0,0.174855828269956,0,0.297623232184418,0,0,0.0222370743241962,0,0,0,0,0.0251786218729252,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.188324724969791,0,0,0.0491554748978814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118517980995126,0.105433255469214,0,0,0.0238786727038664,0,0.17614634708861,0,0,0,0,0,0,0,0.0256704544301689,0,4.33680868994202e-19,-0.110502810201448,0
X601336.CH.EQUITY,0,0,-0.0651901369954169,0,0,0.11229834601445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335322380584859,0,0,0,0,0,0.0942820223472765,0,0,0.0465950737949399,0,0,0,0,0.111052099093309,0.362386268432437,0,0,0,0.0806779850688246,0,0,0.0492987720766979,0.119225036538887,0,0,0,0,0,0,-0.121219490410257,0
X601601.CH.EQUITY,0,0,0.0922153340365132,0,0,2.16840434497101e-19,0,-0.0323475853420924,0,0,0.286345771138731,0,0.0893707308215817,-0.331104104034144,0,0,0,0,0,0,0,0.113042575760017,0,0,-1.73472347597681e-18,0,0.112565136490966,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010001292531003,0,0,0.620014483076611,0,0,0,0,0,0,0.0841893427857495,-0.0437285397757416
X601628.CH.EQUITY,0.0827271411354972,0,0,0,0,0,0,0.0519851185907023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371067461810587,0.0122737294711013,0,0,0,0.22572375467482,0,0.219153495409969,0,0,0,0,0,0,0.0524367174601908,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,-0.212816359130428,0,0.0396544783075207,0,0,0,-0.0729883494218267,0,0,0,0,0,0.170629693304432,-0.054631068370111,0,0.183078394473948,0.000504081739077948,0,0.0444323142592571,0.152302805975615,0.0305933425651614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779750487781282,0,0,0,0,0,0,0.121308174790926,0.0846300958267279,-0.0612215977804682
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.00902892804013187,0,0,0,0,0.0241634544066726,0,0,0,0,0,0,0,0,0,0,-0.0176229354321872,0,0,0,0.0946832035283682,0,0,0.167813840623384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317428521173889,0.223069357519534,0,0,0,0
X2882.TT.EQUITY,0,0,0,-0.0343947452386504,0,0,0,-0.0808842887715054,0,0,-0.0267836461852931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605465434637684,0,0,0,0.0647937861266041,0.140543178358155,0.00207172260468935,-3.46944695195361e-18,0.0568930828716436,0,0,0,0,0,0.0994108428107958,0,0,0.0332283600350334,0,0,0,0.317930990315913,0,0,0.228541538988565,0.0606019397863771,0,0
X2883.TT.EQUITY,0,0,-0.00651581720479587,-0.0508943426907903,0,0,0,0,0,0,0,0,0,0,0,0.0292468995002859,0,0,0,0,0,0,0,0,0,0,-0.0447978690360219,0,0.045389929631042,0,0,0,0.098712046556042,0,0,0,0,0,0.204123560986484,0,0,0,0,0,0,-6.93889390390723e-18,0.427560342162384,0,0.179606089630478,0,0,0
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0615900087888759,0,0.0640790875249885,0,0.0254345975910007,0,0,0,0,0,0,0,0,0,-0.0567116073080993,0.0239010661949021,0,0,0.1715130817279,0.0229419595673724,0,0.0954240757853628,0,0,0,0,0,0,0,0.0702015621674997,0,0,0,-0.00846155445476489,0,0,0,0.254286566809791,0.23463649487946,0,0.0454490057784031,0,0.0374387389757251
X267.HK.EQUITY,0.0170645144126913,0,0,0,0,0,0,0,0.0224882727447798,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255390599682157,0,0,0.369609058685392,0.0367987511098942,0,0,0.318663834567265,0,0,0,0.111572368711259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197270203524501,0,0,0.0308031571958479
MKRturn,0,0,-0.169089895441104,0,-0.271846669559556,0,0,0,0,0,0,-0.0444305390858086,0.0438038317407892,0,0,0,0,0,0,0.0497150905861003,0,0,0,0,-0.0972916092394275,0,0,0.556852937324761,0,0.00461628469480508,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00929325506619443,-0.0419275137142271,0.0146442480471186,0,0,0,0,0,-0.188879807431065
TED,-0.0292174428410145,0,0,0,0.104033628860738,0,0.337258625830462,0,-0.0931445809041537,0,0,0,0,0,0,0,0,-0.103542016310518,0,0,0,0,-0.129438386826091,0,0,0,0.243760828937905,0,-0.217357062428838,0,0,0,0,0,0,0,0,0,0,-0.0878828809156099,0,0,-0.197535980540362,0,0,0,0,-0.29625386256779,0,0.116221384424148,0,0
