,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X1113.HK.EQUITY,0,0,0,0,0,0,0.250634533548809,0,0,0,0,0,0,0,0,0,0.292647065464497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527292262684809,0,0,0.0389499184255039,0.0276126462992533,0,0,0,0.199504835755731,0.121519326957796,0,0,0.103328577339027,0,0,0,0
X12.HK.EQUITY,0,-0.158340687546853,0,0,0,0,0,0,0,0,0,0.144720669283829,0,0,0,0,0.222192858782774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427211220578678,0,0.162529766841718,0.0281543111180586,0,0,0,0,0,0.171992851647982,0,0,0,0.105493049691036,0,0,0,0.165513707243849,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.000569335327231166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115866108276896,0,0,0,0.128355628386646,0,0.0391987537454454,0.182035554186183,0,0,0.0676933440908104,0.36610697793465,0,0.0610840970412915,0,0,0,0
X17.HK.EQUITY,0,0,0,0,0,0,0,0.111217150394782,0,0.0624062802522144,0,0.0181180360924397,0,0,0,0,0,0,0,0,0,0,0,-0.0393347073514911,0,0,0,0,0,0,0.0169323635507896,0,0,0,0,0,0,0,0,0,0,0.283684722149607,0.110707062903435,0,0.250710125559928,0,0,0,0,0.185654623462672,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0.169050977986474,0,0,0.0141851712846122,0,0,0,0,0,0.000639129342661825,0,0,0,0,0,0,0,0,0.11590259707107,0,0,0,0,-0.142866340475212,0,0,0,0,0,-0.212337826567094,0,0,0.115516048753787,0.112145024227592,0,0.239734892031512,0,0.025893506263343,0.0637146508728437,0,0.277648106676176,0,0.0640950786304387
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770702571240012,0,0,0.200642467574626,0,0,0,0,0,0,0.0770071180935901,0.175179913388803,0,0,0,-0.146534722955411,0,0,0.110353233803407,0,0,0,0,0.139068049194719,0,0,0,0,0,0,0,0.426934080989706,0,0,0,0,0,0.0597238890937255
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442051310250247,-0.0561833003318133,0,0,0.059085732370289,0.179951653847025,0,0,0,0,0,0.12312225995855,0,0,0.122645005270108,0,0,0.0512515149978059,0,0,0,0,0,0,0,0,0,0,0,0.149469754493245,0,0,0,0,0.0857177742378209,0.134430693044596,0,0.171632278714871
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0.08968023036797,0,0,0,0,0,0,0.0557571612777683,0,0,0,0,0.176173745494614,0,0,0,0,0,0,0.251203622289243,0,0,0,0,0.225371719292944,0,-0.0711403846181472,0,0.211063258593966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,-0.0463419646145694,0,0,0,0,0,0,0,0,0,-0.000959768018910843,-0.0703437697394996,-0.161348142172798,0.113963105714687,0.318949335734869,0,0,0,0,0,0,0,0,0,0,0,0,0.0957713700679307,0,0,0,0,0,0,0,0,0,0,0.100996728348338,0,0.450470129141801,0,0,0,0,0,0,-0.118774134753757
MKRturn,0,0,0,0,0,0,0,0,0,0.195023249987417,0,0,0,0,0,0,0,0,0,0.589500861049641,0,0,0,0,-0.099762934325756,0,0,0,0,0,-0.232081639310679,0,0,0,0.0385057976832476,0.31432682121063,0.0328357976832888,0,0,0,0.124663347749752,0.118361615304556,0,0.249520952984107,-0.476802869758938,-1.73472347597681e-18,0,0,-0.306288598945973,0,0.41786886743466
TED,0.0250497643255958,-1.73472347597681e-18,0,0,0,0,0,-0.0195001905542848,0,0,0,0.103968769096399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152102450781012,0.11029572762676,-0.00593207186992885,0,-0.0194303057943945,0,-0.0825999000973811,0,0,0.110627984969507,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0
