,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.182957147831365,0,0,0,0.0919577652474818,0.0910000348760239,0,0.0266479571990057,0,0,0,0.249996769265244,0,1.38777878078145e-17,0.0851143765654742,0,0,0,0,0,0,0,0.0158702414918965,0,0.071112564221373,0.00339904841099886,0,0,0.14295297718675,0,0.140431615449989,0,0,0,0,0,0,0,0.00991641463820501,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.20043010924134,0,0,0,0,0.55251428740859,0,0,0,0,0,0,0,0,0,-0.140524416424029,0.0785660790682151,0,0,0,-0.0718031377725364,0,0,0,0,-0.172114302886647,0,0,0,0,0.293615957885969,0,0.40165879676398,0,0,0,-0.0547512176659386,-0.196660784812248,0,-0.115190532557206,0,0,0,0,0,0,0,0,0,0,-0.0922338396581969,-0.0698719351927974
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.382886996571214,0,0,0.412003292240627,0,0,0,0,0,0,0,0,0,0.0275483377344046,0.0845971993749264,0.0945813808560293,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.030354040495458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.356172838754856,0,0,0,0,0,0,0,0,0,0.139287657725465,0.00406592788225001,0,0,0.00894771593763372,0,0,0,0,0,0,0,0,0,0,0.0666543476676387,0,0,0,0,0.250755194205363,0,0,0,0,0,0,0.0689505465895787,0.0810608539752886,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.0292870008198158,0,0.115913942490322,0.0306197609811613,0.49982129364476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257920161278838,0.0134581096884811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484066023530452,0,0,0,0,0
X600036.CH.EQUITY,0.133737036749266,0.00330158969183875,0,0,0,0,0.282146383439866,0,0,0,-1.73472347597681e-18,0,0.109530037812459,0,0,0,0,0,0,0,0.028258454977433,0,0,0,0,0,0.0340056937321684,0,0,0,0,0,0,0,0,0.20357210532224,0,0,0.0975984100754318,0,0,0,0.0397366956555178,0,0,0,0,0,0,0,6.93889390390723e-18,0
X601166.CH.EQUITY,0.142143642070695,0,0,0.107825724764844,0.0286362844433709,0.321075086510229,0,0,0,0,0,0,0.251964763968206,8.67361737988404e-19,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.141264732549562,0,0,0,0
X601169.CH.EQUITY,0.0914030163226262,0,0.213404246523443,0.0547173762423162,0,0,0,0,0.0733531013747973,0,0.034198507966052,0.163364559294441,0,0,0,0,0,0,0,0.0379707235924963,0,0,0.0426051553844296,0,0.11398089532127,0,0,0,0,0,0,0,0.183319314478175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.533229857236327,0,0,0.0503202695601177,0,0,0.153157826735524,0,0,0,0,0,0,0,0,0,0,0.0851853057963904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123528360137102,0,0,0,0,0,0
X601288.CH.EQUITY,0.00310583506494448,0,0,0,0,0,0,0,0,0,0,0.336354630787494,0,0.107691577826304,0.437605449830489,0,0,0,0,0,0.0143371648632997,0.00374708191322258,0,0,0,0,0,0,0,0.0575326824645023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335499180735967,0,0,-0.0494581126613628
X601328.CH.EQUITY,0,0,0.62142726643722,0,0.0425166293258349,0,0,0,0.204648042350699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430492948915335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025314516645704,0,0,0.038765761033752,0,0,0,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.308945215775248,0,0,0,0,0,0,0.0476973294562776,0,0,0,0,0,0,0,0,0,0.0431127680791265,0,0,0.0514725066740147,0.360923903183795,0,0.0900631671361426,0,0,0,0.0587990543898405,0,0,0,0,0,0,0,0,0,0,0,-0.0444578351509625,0,0,0
X601818.CH.EQUITY,0.448999701892463,0,0,0.409163150687371,0,0,0,0,0,0,0,0,0,0,0,0.0110589178034899,0,0,0,0,0,0,0,-0.0204944812793307,0,0,0,0,0,0,0,0,0,0,-0.0560805311574355,-0.227570600835398,0,-0.0575907981647381,0,0.103466108522779,0.11129218195023,0,0,0,0,0,0,0,0,0,0,0.0925644341384392
X601939.CH.EQUITY,0,0,0.459186867684254,0,0,0,0,0,0.0127551393484867,0.283392078379622,0,0,0,0,0.0676948824113904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073240005709824,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0
