,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.113795348023332,0.118399522566605,0,0.121434321130352,0.129721538543603,0,0,0,0,0,0,0,0,0,0.100899760044748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698101875985251,0,0.0749722930994581,0.0958977315852273,0,0,0,0.0101731377541733,0,0.0284463151341708,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.163311838149797,0.532921897895791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33279053397543,0,0,0,0,0,0,0.0442954053564701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252454005706526,0,-0.0175278526538946,0,0,0,-0.204249197071539,0,0,0,-0.0360284948066363
X600000.CH.EQUITY,0,0,0,0,0.120909792423196,0,0,0.193387033686008,0,0,0,0.156228105253443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258441340913764,0,0,0,0,-0.0302398452110027,0,0,0,0,0,0,0.0817092893940713,0,0,0.692974365021671,0,-0.113697633540671,0,0,0,0,0,0,0,0,3.46944695195361e-18
X600016.CH.EQUITY,0,0.154734198388633,0,0,0,0.21581001771891,0,0,0.147384225240622,0,0,0,0,0,0,0,0.0565253847336483,0,0,0,0.437049721903904,-0.410491027293905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417661531806639,0,0,0.0289585560036463,0,0,0,0,0,0,0,0,0,0.00469006848346855
X600036.CH.EQUITY,0,0.180822226705107,0.132297944391416,0,0,0,0.0211773387706497,-1.73472347597681e-18,0,0,0,0.385232801644083,0,0,0,0,0.189584366866522,0.00825907407981175,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0101986863018761,0,0,0,0,0,0,0,0,0.0163772936277765,0,0,0,0.00723340470837004,0
X601166.CH.EQUITY,0.0703905403674036,0.0137646925644663,0.0725146100525209,0.04924721346428,0.0108194175759193,0,0,0,0,0,0.0473334513053174,0,0.533144162866094,0.0504464428504775,0.0694172285525916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328973321696269,0.0188233123769095,0,0,0,0,0,0,0,0,0.021571317274658,0,0,0.0785813083386397,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0,0.00383012672250347,0,0,0,0,0,0,0.727263584534999,0,0,0,0,0,0,0,0.488424146586483,0,0,0,0,0,0,0,0,0,0,0.132083247526518,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.259812868522001,0,0,0,0,-0.156109922844955,0,0,0.0714311804118925,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.921914714059386,0,0,0,0,0.059028464085573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116148937589901,0,0,-0.0678997492293251,0,0,0,0,-0.103034186871145,0,-0.0147921242767318,0,0,0,0,0,0,0,-0.047239520226981,0
X601328.CH.EQUITY,0,0,0,0.327705847890357,0,0,0.248337924660782,0.212741553089255,0,0,0,0,0.0103993481021664,0,0,0,0.00468654671615395,0,0,0,0,0.0473271650908045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256881519653371,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,0,0.107791919176366,0,0,0,0,0,0,0,0,0,0,0,0.68834233380588,0,0,0,0,0,6.93889390390723e-18,0,0,-0.12776732615249,0,0,-0.338795227571503,0,0,0,0,-0.138338509650643,0,0,0,0,0,0,0,0,0,-0.133940349002105,-0.0832281638676147,0.0393781977469158,0,0,-0.0966309385972973,0,0,0.431999228044709,0,0,0
