,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.121488630632289,0.12737172392099,0,0,0,0.222431851827378,0,0.0564569179274262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.108982651507873,0,0,0,0.0580661989525414,0,0,0,0,0.149627059459139,0,0,0,0.107209529372561,0,0,0,0,0
X002142.CH.EQUITY,0.218597058451884,0,0,0,0,0,0,0,0,0,0,0.0480738538314022,0,0,0.0691742544222552,0,0.140457873911718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185944001573791,0,0,0,0,0.100381260787094,0,0,0,0,0,0.071019081677874,0,0,0,0,0,0,0,-0.0898170596282681,0
X600000.CH.EQUITY,0,0,0,0,0.237134428625326,0,0,0.271640579404951,0,0,0.235684149774299,0,0,0,0,0,0,0,0.0402779887671509,0,0.008412323639018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092535065642057,0.0252135323945525,-3.46944695195361e-18,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0.150180154239733,0.314208351877662,0.0533161330098979,0,0,0.042083466437917,0,0,0.18087669641114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100717033230065,0.165536942174625,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,0.33410612995281,0,0,0.23028581930359,0,0,0.17974704185981,0.208980747313534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549858681566939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.566673657539143,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.150829441743813,0,0,0,0,0.0302388965513232,0,0.0564903557709079,0,0.130382305882011,0,0,0,0,0,0,0,0,0.232647368101658,0,0,0.0121253300640351,0,0,0,0,0,0,0,0,0,0.00353973274351554,0,0
X601166.CH.EQUITY,0.208850677288901,0,0.113387753758885,0.0901248153240052,0,0.149821925638118,0,0,0,0,0,0,0.333955523860831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0876974913345991,0,0
X601169.CH.EQUITY,0,0,0,0.160415737924859,0.0344798175511992,0,0,0,0.257961263245831,0,0.0273346508643295,-2.16840434497101e-19,0,0,0,0.194754110897186,0,0,0,0,0,0.0386388800304456,0,0,0,0,0,0,0.0817385647077564,0,0,0,0.0932292451900899,0.0470947774199639,0,0,0,0,0,0.0786410229894637,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0236520990606095,0.182539394700987,0,-1.38777878078145e-17,0,0,0,0,0.0638964829405426,0.148801526317412,0,0.110748123748625,0,0,0.213890858444229,0.0733675255048557,0,0,0,0,0,0,0,0,0,0.158896158514576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196444868741561,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.113405245586614,0.382481665986585,0.0137561928635905,0.00490237270717705,0.374320689558471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792354104551083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216091507293734
