,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,TED
X000001.CH.EQUITY,0,0.0130014206472264,0,0,0,0.17176788777273,0.0589307523472989,0,0,0.43507325818625,0,-8.67361737988404e-19,-0.0338367570180409,0,0,0,0,-0.0706266297256254,0,0,0,0,0,0,0,0.0824348942554126,0,0,0,0,0,0,0,-0.0400812354143514,-0.00531394495625413,0,0.131136621379431,0,0,0,0,0,0,0.163746193321967,0,0,0,0,0,0,0,0.0986158855451005
X002142.CH.EQUITY,0.284715265729393,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0.18478434322157,0.258550256341669,0,0,-0.0166457133468753,0,0,0,0,0,0,0,0,0,0.175056648360259,0,0,0,0,-0.0128098892736242,-0.187106827918702,0,0,0,0,0,0,0,0,0,0,0.151205363388266,0,0,0,0,0,0.0640898265136071,-0.111103408845664
X600000.CH.EQUITY,0.0235643799256814,0.170520729145356,0,0.000932485568520227,0,0.173869997372877,0,0.0888895784729261,0.113550620659089,0,0,0.157557523361322,0,0,0,0,0,-0.0665872701895252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287462034578174,0.301357087706868,0,0,0,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0.153587938327147,0,0,0,0.0246190614204252,0,0,0,0,0,0,0.222756871503928,0,0.17159591217214,0,0,0,0,0,0.00696230629780252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156266216649665,0,0,0,0,0,0.00346704499182458,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0.321415026954408,0,0,0,0,0,0,1.38777878078145e-17,0.162094632966812,0,0,0,0.1872814378595,0,0,0,0,0.262013250392751,0,-0.128239580305721,0,0,-0.147840768687565,0,0,0,0,0,0,0,0,0,0,0,-0.0553071438143751,-0.10244664846742,0,0,0.164364321986397,0,-0.263065176596603,0,0,0,-0.0428893930638059,0.0729748204291342
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.384262511781359,-0.0589120661173463,0,0,0,0,0,0,0,0.338125623178546,0,0,0,0,0,0,0,0.18541727460453,0,0,0,0,0,0,0.280939556719553,0,0,0,0,0,0,0,0.094316307938604,0,0,0,0,0,0,0,0.0147686935963632,0,-0.0444770628430685
X600919.CH.EQUITY,0.331129341837503,0.0956890485512708,0,0,0,0,0,0.0619073326837463,0,0,0,0,0,0.368817184135469,0,0,0,0,0,0.188120436396244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198234842877087,0,-0.060371436217209,0,0,0,0,0,0,0,0,0.131651805328783
X600926.CH.EQUITY,0.0493578828881854,0.24249280996603,0,0,0,1.38777878078145e-17,0.317262746486715,0,0.00597477810313062,0.012358691005721,0,0,0,0,0,0,0,0,0,0,0,0,0.231885872161237,0,0,0,0,0,0.0250149673567335,0,0.0820535856665815,0,0,0,0,0,0,0,0,0,0,0,0.00103702491683549,0,0,0,-3.46944695195361e-18,0,0,0,0,0
X601009.CH.EQUITY,0,0.485833477608691,0,0,0,-0.681134806580778,0,0.0835491267519475,0,0,0,0,0,0.166778653889784,0,0.0720958585599955,0,0,0,0.124511400091157,0,0.185827703241409,0,0.253481452380216,0,0,0,0,0,0.32943593331008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256616466336978,0,0,0,0.113894543530285
X601166.CH.EQUITY,0.431291726301349,0,0,0,0,0,0,0,0.359852963041574,0,0,0,6.93889390390723e-18,0,0,0,0,0.118571149476168,0,0.133962938359323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228804063279679,0.0115582185485969,0,0,-0.180664705309622,0,0,1.0842021724855e-19,-0.107676696019604,0
X601169.CH.EQUITY,0,0.0428275286460789,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.164387922637051,0,0,0.0351445155582395,0.122028455431809,0,0.0967779278267213,0.0870365244652454,0,0.0466220237241176,0.282837845046649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055490934521941,0.0242416794634252,0,0,0,0,0,4.33680868994202e-19,0.108873391545304,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.0222652051059289,0,0,0,0,0,0.0125520517357209,0,0,0,0.396314827888399,0,0,0.0320483762916047,0,0.327136067947192,0,0,0,0,0,-0.0553789445668921,0,0,0,0,0,0,0,0,0,-0.0468218419163377,0,0,0,0,0.000247815483718295,0,0,0,0,0,0,0,0.422211572505989,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0541882364108749,0.128684077593195,0,0,0,0,0,0,0.471590243789372,0,0,0.0844210840613844,0.10579483076062,0,0,0,0,0,0,0.062016043009051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200865560302925,0,0,0.0245057280666383,0
