,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X5.HK.EQUITY,0,0,0.240077040739891,0,0,0,0,0,0,0.0525891078793564,0.136195774840097,0,0,0.136910323345443,0,0,0,0.686175772518793,0,0,0,0,0,0,0,0,0,0.0138443147733291,0,-0.0491439629238417,0,0,0,0,-0.144411916548856,0.138651432552309,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.16424335651047,0,0,0,0,0
X2891.TT.EQUITY,0,0,0.124373840527172,0,0,0,0,0,0,0,0,0,0,0.42849806505757,-0.320292844914697,0,0,0.0957313118668589,0,0,0,0.134377639750947,0,-0.147321656168216,0,0,0,0,0.143852877487507,0.309386676464954,0,0,0.1222570223469,0,0,0.077833463703897,0.136039445117961,0,0,-0.0655042570469243,0,0,0,0,0,0,0,0,0,0,-0.311534647492365
X000166.CH.EQUITY,0,-0.0563243117409306,0,0,0,0,0,0,-0.0370874121057343,0,0,0,0,0.290721990385507,0,0,0,0,0,0,0,0,0,0,0.519408377064698,0.182747581365331,0,0.0610896534317188,0,0,0,0.0775473128270611,0,0,0,-0.012377846391665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881919807245091
X600030.CH.EQUITY,0,0,0,0,0.00721191507612747,0,0,0,0,0,0,0,0,0,0,0.0893205393549313,0,0,0,0,0,0.0668862369891374,0,0,0.0872273086572586,0,0.426578577726613,0.223070315555622,0,0,0,0.00591775818835949,0,0,0,0,0.101828772538632,0.0492896774811772,0,0,0,0,0,0,0,0,0,0.00783692105515505,0,0,0
X600837.CH.EQUITY,0,-0.0568506389548305,0,0,0,0,0,0.0445040268484591,0,0,0,0,0,0,0,0,0,0,0,0,-0.188025392747978,0.383171263825849,0.224274727697242,0,0.0466736728569909,0,0.0974373783761454,0,0,0,0,0,0,0,0,0,0.0695369631334622,0,0,-1.0842021724855e-19,0,0,0.0765304485045086,0,0,-0.0807549003343893,0,0,0,0,0
X600999.CH.EQUITY,0,0,0.10043519846334,0,0.306662018401368,-6.93889390390723e-18,0,0,0,0,0,0,-0.135513873881886,0,0,0,0.0197472098318185,0,0,0,0,0,0,0.0768998203596493,0,0,0.468491281498965,0,0,0,0,0,0,-0.0481750957723774,0,0,0,0,0,0,0.0646424196028769,0,0,0,0,-0.285955685624722,0,0,0,0,0.0958141799619649
X601066.CH.EQUITY,0,0,0,0,0.0514000535733553,0,0.0368609094276019,0,0.0142592818525754,0,0,0.000151813806738553,0,0.0438308306395591,0,0,0,0,-0.235488611029132,0,0,0,0,0.345824207641206,0,0,0,0.0908195029591343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542122350832165,0,-0.259950442173399,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0982277300086072,0,0.515694000301324,0.0182821327175424,0.344049907173048,0.195682851611573,0,0.0331843155068833,0,0,0,0,0,0,0.00840268040273318,0,0.105021739740431,0,0,0,0,0,-0.0128829601480669,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.00329621026604786,0,0,0,0,0,-0.56501303977372,0,0,0,0.0235483528875462,-0.0343557202798922,0,0.922734858302962,0,0,0,0.101423389434022,0,0,0,0,0,0,-0.276358718195694,0,0,0.137595979408226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0.347767575803492,0,0.0855999772875691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.453555761987902,0,-0.00447556421884857,0,0,0,0,0,0,0,0,0.127293755085539,0,0,-0.0273499048960812,0,0,0,0,0.185989057461411,0.181741066990992,0.156904828727393,0,0,0,0,0,0.238496833444625
X601318.CH.EQUITY,0,0.114338706944092,0.275087637572104,0,0,0,0,0.177447424671378,-0.249513514407104,0,0,0,0,0,0.0280101481301147,0,0,0,-1.73472347597681e-18,0,0.0889642460888231,0,0,0,0,0,0,0,0,0,0,0.102888207550527,0.0703991187414258,0.242864993996806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,-0.139709572870013,0,0,-3.46944695195361e-18,0,0.0880922246656838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119544516846265,0,0,0,0,0.124501833565892,0,0,0,0.165147717933519,0,0,0,-0.0262453822430852,0,0.222276034724883,0.207166975089995,0,0.0584883848846327,0,0,0,-0.236068314465171,0,0,0,0,0,-0.292743596687467
X601336.CH.EQUITY,0,0.235714653797131,0,0.324622713923603,0,0,0,0,0,0,0,-0.0716988650736843,0,0,0,0,0,0,0,0,0,0.266793253822,0.0487749822688405,0,0,0.00884546446979791,0,0.0144961906288688,0,0,0,0,0,0,-0.0911277920092479,0.0902234340736087,0.190416621643297,0,0.172462213075663,0.258863222835286,0,0,0,0,0,0,0,0.0238869090665348,0,0,0.0346605270107999
X601601.CH.EQUITY,0.0686021601000193,0,0,0,0.0764146649018973,0.0739957142058931,0.389809615728765,0,0.240821972691204,0,0,-0.0989502112726368,0,0,-0.248166017114803,0,0,0,0,0,0,-0.0600481896754784,0,0,0,0,0.0427036978427386,0,0.236481327616818,0,0,0,0,0.250428667068905,0,-0.0981017109876806,0,0,0,0,0,0,0,0,0,0,0.188080526003981,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.394969503180695,0,0,0,0,0,-0.224133422056068,0,-4.33680868994202e-19,-0.168413841984052,0,0,0,0,0.0541613005374803,0,0,0,0.273270928549535,0,0,0,0,0,0.0905744841061755,0.0904839927744153,0,0,-0.0720682016294951,0,0,0,0,0,0,0,0.0514499711786599,-0.0401274435642148,0,-0.0468246215230984
X1299.HK.EQUITY,-0.0833762550580054,0,-0.0729746463472968,0,0,0.17168973335225,0.0478021646618612,0,0,0,0,0,0,0,-0.00906236650528201,0,0,0.278501815255423,0,0,0,0,0,0,0,0,0,0,0.335544367019863,0,0,0,0,0,0,0,0.0774668845023253,0,0,-1.73472347597681e-18,0,0,0,1.38777878078145e-17,0,0.0547806479096476,0.108510510195019,0,0,0,0
