,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X601939.CH.EQUITY,0,0,0.107496512881202,0.0618540157657522,0,0,0,0,0,0.249933501778543,0.020915293073436,0.415555190096289,0,0,0,0.176685167195487,0,0,0,0,0.0619465509945113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178848844584961,-0.0259302652811586,0,0,0,0,0,0,0,0,0,0,-0.0490765489515984
X601988.CH.EQUITY,0.101351494865986,0,0,0,0,0,0,0,0,0.376693053336961,0,0,0,0,0,0,0.357818586563983,0,0,0,0,0.10611258757435,0,0,0.269775034712604,0,0,0,0,0,0,0,0.0295855344856822,0,0,0,0,0,0,0,-0.593244091808315,0,0.074050003773919,0,0,0,0,0,0,0,0,-0.171679744344447
X601998.CH.EQUITY,0,0,0.153749605491368,0,0,0,0,0.283969980722296,0,0,0.0502499124036873,0,0.0937161712482517,0.285453083022102,0.0717023117821461,0,0,0,0,0.0332001029900695,0.101080988678166,0,0,0,0,0,0,0.0259394899151403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695862038473737,0,0,0,0,0,0,0,0,0,-0.0234706486174203
X601658.CH.Equity,0.225908802209154,0,0.207557509049721,0,0,0,0,0,-0.0367587655924102,0.022929629824368,0,0,0,0,0.125246001349623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126021063295882,0,0.0878184685150525,0,0,0,0,0,0,0,0.122911094538011,0,0,0,0.27106973711874,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.0275469695092139,0,0,0,0,0,0,0,0,0,0,0,0,0.228221755361229,0.283424133772679,0,0,0,0,0,0.0956177137997244,0,0.00617327809974414,0,0,-0.00851038752121563,0,0,0,0,0.261140988337871,0,0,0,0,0,0,0,0,0,0.0636267100207378,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132659979259617,0,0,0.0736774467841088,0,0.096699877703699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237441239151305,0,0,0,0,-0.0114505583065691,0,0,0.198993135100931,0,0,0,0,0.269169165747805,0.0233829597390422,0
X5.HK.EQUITY,-0.0396931486828932,0,0,0,0,0,0,0,0,0,0,0,0.018226310898759,0,0,0.0469919455718354,0,0.612718687002676,-0.382211601030398,0,0.288577026191082,0,0,0,0,0,-0.148817513032191,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,0,0,0,0,0,0.691209813806716,0,0,0,0
X2886.TT.EQUITY,0,0.115627134220638,0,0,0,0,0.222145055713746,0.169496033406862,0,0,0,0,0,0,0,0,0,0,0,0.00661069342623483,0,0,-0.0895953965910635,-0.055883260236756,-0.0322456312755843,0,0,0,0,0,0.0942338211851629,0,0,0,0,0,0,0.518455340949097,0,-0.096469942375964,0,0,0,0,0,0,0.081850983451368,0,0,-0.0104304262222378,0.224134942373842,0
X2891.TT.EQUITY,0,0,0,0.0896560856758598,0,0,0,0,0,0,0,0.103306123923645,0,0,0,0,-0.0780985010268986,0,0,0,0.534143806312728,0,0,-0.0304619257291595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502532758382856,0.0527247306831507,0.0964192411970003,0,0,0,0,0.0850434048577159,0.181494772556798,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.15505148818831,0,0,0,0,0,0.0832134182348272,0,1.73472347597681e-18,0,0,0,0,0.76211288259307,0,0,0,0,0.201138291524845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901565818647777,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.0560906543365255,0,0,0,0,0,0,0,0,0.116029591610385,0,0,0,0,0,0,0,0,0,0,0,1.06118978800974,0,0,-0.328104548977472,0,0,0,0,0,0.0260556952590519,0,0,0,0,0,-0.377264743587609,-0.0338751596699305,0,0,0,0,0,0.183303830502238,0,0,0,0,0
X600030.CH.EQUITY,0,0.0477278852755596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00755527113038785,0,0,0,0,0.0689142113781641,0,0,0,0.254202985616583,0.173941861649967,0.328052858595257,0,0,0,0,0,0,0,0,0,0,0.0171740048625043,0,0,0,0,0,0,0,0,0.0698681849430395,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192884038921532,0.0240185704628981,0,0,-0.0992718511531677,0.00932573881397832,0,0,0,0,0.323880556804394,0.063320683110631,0.417577823264933,-0.0849849293326622,0,0,0.0456120974884005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,-3.46944695195361e-18,0.0433719864959479,0.0337617892704132,0,0,0,0,0,0.0408805021841236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136338957653776,0,0,0,0,0,0,0.265492264678839,0,0,0,0,0,0,0,0,0,0,-0.106574194872181,-8.67361737988404e-19,0,0,0,0,0.0862990456542688,0,0.085101075861435,0,0,0.0968299186712366
X601066.CH.EQUITY,0,0,0,0,-0.00755102964771308,0,0,0,0,-0.00849060315453404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541893805132477,0.128489370965888,0.0122870560313295,0,0.216870219447532,0,0.0267393774271158,0,0,0,0,-0.0914353768275866,0,0,0,0,0,0,0,0,0,0,0.0760470949978675,0,0,0,0.10844978182594,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.116057806546897,0,0,0.0270741247421034,0,0,0,0,0.137062434773115,-0.0284872787080291,0,0,0,0,0.0302145375819165,0,0,0.172807432065119,0,0,0,0,0.521152621292923,0,-0.0358294905541866,0.0475793091675579,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0363631201319553,0,0,0,0.110858984917743,0,0,0,-0.0744933111224972
X601688.CH.EQUITY,-0.0134369058933408,0,0,0,0,0,0,0,0.220456554009239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208447552785842,0.586837625719524,0,0,0,0,0,0,0,0,0,0,0.0662539262954542,0,0,0,0,0,0,0,0.0233387530929989,0,0,0,0,0,0,-0.0195276528878679
X388.HK.EQUITY,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136576163276451,0,0,0,0,0,0,0,0,0.429583799619229,0,-2.16840434497101e-19,0,0,-6.93889390390723e-18,0.00600261339350677,0,0,0,0,0,0.0456270089590792,0,0.0884168175732284,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.241084146899272,3.46944695195361e-18,0,0,0,0,0,0,0,0.196097716818266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0.0254609687085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687578452425491,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.153160939189522,0,0,0,0,0,0,0,0.0203326318881017,0,0,0,0,0,0,0,0,0.032287384965478,0,0,0.297982902772233,0.0387952269313,0,0.0792437450326105,0,0,0.00418812911871463,0,0,0,0.110263652226156,0.0128003174424061,0,0,0.135095769370221,0,0,0,-8.67361737988404e-19,0.0684394585169892,0,0,0,0
X601336.CH.EQUITY,0.150004948311285,0,0,0,0,0.447033392966228,0,0.040310220050792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.0549884941822573,0,0.112588572411759,0,0.0289795106928911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,-0.282038394584844,0.0257372893762238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409931881940909,0.81246678570918,0,0,0,0,0,0.00446426013655863,0.109170917478686,0,0,0,0.0870717293163442,0,0,0.195742397733203,0,0,0,0,0,0.221868955702105
X601628.CH.EQUITY,0,1.73472347597681e-18,0,0,0,0.0348940428575271,0,0,0,0,0,0,0,0,0,0,0,0.0251097029703714,0,0,0.0533569312244093,0,0,0,0,0,0,0,0,0,-0.151966774371211,0,0,0.251404853469608,0.308858727716033,0,0,0,0,0,0,0,0,0,0,0.121749990804773,0.0421808998008141,0,0,0,0.109707007335608,-0.0414558694827337
X1299.HK.EQUITY,0,0,0.150096568981599,0,0,0,0,0,0,0,0.149547628889709,0,0,0,0,0,0,0,0.225893676032303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889708743428705,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.241805603802521,0,0,0,0.143424597419357,0.0548969166985279,0
X2881.TT.EQUITY,0,-0.0883079618801569,0.0308241799192675,0,0,0,0,0,0,0,0,0,0.118030691254129,0,0,0,0,0,0,0,0.297398885306152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436673850549277,0,0,0,0,0,0,0,0,0,0.0661860909809145,0,0.129683841554049,-0.0938251115017605
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.024063786492011,0,0,0,0.0861937369783707,0,0,0,0,0.176328084285771,0,0,0,0,-0.0957421869300079,0,0,0,0,0,0,0,0.151068981833915,0.0538194385841751,-0.0688417539040944,0.649250458467181,0,0,-0.0629864277039399,0,0,0,0,0,0,-0.0231194260200423,0,0.0686633550455602,0,0.103702344987124
X000002.CH.EQUITY,0,0.0109200676640408,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0404698601842737,0,0,0,0,0.0436191060164564,0,0,0,0,0,0,0,0,0,0,0,0.414710493918313,0.327017077530502,0,0.0666012362722687,0,0,0.0302976895762904,0,0,0,0
X001979.CH.EQUITY,0,0,-0.0238143467926979,0,0,0,0,0,0,0,-0.0778103532912444,0,0,0,0,0,0.0586337745163984,0,0.259109437793742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136580133180731,0,0,0,0,0,0.0340664662189299,0,0,0,0,0,0,0.365247509069332,0,0,0,0,-0.130711764499879
X600048.CH.EQUITY,0,0,0,0,5.55111512312578e-17,0.240169240101531,0,0,0,0,0.478888080043435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214981208862697,0,0,0,0,0,0,0,0,0,0,0.0472250198873339
X1109.HK.EQUITY,0,0,0,0.13186410937671,0,0,0,-0.17096953327273,0,0,0,0,0,0,0,0,0,0,0.0153198192342015,0,0,0.0219257841702224,0,0,0,0,0,-0.0389271560127149,0,0,0,0,0.248469543339102,0,0,0,0,0,0,0.161459061160915,0,0,0,0.103215775268407,0.0362101414213917,0,0,0.321201807973326,0.137522108106441,0,0,-0.0807617003701413
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.024596596002018,0,0,0,0,0,0.28187265633071,0,0,0.122695715344449,0,0,0,0,0,0,0,0,-0.017235812237415,0,0,0,0,0,0,0,0.0628211252797206,0.235645153520355,0,0,-6.93889390390723e-18,0,0.204466085202429,0,0.176893021655106,0,0,0,-0.0915425147424345,0.126457148099177
X12.HK.EQUITY,0,0,0,0,0,-0.107447627370521,0,0,0,0,0,0,0,0,0,0,0.281983291273159,0,0,0,-0.00495568626077495,0,0,0,0,0,0,0,0.024004433535208,0.0134474568355045,0,0,0,0,0,0,0,0,0,0.165419261862965,0,0,0,0,0,0.386091068947745,0,0,0,0.308471220714365,0,-0.0494391598016937
X16.HK.EQUITY,0,-0.0602125314803921,0,0,0.192758885520198,0,0,0,0,0.0150208281116577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0817162210483745,0,0,0.350476798249827,0,0,0,0,0,0,0.0255659430950982,0.283823717553206,0,0.0384905115635874,0,0,0.140223729134508,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.096376583327739,0,0.169176358908077,0,0,0.0291444052441261,0,0,0,0,0,0,0,0,0,0.060108464760212,0,0.0810606525115583,6.93889390390723e-18,0,0,0,0,0,0.550620606064534,0,0,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.024461938120944,0,0,0,0,-0.116171785704803,0,0,0,0,0,0,0,0,0,0,0,0,0.226956341814864,0,0,0,0,0,0,0.0432817667793179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57580034075153,0,0,0,0,0,0,0.0195787175751377,0.100632469349491,-0.108839973953283
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381736481979975,0,0,0,0,0,0.107981018498762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549270409808126,0.112245925206617,0,0,0,0,0.0552633246444588,0,-6.93889390390723e-18,0.23932441365244,0,0,0,0
X823.HK.EQUITY,2.16840434497101e-19,0,0,0,0,0,0,0,-0.205793740539411,0,0,0,0,0,-0.067870519223296,0,0,0,0,0,0,0,0,0,0,0.208789333815884,0,0,0,0,0.0928933050059273,0,0,0,0,0,0.150742613982096,0,0.00470582817614498,0,0,0,0,0,0,0.688274383326285,0,0,0,0,0.202872419511306,0
MKRturn,0.232950387759653,0,-0.212697635014971,0,0,0,0,0.458605001463381,0,-0.121523223746581,-0.196345367609207,0,0,0,-0.382383919585591,0,0,-0.0355423785333985,0,0,0,0.395287280620721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606523470227523,-0.174584020300764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167987549107465
TED,0,0,0,0,0.143323837587073,0,0,0,-1.01205673561938,0,0.015857123501543,0,0,0,0,0,0,0,-0.623559814918594,-0.0621913691035118,0,0,0,0,0,0,0.186923562653778,0,0,0,0,0,0,0.568794283894482,0,0,0,0,0,0,0,0.063563074609422,0,0,-0.0317838555499245,0,0,0,0,-0.016669960743241,0,0
