,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0.0562390476858515,0,0.0109671011718657,0.186663356910115,0.207396671160245,0.02000032984309,0,0,0,0,0,0,0,0,0,0,0.0978235342976918,0,0,0,0.00328911998241712,0,0,8.67361737988404e-19,0.196397054715595,0,0.0363733289631161,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0932991303891325,0,0,0,0
X002142.CH.EQUITY,0.0148721177916762,0,0,0,0.139004581599129,0.378264872493052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214686849087747,0.272339862042908,0.059109293068171,-0.130660046524224,0,0,0,0,0,0,0,0,0,0,0,0.136589393201897,0,0,0,0.0747214169160352,0,0,0.318302379523519,0,0,-0.279498988592818,0,0,0,0,-0.0728848424802523,0
X600000.CH.EQUITY,1.38777878078145e-17,0,0,0.323107081780873,0,0.122959828317661,0,0,0,0,0,0.0393027977852808,0,0,0,0,0.370449205663463,0,0,0.171884519482193,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170258781836144,0,0,0,0,0,0,0,-0.0658525278903598,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.533614213008291,0,0,0,0,0.082090572548015,0,0,0,0,0.141752213122877,0,-0.0308535120738921,0,0,0,0.189781247362883,0,0,0.0159001307769882,0,0,0,0,0,0,-0.120232609546766,0,0,0,-0.0204218636914004,0,0.039305566370288,0,0,0,0,0,0,0,0,0,0.0770115910913704,0,-0.0679669932489485,0,-0.0084595426213502
X600016.CH.EQUITY,0,0.246474558192227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654225592923369,0,0,-0.0483598721023856,0.707241946769212,0,0,0,0,0,0,0,0.0326848222604123,0,0,0,0,0,0,0.0725706101510047,0,0,0,0,0,0,0,0,-0.244529511854714,0,0,0,0,-0.0327290487388085
X600036.CH.EQUITY,0.0291148687882135,0.104321317509965,0.134598563538655,0,0,0,0,0,0,0.0103335490173409,0.360640737801265,0,0,0,0,0,0,0,0,0.0782689833628912,0.0600853564181951,0,0.00103008773032873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336952624754245,0,0,0,0,0,0.0337803172286803,0,0.0437429095665311,0,0,0
X601009.CH.EQUITY,0,0,0,0.810965310515671,0,0.0773581212537987,0,-0.105100137407944,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0642608145443891,0,0,0,0,0.0773108584110165,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168860386411347,0,0,0.113678674665026,0,0,0.0582059691093101,-0.00633401144880211,-0.0157788164538214,0,0,0,0
X601166.CH.EQUITY,0,0,0.0696827584556235,0,0.0685670580362198,0.111770632999371,0,0,0.296190318195934,0,0.0294751779457559,0,0,0,0,0.277375734315503,0.0489878801125801,0.0436099471165501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317368953665045,0,0.0434375395591375,0,0,0,0.0446503663339879,0,0,0.0442857862076095,0,0,0,0,0.028217349479507,0
X601169.CH.EQUITY,0,-0.0456074413944635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.752705537329352,0.12445270218389,0,0,0,0,0,0,0,0,0,0.044811734891084,0.0407726117540924,1.73472347597681e-18,0,0,-0.0277380858601429,0,0,0.0132188594246566,8.67361737988404e-19,0,0,0,0.00358732399418214,0,0,0,0,0,0,0.0711814048184086,0,0,0,0,0,-0.0195598196952016
X601229.CH.EQUITY,0,0,0.022369542816378,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.819562461172924,0,0,0,0,0,0,6.93889390390723e-18,0.247638772433842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273668340767249,0,0,-0.0501175707495577,-0.170783411024137,0,0,0,0,0,-0.0526637446106978,0,0,-0.157224635119842,-0.0441808637440697,0.135587671967173,0,0.0218202284094024
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828867493492573,0,0,0,0,0.0549256386734418,0,0,0,0,0.0882494759275305,0,0,0.0316244062606417,0,0,0,0,-0.0078086692337135,0,-0.00137227175686511,0,0,0.0630529997900417,0.0562260628936671,-0.204376874998587,0,0,0.0129484250130978,0,0,-0.0161958363914128,0,0,0,0,-0.0309266414153179,0,0
X601328.CH.EQUITY,0,0,0.0848944167508886,0,0.39057601551649,0,0,0,0.00560116905092838,0.0783685919305352,0.140348362838084,0,0.108347803530327,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253844158024219,0,0.0533840646537812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601398.CH.EQUITY,-3.46944695195361e-18,0,0,0,0,0.143544338134317,0,0,0,0,0.0484150408897606,0,0,0,0,0,0.617022804082569,0,0,0,0,0,0,0,0,0,0,-0.358178762455658,0,0,0,-0.149587996150906,0,0,0,0,0,0,0.0986007577025245,0,0,0,0,0,0,0.00305718478534264,0,0.149310043684867,0,0.00689487225963021,0,0,0
X601818.CH.EQUITY,0,0,0.0909522299780195,0,-8.67361737988404e-19,0,0,0,0,0,0.311926203474358,0.0434822519675286,0,0,0,0,0,0,0,0,0,0,0,0.0097843269437392,0,0,0,0.0283479025148582,0,0,0,-0.0256141926319395,0,0,0.129634672904673,0,0,0,0,0.0883196013508194,0,0.0853475997403355,0.0409871561352928,0,0,0,0,0,0,0.0513653818710819,0,0,0
X601939.CH.EQUITY,0.0676930094845776,0,0,0,0,0,0,0,0,0,0.790153379784543,0,0,0,0,0,0,0,0,0.0517406685411667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248628075272725,0,0,0,0,0.139572665579637,0,0.00835416701839392,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-3.46944695195361e-18,0.946071698722208,0,0.0512158181681484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567546287986584,0,0,0,0,-0.0551960786900418,0,0,0,0,0,0,0.141137905530972,0,0,0,0,0,0,0,-0.0810125701326515,0,0,0.0238025439029126,0,0.0391126747753362,0,0
