,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601398.CH.EQUITY,0,0.023051726958863,0,0,0,0.0791543583056713,0,0,0,0,0,0.0089127511904603,0,0,0,0.231052368530796,0.404554098084356,0.0884414477666958,0.129321792623471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588362100604809,0,0,0,0,0,0,0,0.0981516725817904,0,0,0
X601818.CH.EQUITY,0,0.189366202403726,0,0,0,0,0,0,0.152146953359586,0,0.0409250566418896,0,0,0,0,0,0,0.302448710890475,0.02054816673768,0,0,0,0,0,0,0,-0.0429442273823827,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530206340036432,-0.0706872702623199,0.334666910655956,0,0,0,0,-0.0948537719056461,0,0.100140029527943,0,0,0.202831986735708,0.109651612171813
X601939.CH.EQUITY,0,0,0,0.157156918145111,0,0,0,0.0587936233311075,0,0.171271344727855,0,0,0,0.626382851637647,0.0121378711905284,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151579319603212,0,0,0,0,0,0,0,0,0,0,0,0,0.174600540366855,0,0,0,0,0,0,0,0,0.130642027846283,0.169799873470678,0
X601988.CH.EQUITY,0.124830826448563,0,0,0.124443145025395,0,0.0747926056257955,0,0,0,0,0,0.457151201542822,0,0.0962418631491563,0,0,0,0.073302850162879,0,0.0681360686669542,0,0,0.0673985581670845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042706124048762,0,0,0,0,0,0,0,0,0.0399699069346559,0,0,0
X601998.CH.EQUITY,0,0,0.149445379472365,0,0,0.0137812423968846,0,0,-0.0353652617007559,0,0,0.383571527321924,0,0,0.226149127025609,0,0.0684799051830608,0,0,0,0,0,0,0.140953177762308,0,0,0,0,0,0,0,0,0.204563582472291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157199203767423,0,0,0,-0.0421314795629851,0,0
X601658.CH.Equity,0,0,0,0.403548667820987,0,-0.352319383594164,0.295590427871472,0.0346434453991364,0.238509917323357,0,0,0.211584999831427,0.178809104534278,0,0,0,0,0,0,-0.0924279633285811,0,0,0,0,0,0,0,0,0,0,0,-0.0977850803034439,0,0,0,0,-0.00333132130779294,0,0,0,0,0,0,-0.00722806482509616,0,0,-0.0080436087592587,0,0,0,0,0.135844851419405,0.0286651578706821
X11.HK.EQUITY,0,0,0,-0.242595218277549,0,0,0,0,0,0,0,0.0971175193749622,0,0,0,0,0.0565557620647113,0,0,0,0.198824522250155,0.705908916078753,0.0606915415648332,0.143891067558554,-0.089125639991277,0,0,0,0,0,0,-0.0269798019183337,0,0,0,0,0,0.0967756669376387,0,0.0479119087608102,0,-0.00791696768202973,0,0,0,0,0,0,-0.0471641821287242,0.045378162590841,-4.33680868994202e-19,-0.0791729077959467,0
X2388.HK.EQUITY,0,0,0,0,0,0.207792507198615,0.0186100602135656,0,0,0,0,0,0,0,0,0,0,0,0.0365937906176696,0.270125339049188,0,0.216802916043398,0,-0.0054273173085776,0,0,0,0,0,0,0,0,0,0,0.015701747228048,0,0,0,-0.279456982247074,0,0,0,0,0,0,0,0,0,0,0,0.0167771366259115,0,0.0817962437119774
X5.HK.EQUITY,0,0,0,0,-0.0285333666861807,0,0,0,0,0,0,0,0,0,0,0.00967356607307512,0,0,0.145626553163516,0.295316210893074,0.213933478289161,0,0,0,0,0,0,0,0,-0.011590007423633,0,0,0,0,0,0,0,0,0,-0.217084640236811,0,0.252997121361394,0,0,0,0,0,0.229973644572427,0,0,0,0,-0.00808960567255601
X2884.TT.EQUITY,0,0,0,0,0,0,0,0.169087376886748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189372521553098,0,0,0.269937938508651,0,0,0,0,0,0,0,0,0,0,0,0,-0.151247837145426,0.0354770569941294,0,0,-0.174644572470604,8.67361737988404e-19,-0.00511442769835229,0,0.0884405529400498,0.173314290254921,0,0.00258533762075797,0.0503240971071052,-0.133358677350744
