,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0.0561733392945292,0,0,0,0,0,0,0,0.857562657695106,0,0,0,0,0.0852406547657513,0,0,-0.0421369786398582,-0.0274922367357534,0,0,0,0.0700977798254109,0,0,0,0,0,0,0,0.143941702405447,0,-0.160672116720524,0,0,0,0,0,-0.0510022038112279,-0.0717795477870901,0,0,0.00992268053469329,-0.0179492233440493,0,-0.00754063806338009
X601328.CH.EQUITY,0,0,0.164565020597894,0,0.335197416054411,0.00728602767539722,0,0,0,0,0,0.116500464047683,0.0929739446340162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100393221091132,-0.0493561503401535,0,0,0.0524362548355031,0,0,0,0,1.38777878078145e-17,0,0,0.0124298044152811,0,0,0,0,0,0,0,0,0,0,0.0956174031466114,0
X601398.CH.EQUITY,0,0,0,0,0,0.20724459235535,0,0,0,0,0,0,0.0247814085141609,0,0,0,0,0,0.530125912786945,0,0,0,0.00410301823567905,0,0,0,0,0,0,-0.332419696984575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452177390234213,0.0672533802556843,0,0,0.0645824309894387,0
X601818.CH.EQUITY,0,0,0,0,0,0,0.800909345009152,0,0,0,0.060642612187394,0,0,0,0,0,0,0,0,0,0,0,0.0296581854215197,0,0,0.0256435470568944,0,0,-0.0661441479405589,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0651618241954025,0,-0.014094513974657,0,0,0,0,0,0,0.021874847010238,0,0,-4.33680868994202e-19
X601939.CH.EQUITY,0.0836375772958993,0,0,0,0.00993625544913397,0,0,0,0,0,0,0,0.7879791586995,0,0,0,0,0,0,0.0534503140468863,0,0.0414923357804511,0,0,0,0,0,0,0,0,0,0,0,-0.0551341781193936,0,0,0.0237872695597934,0,0,0,0.0149915187932467,0.0538809877451908,0,0.0763792076350371,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0.0436841805936512,0,0,1.01458039254189,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0.0151220015035425,0,0,0,0,0,-0.0508177135953897,0,0,0,0,0,0,0,0,0,0,0,-0.0684443142375931,0,0,0,0,0,0,0,0,0.0225353842879541,0,0,0.00551822325766906,0.0191299430527988
X601998.CH.EQUITY,0,-0.00851744338172452,0.0176192132358564,0,0,0,0,0,0.0606897498456756,-3.46944695195361e-18,0.529843183586585,0,0,0,0.233010566968808,0,0,0,0,0,0.0383363683757776,0,0,0,0,0,0,0.218455385201101,0,0,0,0,0,0,0,0,0,0,0,0,-0.097860639821523,0,0,0,0,0,0,0,0,0,-0.0951857508293557,0,0
X601658.CH.Equity,0.172976010761308,0,0,0,0,0.00716231499557869,0,0,0,0,0,0,0.267565564882148,0,0.0125537416523785,0,0.00815724039130021,0,0,0,0,0,0,0.0556810345663396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218406424032486,0.0499902298675762,0,0,0,0,0,1.0842021724855e-19,0.000991874255112993,0.0146931399780506,0
X11.HK.EQUITY,0,0,0,0,0.00149974986537854,0,0,0,0,0,0,0,0,0,0.0115064498955344,0,0,0,-0.259355611098051,0,0,0.314058262208866,0.521871569141154,-0.0478716616441802,0.0352032365741758,0,0,0,0,0,0,0,-0.0575587546253361,0,0,0.288241163609339,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0454439421625946,0,0,0,0.0234604995722932,-0.0283237414454191,-0.0487529049332383
X2388.HK.EQUITY,0,0,0,0,0.236335921148389,0,0,0.0683142108416043,0,0.0951513172989534,0,0.158342399074346,0,0,0,0,0,0,0,0,0.222473749261067,0,0,0,0,0,0,0,0,0,0,0,0,-0.215872411754709,0,0,0,0.0723791101464401,0,-0.41761563503018,0,0,0,0,0,-0.0417686471497827,0.181224451880547,0.169728424798403,0,0.275072517488197,0,0,0.243990992190576
