,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601229.CH.EQUITY,0.124560254357954,0,0,0.157456190554712,1.38777878078145e-17,-0.0157723376679917,0,0,0,0,0,0,0,0.337180590036419,0,0,0,0,0,-0.202122756937568,0,0,0,0,0,0,0,0.159672241281249,-0.138187046355533,0,0,0,0,0,0,0.276401218118781,0.203560205042228,0,0,0,0,0,0,0,0,0,0,-0.091889744550114,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.201367170439257,0,0,0.551761778878891,0,0,0.158937017991069,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.176488643796299,0,0.0235950449950076,0,0,0,0.0144481908443778,0,0,0,0,0,0,0,0,0,0,0.0283343849264406,0,0,0,0,0.0252514780503852
X601328.CH.EQUITY,0,0,0.300371525730552,0,0.0871603597245725,0,0.0944344963908867,0,0.0543117835702847,0.166871335135525,0,0,0,0,0,0,0.0305033314221334,0.186630409890274,0,0,0,0.060519657712326,0.0878924240647784,0,0,0,0,0,0,0,0,0.0301442701553818,0,0,0,0,0,0,0,0,0.0296965335301303,0,0.0178736080465812,0,0,0,-0.0547634109884387,0,-0.119310258393397,0,0,0
X601398.CH.EQUITY,0,0.137419275855743,0,0,0,0,-6.93889390390723e-18,0.309729464374666,0,0,0,0.113467576760235,0.186577027368732,0,0,0,0,0,0,0,0.0596526178119134,0,0,0,0,0,0,0.0128670656960515,0,0,0,0,0,0,0,0,0,0,0,0,0.124311401696665,0,0,-0.248336568911223,0,0,0,0,0.16271219652362,0,0,0
X601818.CH.EQUITY,0,0,0,0.404264557369435,0,0,0.082808392635735,0,0,0,0,0,0,0,0,-0.10174425327848,0,0.221569216358139,0,0.156959512321801,0,0,0,0,-0.0777742010004653,-0.154214716137796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520549685227373,0,0,0,0,-0.0217782809646477,0,0,0,0
X601939.CH.EQUITY,0.101055700695602,0,0,0,0,0,0,0,0,0.060536583919961,0.368602564405194,0.0842904299951553,0,0.429315250965149,0,0,0.129186880563388,0.0429070437655641,0,0,0,0,0,0,0,0,0,-0.038716923377755,0,0,0,-0.0243106077956782,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357958088602633,-0.0683410556409425,-0.0353103992830086,0,0,0,0.0962796739850975
X601988.CH.EQUITY,0,0,0,0,0.0854909427375402,0,0,0,0.117572700758368,0,0,0.319257961918879,0.169617774272226,0,0,0.106063094111408,0,0,0.00612901746861369,0,0,0,0,0,0,0,-0.125511488966857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214488846886617,0,0,0,0.079755352638494,0,0,0
X601998.CH.EQUITY,0,0,0.0723475332300635,0.172972412897948,0.415623585412427,0,0,0,0,0,0.0203378670727536,0,0,0,0.0935554647670162,0.0205290260831527,0,0,0.0831960035842742,0,0,0.0067539381528501,0,0,0,0,0,0,0,0,0,0,0,0,-0.142686889498938,-0.137349954670159,0,0,0,0,0,0,0,0,0,0,0,0.0623592324556354,0,-0.0483724755444845,-0.0341925252753769,0
X601916.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601077.CH.Equity,0.0959854039795797,0,0,0,0,0,-0.167883469994557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0163263023111376,0,0,0,0,0.0679942623313387,0,0,0,0.182030650429728,0,0,0,0,0,0,0,0,0,-0.377538036364226,0,0,0.0260788772819441,0.171989303730769,0.111309234320689,0,0.0361414746024189
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.020521401180456,0,-0.142423907420641,0,0,0,0,0,0,0,0,0,0,0.46815931791905,0.116535049271889,0,-0.00641864477093365,0,0,0,6.93889390390723e-18,0,0.0555671618848916,0,0,0,0.0488287177847757,0,0,0,0,0,0,0,0,0,0,0.207214330175227,0,-0.100467863340709,0,-0.0730986345870903,0,-0.061647443393841
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0911580433684111,0,0,0,0,0,0,0,0.320389753955804,0,0.223255502892627,0,0.207187083192108,0,0,0,0,3.46944695195361e-18,0.0945293146832948,0,0,0,0.163410161776821,0,0,0,0,0,0,0,0,0,0,0.202335024441383,0,0,0,0,0.175777859358091,0
X5.HK.EQUITY,0,0,0.167238789375266,0.021015085419023,0,0,0,0,0,0,0,0.0372038484839098,0,0,0,0.0940791923322371,0,0,0,-0.0510316315924024,0.61969792091565,0.178456216224496,0,0,0,0,0,0,0,0,0,-0.155360294671892,0,0,0.19342746243761,0,0,0,0,0,0,-0.0782542025545996,0,0,0,-0.224604140605246,0.250633971594176,0,0,0,0,0
X2884.TT.EQUITY,0,0,0.104979211427952,0,0,0,0,0,0,0,0,0.182376026428754,0,0,0,0,0,0,0,0,-0.219365384760923,0,0,0,0.0379290762168942,0.0115271905660471,0,0.121141178871054,0,0.0906576529952155,0,0,0,0,0,0,0,-0.0390063410216004,0,0,0,0,0,-0.186305496064171,0,0,0,0.21526986259422,0,0,0,0
