,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,MKRturn,TED,RealEstateDiff
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.02117536804094,0,0.382550360090495,0,0.0790028720615395,0,0,0.0253878677639643,0,0.0828555001064828,0,0,0,0,0,0.0682197620883842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203600203358363,0,0,0,0,0.118521070684982,0,0,0,0
X002142.CH.EQUITY,0.0405366309004946,0,0,0,0,0.324366866710525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51620184590483,0,0,0,0,0.058040987098289,0,0,0,0,0,-0.0679383717633364,-0.0409215266008232,0,6.93889390390723e-18,-0.0475350126300321,0,0,0,0,0,0,0,0,0,0,0,0,0.120649529525681,-0.0329959551847864,0.00263664356624532
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0856036551952633,0,0.154631485340733,0,0,0.0547074343340354,0,0,1.73472347597681e-18,0,0,0,0.11109589253034,0.0227202757877045,0,0,0,0.294803706205065,0,0,0,-0.0608153255344064,0.120551352262494,0,0,0.0726677642421715,0,0,0.255160872684964,0,0,0,0,0,0,0,0,0.0618396975566912,0.0252345214406189,-0.153419401149637,0,0,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0.236831450489122,0,0.0856827563660324,0,0,0,0,0.0146715753920798,0,0.0893931271778608,0,0,0.16970124491732,0,0,0.0633631097317466,0,0.0599917407973592,0,0,0,0,0,0,0,0,0,0,0,0,0.0672637050328597,0.150355707387268,0,0.0431791298657023,0,0,0,0,0,0.0131590324962286,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0,0.135030303216124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294804255111086,0,0.153583948423724,0,0,0,0,0.207854829573356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235314384748067,0,-0.0600977411568783,-0.0569282037735721,0,-0.05081068357711,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.156215963877149,0,0,0,0,0,0,0,0.149731090017975,0.135228869505847,0,0,0,0,0,0,0,0,0.21442235876845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087436953768623,0.110773153526544,0,0.321500536093943,0,0.0948289551625167,0,0,0,0,0,-0.118295941049499
X600919.CH.EQUITY,0,0.0953153868767919,0,0.377825743671634,0,0,0,0.0133344236945845,0.135748830465191,0,0,0,0,0,0,0,0,0.011390860414338,0,0,0.0360884089625527,0,0.307685513665697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0.296023709519768,0,0,0,0.0659313720070166,0,0,0,0,0.120204158055616,0,0,0,0,0.0426074884410276,0,0,0,0,0,0,0,0,0,0,0,0.308689509877782,0,0,0,0,0.0676975878542284,0,0.022180702384545,0.0576102662696712,0,0,0,0,0,0,0.0237247999049884,0,0,0
X601009.CH.EQUITY,0,-0.0548106462501553,0,0,0,0,0,1.38777878078145e-17,0,0.425749350840245,0,0,0,0,0,0,0,0.256710238262363,0,0.203096021761133,0,0,0.0132244501097784,0,0,0.236563046360497,-0.239610599658139,0,0,0,0,0,0,0,0,0,0,0,0,-0.102129086045705,0,0,0,0.0074269262019084,0,0,0,0.248394324623132,0,0,0,0,0.0632606115495562
X601166.CH.EQUITY,0.283955215022673,0,0.108866065380057,0,0,0,0,0.0476748462488422,0.382341850596586,0,0,0,0,0,0,0,0.0436536319373269,0,0,0,0,0,0,0.0540798019964368,0.0606304058230629,-0.221385644298076,0,0,-0.0204850631981438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0.0224735845806171,-0.156336145052158
