,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.502787789527634,0,0,0,0,0,0,0.108653305069123,0.182610657084017,0,0,0.24029142286398,-0.00848416733626027,0,0.0514364699366571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246348872211457,0.0540551584540345,0,0,0,0,0.0265441951654268,0,-0.0196761201755476,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0347658443825478,0.0933178118865469,0.283179230112362,0,0,0,0,0,0,0.0588473838424328,0.337681739421577,0.0881665180311752,0,0,0,0.0655462856538685,0,0,0,0.0186999226547243,0,0,0,-0.0405584151988881,0,0,0,0.00117727478023032,0,0,0,0,0.0623919472179284,0,0,0,0.00109605483995694,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.193922443782118,0,0,0.50050924609665,0,0.0868662788670996,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688819646682221,0,-0.0222180307281969,0,0,0,0.076817640277995,0,0,0,0,0,0,0,0,0,0,0,0,0.0259071180150816,0,0,-0.0142710747895799
X601288.CH.EQUITY,0,0,0.27364452032172,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176082277993659,0,0,0.0523648296869118,0,0,0.00692254278674041,0,0,0,0,0,0,0,0,0,0.0135216896063502,0.278940592956741,0,0,0,0,0,0,-1.73472347597681e-18,0
X5.HK.EQUITY,0,0,0.0741040155585203,0,0,0.196374454625558,0,0.238574797068945,0,0,0,0,0.272867283371178,0,0,0,0,0.116462699187961,0.0533248446233022,0.0109585001807876,0,-0.264717208356017,0,0,0,0.202606883388906,0,0,-0.172740890099476,0,0,0,0,0,0.135130276116244,0,0,0,0,0,0,0,0,0,0,0,0.104479891033012,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.218703044372759,0,0,0.0667920600569675,0,0.188631988961128,0,0,0,0.186694673188093,0,0,0,0,0,0,0,0,0,0,0.261370100213289,0.0154825790165206,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125267333406219,0,0,0.260916994369617,0,0,0,0,0,0,-0.0149773924814094
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0125280303832107,0,0,0,6.93889390390723e-18,0,-0.0340230076891769,0,0,0,0,0,0,0,0,0,0.720967041529127,-0.0175231217403479,0,0.069793850736927,0,0,0.108200689109664,0,0,0,0,0,0,0,0,0,0,0.106039092280542,0,0.0576655168753942,0,0,0,-0.0137883879311732,0,0
X1299.HK.EQUITY,0,0,0,0,0.251716219012325,0,0,0,0,0,0,0,0,0.0940743144861897,0,0,0,0,0,0.0431584045011836,0,0,0,0,0,0,0.0499524454337147,0,0.0833175736561852,0,0.0243926754004115,0.301016786301496,0,0,0.170819155036273,0,0,0,0,0,0,-0.044402307742138,0,-0.0462013086512772,0,0.080019347617432,0,0,0,0
X601628.CH.EQUITY,0,0.151839572531144,0,0.0399914639466444,0,0,0,0,0,0,0,0,0,0,0,0,0.0648912648724906,0,0,0,0,0,0,0,0.146327288844857,0,0,0,0,0,0,0,0,0,0,0,0,0.370628492219477,0,0,0.129700763379638,0.0606064142120996,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.238736205016316,0,0,0,0,0,0.0267687032955965,0,0,0,0,0,0.314132584289816,0,0,0,0,0,0,0,0,0,0.365600086461013,0,0,0,0,0,0,0,0,0,0,0.0158590450667109,-0.00188403979244113,0,0,0,0,0,0,0.0643260191287492,0,0,0,0,0.0824572816079143,0,0,-0.0117152911165112
X601166.CH.EQUITY,1.38777878078145e-17,0,0.324653803914525,0,0,0,0.146473222378561,0,0,0,0,0,0.158590704887401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663414179522183,0,0.0751472891146242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.363073865414485,0,0,0,0,0.309192930764128,0,0,0,0,0,0.16944447200424,0,0,0,0,0.0683213708020133,0,0,0,0,-0.134782886369216,0,0,0,0.493172120874267,0,0,0,0.295714669538642,0,0,0,0,-0.15464555515572,0,-0.135158188419583,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.0606326091020898,0,0.291910246181659,0,0,0,0.285190827712406,0,0,0.0809236333871734,0,0,0,0.110737716261425,0.0228687149046798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154485594502362,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0.272621328503236,0,0,0,-0.161488751391999,0,0,0,0,0,0,0.171083751086383,0,0.43544283104307,0,0,0,0,0,0,0.0619439817131994,0,0,0.208684762403148,0.334079230319928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168785141225236,0.0151718147887798,0.00659151071965496,0.0562187946097828,0,0.108766976892108
X16.HK.EQUITY,0,-0.0866586716532994,0,0,0,0,0,0,0,0,0,-0.0375522015896039,0,0.136749947085333,0,0,-0.278706114662241,0,0,0,0,0,0,0,0,-0.103046422961896,0.176359212410042,0,0.175399023205913,0.274806117114979,0.354997269978143,0,0,0.209648135958106,0.301943812654454,0,0,0,0,0,0,0,0,0,0,0.102431736933424,-0.148463126222786,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0.000147252710708118,0,0.00639511435133413,0,0,0,0,-0.0449320640439778,0,0,0,0,0,0,0,0,0,0,0.0248591380263245,0,0,0,0,0.0363636360186,0,0,0,0.0556116392483046,0.731669255119665,0,0,0,0,0,0.063707842110164,0,0,0,0.0437523735014066,0,0,0,0,0,-0.0522769708130775
X601601.CH.EQUITY,0.0651891718085942,0.159179711249126,0,0,0,0,0.0312496067805111,0,0,0,0,0,0,0,0,0,0,0,0,0.060273311535938,0,0,0,0,0,0.0524578761215845,0,0,0,0,0,0,-0.0592041419442131,0.00821070388650753,0,0,0,0.251759717955012,0,0.0998946092505529,0,0,0,0,0,0.0035909073078994,0,0,0.0253319151862149,-0.0579742936360577
