,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.204641248985877,0,0.0311863852646132,0,0,0.400763448263418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254505244570008,0,0.0349170307074069,0,-3.46944695195361e-18,0,0,0,0,0.080711638425882,0,0.0501413615130026,0,0,0,0,0,0,0.0116181283293545,0,0,0,-0.092501663843832,0,0
X601318.CH.EQUITY,0,0,0.261010566882839,0,0,0,0,0,0.0845947816515773,0,0.0932961049089915,0,0,0,0.19258980818419,0,0,0,0,0,0,0.0586266566508465,0,0,0,0,0,0.168320605731807,0,0,0,0,0,0.0537741830861022,0.0146080502919402,0,0,0,0,0.00669644758618693,0,0,0,0,0.0608052341885609,0,0.036654422008801,0,0,0,0
X601939.CH.EQUITY,0.327621041389363,0.095547370658545,0,0,-4.33680868994202e-19,0,0.0599271125510898,0.28286458876585,0.18605059351791,0,0,0,0,0,0,0.105444997393349,0.105978950349154,0,0,0,0,0,0,0,0,0,0,0.19288590686674,0,0,-0.0643640829082944,0,0,0,0,0.0921256110198625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818072361911275
X600036.CH.EQUITY,0,0,0,0,0,0.156366592844036,0,0,0.0620364176505679,-0.104976444887578,0,-0.104629151078399,0.151510465210974,0,0,0.162150454509435,0,0,0,0.163645587328574,0,0,0,0,0,0.405380702645282,0,0.0336467024503758,0,0,0,0,0,0,0,0,0,0,0,0,-0.0748310621296201,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.10081487596558,0,0,0,0,0.457640327876954,0,-0.0597045010745113,0,0.0693798975282415,0,0,0,0,0,0,0,0,0,0,0.141722881163698,0,0,0,0.0606117218740437,0.12631731555875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228081392661185,0,0,0.0124058928045691,0
X1299.HK.EQUITY,0,0,-0.0344146325651423,0,0,0,0,0,0,0.152682363148588,0,-0.0566435901810341,-0.0739951352543195,0,0,-0.0396558521740634,0,0,0,0,0,0,0.170448845146898,0,0,0,0,0,0,0,0,0,0,0,0,0.0887364826371494,-1.73472347597681e-18,0.05786350165502,0,0.196370978461519,0,0,0.0268733114284323,0.246853718604048,0,0,0,0,0.20715066877322,0,3.46944695195361e-18
X601628.CH.EQUITY,0.0786188237687503,0,0,-0.00346316367861434,0,0,0,0,0,0,0,0,-0.00277180813648273,0,0,-0.189523318206432,0,0,0.264827870777846,0,0,0,0,-0.10832147992387,0,0,0,0,0,0,0,0,0,0,0,0,0.569174238751261,0.0520319949500541,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,-0.0578478317463286
X601988.CH.EQUITY,0,0,0.0708570627214148,0,0.451701937976622,0,0,0,-0.0894280058284577,0,0,0,0,0,0,0,0.277619791542785,0,0,0,0,0,0,0.0477431271268637,0,0,0.0766985077726608,0,0,0,0,0,0,0,0.00273948795666164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0701757942988536,0,0,0,0,0,0,0,0.157214327905451,0,0,0,0,0,0,0,0,0,0,0,0.113816597772278,0,0.0623991383973955,0,0,0,0,0,0,0,0,0,0,0.152572969425534,0,0.0448532148481082,0,0,0.368728049742379,0,0,0.0423832760001141,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,-0.311227030499628,0,0.256648052390705,0,0,-0.0379828574317553,0,0,0,0,0,-0.0107702499503904,0,0,0.166623234395342,0.261273627004582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567127198794206,0,0,0.166215055598157,0,0,0,0,0,0,0.111905027648614,0,0,0.0372351222747798,0,0
