,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X601916.CH.Equity,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0138981837461934,0.0837025008731691,0,0,0,0,0,0,0.277096854188728,0.123287169205486,0,0,0,-0.167398625408361,0,0,0,0.0843628947712758,0,0,0,0,0,0,0,0.0487249185109953,0,0,0,0.0367303936928194,0,0.0545378921824195,0,0,0,0,0,0,0,0.257390999428765,0,0,0,0.0425596338436115,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0279237301526408,-1.38777878078145e-17,0,0.244946144401253,0,0,0.275509583066559,0,0,0,0.0752866637784762,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.115238812290099,0,0,0,0,-0.251835466882998,0.107855040900875,0,0,0.179111431259873,0,0,0,0,0,0.088974736885086,0
X601939.CH.EQUITY,0.468771238265124,0,0,0,0,0.189654130574093,0,0,0,0,0,0,0,0.0493376556841349,0,0,0,0,0.00907884628184551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372477656451931,0,-0.125523383649217,0,0.0512405186890081,0,0,-0.0393959634334232,0,0,0,0
X601288.CH.EQUITY,0.579262622573423,0.0584561425768609,0.0631327270761826,0,0.0711754668433104,0.081323444692636,0,0,0,0,0,0,0.0371176739943486,-0.0217261266675614,0,0,0,0,0,-0.0168705809392968,0,0,0,0,0,0.0501432147427614,0,0,0,0,0,0,0.0817769307600628,0,0,0,0,0.135293295241721,0.175991594759513,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,-0.039724021517498,0.199680969745724,0.0808594513413641,0,0,0,-0.160047223316621,0,0,0,0.228829673822778,0,0,0,0,0,0.59455237997699,0,-0.0270112474103101,-0.14991368504688,0,0,0.118395016209041,0,-0.118912728733572,0,0,0,0,0,0,0,0,0,0.0440313199903389,0,0,0,0,0,0,0,0.0986234707491494,0,0.157986703826324,0,0,-0.0672422433988445,0
X601988.CH.EQUITY,0.0974112847667715,0,0.131727898967634,0.162527541542848,0,0,0,0,0.146486452389996,0.102963971618286,0.164993532685479,0,-0.347391000101529,0,0,0,0,0,0,0,0,0,0.179291383219174,0,0,0.0855308610016083,0,0,0,0,0,0,0,0.000693131092793997,0.0149004173333201,0,0,0,0,0,0,0,0,0,0.0192783181509539,0,0,0,0,0
X600036.CH.EQUITY,0,0.35977079165202,0,0,0,0,0,0,0,0,0,0.183991379948337,0,0.16157560758931,0,0.050785618648973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933593015712584,0,0,0.0138902648802177,0,0,0,0.0934151491327252,0,0,0,0,0,0.0389517992326893,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0682124283669653,0,0,0,0,0,0,0,0,0,0.223359312429963,0.296971787465247,0,0.215874923481811,0,0,0,0,0,0.0417435919013764,0,0,0.0358094954760639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.396131981429651,0.265749681915329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477514497396131,0,0,0,0,0,0,0,0,0,-0.24685006324156,0.0563862776824343,0,0,0,0,0,0,0,0.0101213597634252,0,0,0,0,0.223852044973887,0,0,-0.112912322188184,0
X601166.CH.EQUITY,0.232958592038375,0,0,0,0,0.106727387901133,0.432564877292668,0,0,0,0,0,0,0.0113573402370732,0,0.391120962937568,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0483800662526288,-0.131881569648949,0.0363465752655399,0,0,0,0,0.0375239647828767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
