,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.601738918633713,0,0.0209729261448288,0,0,0,0,0,0,0,0.100588774387136,0,0,0,0,0,0,0.124399107118735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202179403586382,0,0,0,0,0.0797334306396837,0,0.0461870981587837,0,-0.00302038861345497,-0.0131215199704672,-0.0395251562629916,0,0.0393126247843942,-0.0115242930489285
X601318.CH.EQUITY,0,0,0,0.198415244889759,0,0,0,0,0.0744164030957138,0,0,0,0,0,0,0,0,0,0,0.190765252292796,0,0,0,0,0,0.0264271093787331,0,0,0.0993256480831144,0,0,0,0,0.0646155579560795,0,0,0,0,0,0,0.183401793868378,0.0196519623502606,0,4.33680868994202e-19,0,0,0,0.0898196213165226,0,0
X601939.CH.EQUITY,0.1482042144852,0,0,0.326904076615469,0,0.243491006561399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110123160923208,0,0,0,0,0,0,0,0.135171667639297,0,0,0,0,0.0690231488382578,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0.0231151818089995,0,0
X601288.CH.EQUITY,0.0133381757217774,0,0.288864330519101,0,0,0,0,0,0,0.211329460381865,0,0,0,0,0,0,0,0,0,0.0500752085230341,0,0,0,0,0.0131370929153454,0.224667378498089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072038620382215,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.210110902790146,0,0,0,0,0,0,0.0637003646569102,0.231847974748635,0,0.174685525114141,0,-0.092088559093298,0,0,0,0,0,0.365960937023063,0,0,0,0,0.116263596422436,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.459197946449424,-0.0969548083907513,0,0.0216040841109845,-0.217602134817306
X601988.CH.EQUITY,0.0738773880669019,0,0.0796574719966301,0,0.0117396540733892,0,0,0,0,0,0,0,0.0538818210820292,0,0,0,0,0,0,0,0,0,0.603310699893695,0.0120129526625848,0,0,0,0,0,0.115646832919322,0,0,0,0,0.000307476555949301,0,0,0,0,0,0.0912513871990713,0,0,0,0,0,0,0,0,-0.0953943698208346
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0431396915979695,0,0,0,0.261092854158549,0,0,0,0.172419473844356,0,0,0,0.0743949189672351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00994813104857946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789035571774402,0,0,0.00546887834296017,0.068509115700784,0,0,0,0,0,0,0,0,0,0,0,0,0.0148507092333183,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.212571278900893,0,0,0,0,0,0.0309698243904473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574808091681524,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.398404380888309,0,0,0.230527686881264,0,0.00121403661218806,0.0277536992582405,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.111988350470846,0,0,0,0,0.15036127257724,0,0,0,0,0,0.189854729151498,0,0,0,0,0,0,0,0.267047033133225,0,0,0,0,0,0,0.0409518105790852,0,0,0.000211946615291014,0,0,0,0,0,0,0,0.0397146508045826,0.206491411605104,0.0223316223396101,0,0,0,0,0,0,0.0119093065088746,0
X601166.CH.EQUITY,0.00593793546542043,0,0.222626143172737,0,0,0,0,0.168725221777045,0.00222551895982559,0.0890154881929325,0,0,0,0.198307750500765,0,0,0,0,0,0,0,0,0,0,0,0.0915301783422763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905340706580525,0,0,0,0,0,-0.0458401439762633
X16.HK.EQUITY,0,0,0,0,0,0,0,0,-0.168724604570953,0,0,0,-0.0875707351924345,0,0,0,0,0,0,0,0,-0.112592741260889,0,0,0,0,0.169370086964625,0,0,0.12720749700952,0.140914331123376,0.276576090688119,0.325552143856783,0,1.0842021724855e-19,-0.0600362827030747,0,0,0.0792007127172237,0,0,0,0,0,0,0.117812282748397,-0.0206889511388787,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0.147116701571828,0,0,0,0,0,0,0,0,-0.0344413598879585,0.162921953739562,0.25354289794662,0.143523787542617,0,0,0,0,0,0,0,0.161562848363534,0,-0.102738570290373,0,0.0328114580114388,0,0.24269084709304,0,0,0,0,0,0,0,0,0.0741113678578985,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.00047767047354795,0.0227487928131708,0.075189432378733,0.181281429533307,0,0,0.241623465138487,0,0.0901020571187645,0,0,0,0.0566095693806005,0.0351170337128751,0,0,0,0,0.0387968868647516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205715164045578,0.00736143688791034,0,0.0580063384718397,0,0,0,0,0,0
X000002.CH.EQUITY,0,0.0572721442624467,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0284761024240966,-0.0282577710816512,0,0,0,0,0,0,0.0461283684658256,0.0749062926504115,0,0.109753695171285,0,0,0,0.0357882708943783,0,0,0.651151928405037,0,0,0,0,0.0699692399680206,0,0,0,0,0,0,0,0,0,0,-0.0664670180220481
X601319.CH.EQUITY,0,0,0,0,0,0,-0.327457093614209,0,0,0,0,0.139580434771782,0,0.139602617193009,0,0,0,0,0,0,0,0,0,0.308864042017938,0,0,-0.254505248959525,0,0,0.206754849622469,0,0,0.167651781599086,0,0,0.5487553349772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0.10750410497833,0,0.0263873609654296,0,0,0,0,0,0.237040381612805,0,0,0,0,0,0.129797327253198,0,0.188068348264305,0,0,0,0,0,0,0,0,0,0.0798541064940167,0,0,0,0,0,0,0,0,0,0,0,0,0.040889321289207,0,0,0,0,0,0
X267.HK.EQUITY,0,-0.105643979325932,0,0,0.147658985592893,0,-0.0681390926851329,-0.128833470502476,0,0,0,0.160227472842882,0,0,0,0,0.450274452490062,0,0.40273813368099,-0.159740017681197,0,0,0,0,0,0,0,0,0,0.307904380507231,0,0,0,0,0,0.109742042905117,-0.240081771677423,0,0,0,0,0.0803981626926646,0,0,0,0,0,0,0,-0.127312601458666
X388.HK.EQUITY,0,0,0,0,0,0,0.179916248566111,0,0,0,0,0,0.291035643372002,0,0,0,0.106839443113649,0,0,0.0875324988554206,0,0,0,0,0.0170549189474544,0,0,0.260101303026806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517875082615136,0,0,0,0
X601601.CH.EQUITY,0,0.126640597241603,0.0126474589474976,0,0,0,0,0.0846600246078156,0,0,0,0,0,0,0,0,0,0,0.0217892171817735,0,0,0,0,0,0,0.138140448461963,0,0,0,0,0,0,0,0.0677022297361536,0,0,0.00105523583733711,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.197407085548284,0,-0.0363000586588984
X688.HK.EQUITY,0,0,0.152798777285198,0,0,0,0,0,0,0.0399973226406917,0,0,0,0,0,-0.0384201551232532,0,0,0,-0.0523191830641894,0,0,0,0,0,0,0.123679382389777,0.36847131282612,0,-0.0740187736473109,0,0,0,0.0881993066826208,0,0,0,0,0,0,0,0,0,0,0,0.147791912320218,0,0,0,-0.121746195430971
X601998.CH.EQUITY,0,0,0,0,0,0.0800428527172194,0,0,0,0.397103698733686,0,0,0,0,0,0,0,0,0,0,0.0293229075235916,0,0,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.0142097890245506,0,0,0.244108939042017,0,0,0,0,-1.38777878078145e-17,0,0
X600016.CH.EQUITY,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.140770697754721,0.286122736360319,0,0,0,0,0,0,0.0767179690290337,0,0,0,0,0,0,0,0,0,0,0.10899058846666,0,0,0,-0.0278986795994476,0,0,0,0,0,0,8.67361737988404e-19,0.0678875233518517,0,0.270406863135346,0.0252588793398544,0,0,0,0,0,0.0221941345960657
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656652660375126,0.0320347299998152,0,0.0562703045226555,0,0,0,0,0,0,0,0,0,0,0,0,0.0137670321422758,0,0,0,0.0749865717599068,0,0,0.625286075807588,0,0,0,0.015848618434241,0,0,0.0758121812673233,0,0.0406773470945719,0,0.0355817216606677,0
X2007.HK.EQUITY,0,0,0,0.115278127596891,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0513639986434345,0,0,0,0,0,6.93889390390723e-18,0,0,0.0506769557737099,0.120573230333077,0,0,0,0,0,0,0,0,0,0.412487508856473,0,0,0,-0.0248273390237651,0,0.0138402480930387,0,0.251535423295817,-0.0321249626766858,-3.46944695195361e-18,0,0
X000001.CH.EQUITY,0,0.120251608391658,0,0,0,0.102565529526004,0,0,0.0517322601002365,0,0,0,0,0,0,0,0,0,0.0157427140990891,0.148456554409151,0,0,3.84398510548884e-05,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.186133631476933,0,0,0,0,0,0.0531767612724744,0.209817108866099,0,0.00295310879794268,0,0,0,0
