,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X600030.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X1997.HK.EQUITY,X600926.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.022368082000058,0,0.335545459898176,0.0560522192736023,0,0.127273993731058,0,0,0,0,0,-0.0201547667482343,0,0,0,0,0,0,0,0,0,0,0,0.269409687185548,0,0,0,0.12157556911368,0,0,0,0,0.0297530806422633,0,0,0,0,0,0,0,0.0498292517329147,0,-0.049479213689008,0,0,0,-0.0427778504734154,0,0,0
X601318.CH.EQUITY,0,0,0,0.0764770235589932,0,0,0.116076045477072,0,0.177164907929728,0,0,0,0.06441652178176,0,0.18767375489329,0.211659521768369,0.0515893650251249,0,0,0,0,0.0256356498292771,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.070120543034761,0,0,0,0,0,0,0.0209667303189229,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.139039414635897,0,0,0,0,0,0,0.14161055311636,0,0,0,0.0337989538210976,0,0,0,0,0,0,0,0.12047336539097,0.103961782245896,0.0103970103161786,0,0,0,0,0,0,0.0328624947759327,0,0,0,0.0199749945853613,-0.144494098810155,0.0466114344861448,0,0,0,-0.054104104180316,0,0,0,0,0,0.35453686265498,-0.0446330706198318
X601939.CH.EQUITY,0.603780435391362,0,0,0,0,0,0,0,0.244357165500023,0.106068476356514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.117066137633704,0,0,-0.0612820706263025,0,0,0,0,0,0,0,0,0.153652440178293,0.0772593449105815,0
X601288.CH.EQUITY,0,0,0,0.171539277012998,0,0,0.428060482891589,0,0,0.101755065894412,0,0,0,0,0,0,0,0,0,0.016753257475559,0,0,0,0,0.0443271201398043,0,0.0400170756271417,0,0,0,0,0,0.112958077632606,0,0,0,0,0,0,0,0.077770859187454,0,0,0,0,0,0,0,0.00291723315582378,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.240329487069811,0,0,0.105083924615295,0,0,0,0,0,0,0.199737039688243,-0.115817333908236,0,0,0,0,0,0,0,0.0931674861826121,0,0,0,0,0,0,0,0,0,0.15938158192919,0,0.128038823973752,0,0,0,0,0,0,0,0,-0.0146740749715821
X601988.CH.EQUITY,0.104110663888538,0,0,0,0.3387785489976,0,0,0.0248483253363794,-0.0281088497372125,0,0,0.0156187876002437,0,0,0.00495549064629372,0,0,0,0.224232022802394,-0.0590353296104519,0,0,0,0,0.220782299913078,0,0,0,3.46944695195361e-18,0,0,0,-0.253524020438252,0.0390349085999283,0,0,0,0,0,0,0,0,0,-0.00618039603817335,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0711030436640364,0,0,0,0,0,0,0.25955409104733,0,0,0.0506561354149056,0,0,0.0315969760714261,0,1.73472347597681e-18,0,0.0324738958750028,0,0,0,0,0,0.176114256979562,0,0.181460874693879,0.171838917734309,0,0,0,0,0,0,0.0577878249193668,0,0,0,0,0,0
X5.HK.EQUITY,0,0.177918181684644,0,0.145001925895113,0,0,0,0,0,0,-0.141790922215082,0.071610869512639,0,0,0,0,0,0,0,0,0,0,0,0.103564158141935,0,0,0,0.154914155576484,0,0,0,0,0,0,0,0,0,0,0.280371817763762,0,0,0,0,0,0,0.0264857765703692,0,0,0,0,-0.0702784747800309
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0.0166962985227723,0,-0.0609766163811301,0,0.199017248375394,0,0,0,0,0,0,0,-0.0768442588181034,0,0,0,0,0.012421630745217,0.308105131527133,0.00761356142094228,-0.0796176353774344,0,0.0971526797975448,0,0.0538623084214806,0,0,0,0.0859259154500316,0,0,0,0,0,0,0,0,0.0104742654735979,0,0,0.256312080200028,0,0
