,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119844097669463,-0.0884186354516949,0,0,0,0,0,0,0.411020495175322,0,0,-0.131635117651187,0,0,0,0,3.46944695195361e-18,-0.107888174083855,0,0,0,0,0,0,0,0,-0.0126166176252559,0,0.708751109721357,0,0,0,0,0,0,0,0,-0.0361836940020086,0.0325994964477333
X601318.CH.EQUITY,0,0,0,0,0,0,0.0932788967336849,0.0480533870168148,0.149218744412433,0,0,0,0,0.106135743907157,0,0,0,0,0.091300050606221,0,0.102730122596267,0,0,0,0,0,0.0119922519530519,0,0,0,0.0460696238584457,-0.0145259857879099,0,0.0313806088791991,0.0685976836792414,0,0,0,0,0.1979396902775,0.0713757225035602,-5.42101086242752e-20,0,0,0.0676532740322857,0,0,0,0,0
X601939.CH.EQUITY,0.281458416548777,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,-0.0130618528957369,0,-0.0087419699592817,0.0698039052272819,0,0,0,0,0.0891694453895108,0,0,-0.317474463265758,0,0,0,0,-0.016933914096735,0,0,0,0,-0.0583132960615391,0,0,0,0,0.57913789492833,0,0.128769058188984,0,-0.0277519222783884,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.167264578608591,0,0,-0.00718592702679284,0,0,0.431279094361921,0,0,0,0.358735923468617,0,-0.0597391912490968,0,0,-0.154223601712868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151310852597936,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.147326104562766,0,0.166397249232881,0,0,0.153941734919265,0,0,0,0.215906954320724,0,0,0.0933236733317392,0,0,0,0,0,0,0,0,0,-0.174583615376458,0,0,0,0,0,0,0,0,0,0.147775865493275,0,0.0681931074189512,0,0,0,0,0,-0.075677203156219,0,0,0.148995019539662,0
X601988.CH.EQUITY,-0.0368453210570613,0,0,0,0.404711393545545,0,0,0,0,0,0,0,0,0,0,0,0.00147770171837638,0,0,-0.16563701871109,0,0,0,0,0.34288899206594,0,0,0,0,0,0,-0.336759591086989,0,0,0,0,0,0,0,0,0.00216809427009787,0,0,0,0.0258718070365195,0.130387508734391,0,0,0,-0.0433860802997978
X600036.CH.EQUITY,0,0.268514983145614,-0.0603241130810083,0,0,0,0,-0.127886029812009,0,0.501573146843507,0,0,0,0,0,0,0.0907036642686073,0,0,0.27929615495921,0,0,0,0,0,8.67361737988404e-19,0,0,0.108531048927323,0,0,0,0,-0.134441666686901,0,0,0,0,0,-0.0616145290907598,0,0,0.229148885034848,0,0,-0.0768111324563127,0,0,0,0
X1299.HK.EQUITY,0,0,0.0263247261322265,0,0.246413238905343,0,0,0,0,0,0,0,0,0,0,0,0,0.0684258172695107,0.0479014592008019,0,0,0,0,0,0,0.246795299914025,0,0.013551985616268,0,0.0924998925004368,0,0,0,0.0399501465792743,0,0,0,0,0,0,0,0,-0.222916645779259,0,-0.111435844130966,0,0,0.0619802062263471,0,0
X601628.CH.EQUITY,0,0.121165193675054,0.0164569772945391,0.071976731863848,0,0,0,0,0,0,0,0,-0.0397143403175742,0.298592804052093,0,0,-0.0264371913740673,0,0,0,0,0,0,0,0.143228163051762,0,0,0,0,0,0,0,0,0,0,0.205499390115121,0,0,0,0,0,0.188626553547822,0.0173373403871472,0,0.059890077318226,0,0,0,0.0421030637571049,0
X601328.CH.EQUITY,0,0,0,0.0188352844324078,0,0,0.59270061711114,0,0,0,0,0,0,0,0,0.114929479820214,0,0.123496881566145,-0.219723596442,0.225052210521852,0,0,0,0,0,0.208949158737115,0,0,0,0,0,0,0,0,0,-0.162149647949254,0,-0.267786826162648,-3.46944695195361e-18,0,0,0.0164379964116368,0.145441359979987,0,0,-0.0595300407415303,-0.0321164991011581,0,0,-0.0575230996038671
