,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0242392274987301,0.43163240350046,0.103102551619331,0.0814186955896359,0,0.0309068942837762,0,0,0,0,0,0.0480942201702387,-0.00582901725231261,0,0,0,0.0565129034218431,0.0382435151724726,0,0,0,0,0,0.106532312200569,0,0,0,0,0,0.0133495534713191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172287957695239
X601318.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0.0748891713067325,0,0,0.0753369252866003,0,0,0,0,0,0,0,0.223892479327141,0.0423336020443275,0,0,0,0,0,0,0,0.106211601277325,0,0,0,0,0,0,0.0761005157173541,0,0,0,0,0,0.29916051206726,0,0,0,0.0412113934576219,0,0.0257667631067778,0,0,0,0
X601939.CH.EQUITY,0.468654286233954,0,0,0.180577892754251,0,0.111490752236534,0,0,0,0.0166108275098778,0.136119316413502,0,0,0,0,0,0,0,0,0,0,0.00112206776526491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507408456118583,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.445713328316951,0,0,0,0,0,0,0,0,0.214475518252334,0,0,0,0,0,0,0,0.0893747485387683,0,0,0,0,0,0,0.0800888687208255,0.0313890757629151,0,0.0324259829901441,0,0.082399587985416,0,0,0,0,0,0,0,0,-0.0307369871720348,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.464183947855162,0,0,0,0,0,0,0,0,0,0,0.146074344647538,-0.373567407026527,0,0,0,0,0,0,0,0,0,0,0,0.121448364634122,0,0,0,0.438532786474055,0.0301896601908534,0,-0.601392465337675,0,0,0,0,0,0,0,0,-0.282981744204579,0,0,0,-0.315685093393214
X601988.CH.EQUITY,0,0,0.325784626215517,0,0,0,0,0,0.0191805167654703,0,0,0,0.107565126157427,0,0,0,0,0.0409903271745574,0,0,0,0,0.574193928679618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300332484180311,0,-0.0398255195463784
X600036.CH.EQUITY,0,0.0144868479365364,0,0,0,0,0,0,0.0437636512121344,0,0,0,0,-0.00693761575184085,0,0,0,0.024878633301708,0,0,0,0,0,0,0.693326527713274,0,0,0,0,0.116694428468216,0,0.000590897398028443,0,0,2.16840434497101e-19,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606328193284566,0,0,0,0,0.269928745460133,0,0,0,0.0358210855686314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304224451244425,0,0
X601628.CH.EQUITY,0,0,0,0,0.0185679802603118,0,0,0,0,0,0.131935095917797,0,0,0,0,0.0210927356950895,0.0072522709779807,0,0,0,0,0,0,0,0,0,0.0704836201516176,0,0,0,0,0,0,0,0.281672618867014,0,0,0,0,0,0.0879217515703382,0.197888311977794,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.155350451427456,0,0,0,0,0,0,0,0,0,0.105850924325744,0,0,0,0,0,0,0,0.0225311608208832,0.0914378349076595,0,0,0,0,0,0.112294605961125,0,0,0,0.0607288826783295,0,0,0.0571024891420955,0,-0.0244513349668228,0,0,0,0.168352054834564,0.244333498869821,0,0,0,0,0,0,0,0.019669224075973,0
