,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,macro_return_add
X16.HK.EQUITY,0,0,0,0,0,0,0.0288236406932916,-0.0531808160512498,0,-0.0832111180438609,0,0,-0.171262658909274,0,0.0449287480427381,0,-0.0628879237211362,0,0,0,0,0,0,0,0,0,0,0,0,-0.295588913406192,0,0.399596396023997,0,0,0,0,0,0.0835607965187417,0,0,0,0.0935311719344338,0,0.196841771946064,0,0,0.167901505708753,0,0,0,-0.248743447605591
X600016.CH.EQUITY,0,0,0,0.0966252542523236,0,0,0.0538123683842843,-0.0539490124422952,0.0175943208058753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268791036610536,0,0.0847107369356296,0,0,0,0,0.326790288318143,0,0.108826965080625,0,0,0,0,0,0.0628885932270821,0,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.309193206306742,0,0,0,0,0,0,0,0.0833460211981988,0,0,-0.0750753216457177,0,0.104030584875506,0.135023460359202,0,0.105460308637559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408863213430432,0.0929411783488502,0,0,-0.104649894595125,0,0,0,-0.0446373127051963
X300059.CH.EQUITY,0,0,0,0.107187550585981,0,0,0,0,0,0,0,0,0,0,-0.0489182445067879,-0.0261571860634513,0,0,0,0,-0.000179353634497366,0,0,0,0,0,0,0,0,0,0,0,0,0.183688157739187,0,0,0,0,0,0.0298287456241477,0,0,0,0.0201629364804198,0,0,-0.0363236898956227,0,0.559169033058418,0,0
X002142.CH.EQUITY,0,0,0,0.090970105881821,0,0.673167155704658,0.179863081753903,-0.173977266928558,0,0,0.0924950945593916,0,0,0.125187109867999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229012667815604,0,0,0,0,0,0,-0.24650074165709,0.0680768053466889,0,0,0,0,0,0,-0.133134121261592,0,0,0,0,0
X1109.HK.EQUITY,0,0,-0.0322657732130582,0.171027752458071,0,0,0,0,0,0.213683196441454,0,0,0,0,0,0,0,0.0175156289036242,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.00482435088492456,0,0,0,0,0,0.24380995701336,0,0,0.128210458018642,0,0,0,0,0,0,0,-0.0344916282303248,-0.0450766398515619,-0.0498478166826801
X2388.HK.EQUITY,0,0,0,0,0,-0.0656492631798079,0,0,0.310612810175787,0.155233598899559,0.183670240151267,0.016271220449637,-0.136720788753877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220018416250809,0,-0.199183924020017,0,0,0,-0.277789555208573,0,0,0.285082974875562,0,0,0.134218673503714,0,0,0,0.0554665079354669,0,0,0,0,0.0510952781355746,0.0798257684658916
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.457847201049738,0,-0.102242910850981,0,0,0.165404975535876,0.00662532202536604,0,0.102076828116625,0,0,-0.0356089255422988,0,0,0,0,0,0.0355726052736557,0.379279057936768,0,0,0,0,0,0,0,-0.179594075996995,0,0,0,0,0,0,0,0,0,0,0.132081858496794,0,0,0,0,0
X601818.CH.EQUITY,0.0383137481493054,0,0,0,0.123720128557595,0,0,0,0,0,0.127736275363871,0.242310955029236,0,0,0,0,0,0.0911151561261707,0,6.23399455329521e-06,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0889254711799007,0,0,0,0.0597499837499013,0,0,0,0,0,0,0,0,0.027749813268396,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0.141704039048017,0.0703526779439906,0,0,0,0,0,0,0,0,0.535293505206753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227507654167339,0,0,0,0,0,0,0,0,0,0,0,0.131163509862975,0,0,0,0.0786439460800559,0.00907584609483499,0,0,0
X2007.HK.EQUITY,-0.120429036387636,0.304002687902938,0,0.0475721357801381,0,0,0,0,0,0,0,0,0,0,0,-0.728245828642068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288283614776527,0,0.434216144786403,0,0,0,0,0,0.436392621801161,0,0,0,0.0894053710630358,0,0,-0.138128904553662,0.104689872641801,-0.0400600452765477,0,0,0,0.131306756743136
X688.HK.EQUITY,0,-0.094051085042007,0,0,0,0,0,0.0115864022441011,0,0.139812004262308,0,-0.199091879587677,0,0,0,0,0,0,0,-0.00892801549312562,0.31112848960077,0,0,0,0,0.0418894950911826,0,0.0141927523351354,0,0,0.307706667761376,0,0,0,0,0,0,0.291821262387881,0,0,0.0386315692497284,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0
X600999.CH.EQUITY,0,0.25258047463573,0,0.0315849429812503,0,0,0,0,0,0,0.0614009725397325,0,0,0,0,0,0.0565955819114646,0,0,0.0452272432520497,0,0,0,0,0,0,-0.0789751860874733,0,0,0,0.0857901378940925,0,0,0,0,0,0,0,0,0,0,0,0.0599156318239573,0,0,0.243580996747877,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0.079236553076545,0,0,0,0,0,0.0535495552992914,0,0,0.119026699552002,0,0.00423557376513667,0,0,0,0,0,0.274453359714539,0,0,0,0,0,0,0,0,0,0,0,0.0252647138311613,0,0,0,0.244712730326233,0.0893551408917074,0,0,0.0511636478788167,0,0.22213250949443,0,0,0,0,0
