,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.517426353457074,0,0,0,0.126447508927522,0,0,0.0509399783201322,0.0506546113227942,0,0,0,0.168699363416242,0,0.036464412931623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255518195248965,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0182449370559792,0.129215563603375,0.216144091683712,0,0,0.0456496818963369,0,0,0,0,0.32620924719627,0,0.0888638209460817,0,0.0644159102490271,0,0,0,0,0.0222078498054993,0,0,0,0,0,-0.0647721498050435,0,0,0,0,0,0,0,0.0897633766891216,0,0,0,0,0.00492989015726974,0,0,0,0.00742232666256514,0
X601939.CH.EQUITY,0.519303293314851,0,0,0.184816896899884,0.161207580109689,0.0367190489679038,0,0,0,0,0,0,0,0,-0.0183754556326904,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.138994323114712,0.183897854217777,0,0,-0.214808455784788,0,0,0,0,0,0.00982737493618762,0,0,0,0,0,0,0,0,0,0,0.0488340091170366,-0.0409241301528027
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.365076915478091,0.12213982064707,0,0.850398895303123,0,0,0,0,0,0,0,0,-0.0803439746656932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115695563112549,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.031658012808549,0,0,0,0.183247990347606,0,0.288031905025614,0,0.0979847563636891,0,0,0,0,0,0,0,0,0.0327390458530415,-0.0655336250613628,0,0,0,0,0,0.0153229070460045,0,0,-0.146312559776883,0,0,0,0,0,0,0,0,0.149513277322653,0,0.276463063004382,0,0,0,0,0,0,0,-0.124769257590923,0.0867867480715873,0
X601988.CH.EQUITY,0,0,0,0,0.310010279433406,0,0,0,0.200287641259123,0,0,0,0,0,0,0.0146769876291603,0,0.0969859565948578,0,0,0,0,0,0,0.0550602659238098,0,0,0,0,0,0,-0.17602337773416,0.125967741585016,0,0,0,0,0,0,0,0.0282276902675383,0,0,0,0,0,0,0,0,-0.161737356219711
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.107283368933841,0,-0.0372223495440835,-0.0520421138788374,-0.0151057258956526,0,0.0979860568974063,-0.105200304872191,0,0,0,0,0,0.522122429540701,-0.0384511971079737,0,0.0788171290481367,0,0,0.133367916465256,0,0,0,0,0,0.0199700728844412,0,0,0,0.0348466156349952,0,0,0.240472670276663,0,0,0,0,0.0995857339734743,0
X1299.HK.EQUITY,0,0,0,0,0.228681583253388,0,0,0,0,0,0,0,0,0,0,0,0,0.137722295438817,0,0,0.0325501246391303,0,0,0,0,0,0.0341907690164148,0,0.0328306155125423,0,0.0235642224923166,0,0.27928504022931,0,0,0,0,0.172988963279814,0,0,0,0,0,-0.224626426659792,-0.0541702130635507,0.0768579158927686,0,0,0,0
X601628.CH.EQUITY,0,0,0,8.07685168904004e-05,-0.0307565576478539,0,0.00487714706588787,0,0,0,0,0.13974652342782,0,0,-0.0377773977625472,0,0.32409161226136,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.00692908182684683,0,0,0,0,0.0496269918427054,0,0.198758445955516,0,0,0,0,0.243633770881044,0,0.0884539379089068,0.0747225616064787,0,0,0,0,0
X601328.CH.EQUITY,0.077016981451778,0,0.412208858359739,0,0,0,0,0,0,0,0,0,0.425830897167554,0,0,0,0,0,0,0,0.0114883091439613,0.19812444621137,0,0,0,0,0,0,0,0,-0.00511250761928032,0,0,0,0,0,0,0,0,0,-0.0892072887112927,0,0,0.19805769280947,0,0,0,0,0.0122150448294716,8.67361737988404e-19
