,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.268922770140385,0.135776950856404,0,0,0,0,0,0,0,0,0,0,0.186356577355422,0,0,0,0,0,0,0,0,0,-0.311955215133838,0,0,0.904820595331794,-0.19754108928665,0,0,-0.00200619154635638,0,0,0,0,0,0,0,0,0.0202511478673961
X601318.CH.EQUITY,0,0,0,0,0,0,0.0682060498944562,0,0.17059995492476,0,0,0,0,0.0919080014859748,0.0376256860504261,0,0,0,0,0.14241384942071,0,0.0892303624839854,0,0.0548721912058609,0,0,0,0.0329478564480521,0,0,0,0,0,0,0,0,0.174490050718349,0,0,0.203995249468864,0,0,0.0501978157625805,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0241646534181429,0,0,0,0,0.343714946730924,0,0,0,0,0,0,0,0.0658734413072027,0,0,0,0,0,0,0,0,0,0,0.102867172931437,0,0,0,0,-0.30027586557937,-0.286693216377849,0,0.193652044012393,0.106307931510457,0,0.540273716836174,0,1.38777878078145e-17,0,0,0,0.216327474971486,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0596526529502882,0,0,-0.506171492445195,0.274227149113695,0.0404504954717422,0.5758661768291,0,0,0,0,0.40548120387759,0,0,0,0,0,0,0,-0.35295592332159,0,0,0,0,0,0,0,0,-0.66276316877905,0,0,0,0,0.0146553694674817,0,-0.321641429150862,0,0,0,0,0.243322375430614,0,0.336780807658766,0,0,-0.192710548446758
X5.HK.EQUITY,-0.0766959137144212,-0.163104869009616,0,0,0,0,0,0,0,0,0,0,0,0,0.485678123011764,0,0,0.201563530846804,0,0.434361266750182,0,0,0.0236227810788973,0.0340285704118186,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175246610757281,0,0,0,0,0.040305476469342,0,0,0,0,0,0,-0.0774927017703873
X601988.CH.EQUITY,-0.101044584217135,0,0,0,0.374956344350298,0,0,0,0,0,0,0,0,0,0,0.0643455905960831,-3.46944695195361e-18,0,0.451398959427982,0,0,0,0,-0.110419008117706,0,0,0,0,-0.322338446521402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792207212934549,0,0,0,0
X600036.CH.EQUITY,0,0.380490316448939,-0.03754620231127,0,-0.114171254774374,0.0291664749265104,0,0,0,0.492870407015207,0,0.155997812290178,0,0,0,0,0.0775471917202121,0,0,0,0,-0.133541218529664,0,0.373985894422749,0,0,0.135324578648352,0,0,0,0,0,0,-0.210004766883097,0,0,0,0,0,0,0,0,0,-0.0322586075775173,0,-0.1118064689583,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.198369023329006,0,0,0,0,0,0,-0.117380756281401,0,0,0,0.0557916132094117,0,0,0,0,0,0.139074642997042,0,0,0,0.167540173023662,0,0,0,0.0431608750390752,0,0.144361587051828,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.121026627659111,0,0,0,0,-0.00872887673666972,0,0
X601628.CH.EQUITY,0,0.150370365238666,0,0.0275801078488599,-0.0126809807089347,0,0,0,0,0,0.179770953109754,0,0,0.38300965691462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0657174166179283,0,0,0,0,0,0,0,0.184843651364896,0.0123997848095261,0,0,0,-0.0352405571990619,0,0.0717250358402683,0,0,0,0
X601328.CH.EQUITY,0,6.93889390390723e-18,0.0981447144079917,0.061092531594698,0,0,0.639630538078116,0,0,0,-0.0664257218088719,0,0,0,0,0,0,0.0339533863353387,0,0,0,0,0,0.232139992857291,0,0.241593524711028,0,0,0,0,0,0,0,0,0,0,-0.0104935095252446,0,0,0,0,0,0,0,0,-0.471531986512628,0,0,0,0
