,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.0648971612944831,0.135979121805167,0,0.0126202200934216,0.0101600281077658,0,0,0,0,0,0,0,0,0,0.0638797737659997,0.158303446543671,0,0,0,0,0.104535415280108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073558586590016,0.0488329823127709,0,0.015200360938793,0,0,0.037332120364584,0,0
X601318.CH.EQUITY,0,0,0,0,0.0841224000922398,0,0,0,0.133997077323952,8.67361737988404e-19,0,0,0.0809586136269023,0,0.0750492212282859,0,0,0.0549427896992447,0,0.210101917287062,0,0.125828785073032,0,0,0,0,0,0,0,0,0.153738934412775,0,0,0,0,0,0,0.0615442613841678,0,0,0,0,0,0,0,0,0,0,0,0.0695611034259092,0
X601939.CH.EQUITY,0,0,0,0.0764824936519824,0,0,0,0,0,0,0.109036097890178,0,0,0,0,0,0,0,0,0,0,0,0.640817700242177,0,0.15009855440859,0,0,0,0.0821448293609902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,-2.16840434497101e-19,0,0.141708270445862,0,0,0.0761469251689216,0,0.396770972249212,0,0,0,0,0,0,0.0643537948649243,0,0,0,0,0,0,0,0,0,0,0,0,0.152952809276521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255249433272508,0,0,-0.0733537848205748
X600036.CH.EQUITY,0.0346752731278503,0.0419557075589357,0,0,0,0,0.257082377714139,0.0462401214587571,0,0,0,0,0.220220424619464,0,0,0.148319315763552,0,0,0,0,0,0,0.181707088297235,0.232995208040149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112184426875141,0,0.0225481325165395,0.0423405006814297,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106759752456351,-0.0140923537798097,0,0,0,0,0.209309037626944,0,-0.0957689504279548,0,0,0,0,0,0.0141560763372612,-0.0191761857715048,6.93889390390723e-18,0,0,0.707950821358454,-0.0286623877869711,0,0,0,0,0,0,0.105567343580453,0,0,-0.0756709353567867,0,0.179961142552561,0,0,-0.0430002299910937
X1299.HK.EQUITY,0,0,-0.09561090070535,0,0.114051720486759,0,0,0,0,0,-3.46944695195361e-18,0.192420936104316,0,0,0,0,0,0,0,0,0.139003176000291,0,0,0,0,0,0.164642968087196,0,0,0,0,0,0.0493092604906108,0,0,0,0,0,0,0.0329924209464744,0.132643992634234,0,0.0862548230480108,0,0.0489593895505759,0.118241082555869,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.663375129433018,0.158433437785049,0,0,0,0,0,-0.00367685962739286,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0842344843346672,0,0,0.237408233810555,0,0,0.00778911568070766,0,-0.0239025061758458,0,0.100463302744268,0,0.132665729997282,-0.0108206177895951,0,0,0,0,0,0,0,0,-0.0188581736057782,0,-0.032479203816466,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.00957391201291536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13102265037578,0,0,0,0,0,0.0858082144669716,0.180458775445967,0,0.0160047355584897,0,0,0,0,0,0,0,0,0,0,0.342800386167264,0,0,0,0,0,0.152739952513224,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0850502891948757,0,0.0419133072268724,0.0376629123084434,0,0,0,0,0.0348504449282998,0,0.123162245143691,0,0,0.0439802189947499,0,0,0,0,0,0,0,0.158186122085947,0,0,0,0.391088785002673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0
