,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X000002.CH.EQUITY,0,0,0.123066574117045,0,0,0,0,0,0,0,0.0235930159450898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0731753430428894,0,0.356898301845988,0,0.0612002279130228,0,0,0,0.174579750726167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,-0.0112054240647768,0,0,-0.0195317662282278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241414509459058,0,0,0,0,0,0.0329608903245241,0,0,0,0.178964888031171,0,0,0,0,0,0.053642454182496,1.73472347597681e-18,0,0.109128984598463,0.284077573858691,0,0,0,0,0.135772788132913,-0.0171136407889922
X000001.CH.EQUITY,0,0,0.105718551000341,0,0,0.268303465783746,0,0,0,0.0992446224438896,0,0.11314350757077,0,0,0.159059433985367,0,0,0,0,0,0,0,0,-0.0454978870245272,0.108816912081865,0,0,0,0,0,0,0.146018410929323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0597847595523392
X16.HK.EQUITY,0,0,0,0,0.0199011706550021,0,0,0,0,0,0,0,0,0.0181361920262963,0,0,0,0,0,0.208303554215175,0,0,0.130232023235301,0,0,0,0,0,0,-0.124506889371749,0,0.25797677826149,0,0,0,0.169786949657248,0,0.186602418902546,0,0,0,-0.160888730472041,0.182256438784096,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0.031375667073254,0,0,0,0,0.0394429578840871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207393641621975,0.1408455201732,0,0,0,0,0,0,0.557970290048173,0.0992521799302569,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059685059092655
X600016.CH.EQUITY,0,0.173348262422005,0,0.0326056522634251,0.230285177760194,0,0,0,0,0.0160329695157947,1.38777878078145e-17,0.0727882780331043,0.171033611098537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961384706639817,0,0,0,0,0,0,0,0,0,0,0,0.0612050004549191,0,0,0.136543940361898,0,0.0148575692578008,0,0,0
X601601.CH.EQUITY,0,0,0.791573853999555,0,0,0,0,0,0,-0.0880557883879059,0,0,0,0,0,0,0,0.141126766128152,0,0,0,0,0,0,0,-0.0801275254842957,0,0,0,0,0,0,0,0,0,-0.00347891786041746,-1.73472347597681e-18,0,0,0,0,0.00230398527764784,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0971499677469691,0,0,0,0,0,0.0170526348123366,0,0,0,0.167241781037141,0,0,0,0,1.73472347597681e-18,0,0,0.0136875790328436,0,0,0,0,0,0.237670003768479,0,0,0,0,0,0,0,0.09339677042374,0,0,0,0,0,0,0.16469508589969,0
X2388.HK.EQUITY,0,0,0,0,0.0279791820134,0,0.21528921384071,0,0,0,-0.0341508425363915,0,0,0.169060177986876,0,0,0,0,0,0,0,0,0,0.396903407274598,-0.038464714276818,0,0,0,-0.0253962873916276,0,0,0,0,0,0,0.189459738499296,0,0.0202722110041154,0,0,0,0,0,0,0.0782018120346745,0,0,0,0,0,-0.0893407621245764
X11.HK.EQUITY,0,0,0,0,0,0,0.244744455748916,0.346105113259159,0,0.0715224164608069,0,0,0,0,0,0,0,0,0,0,0.125703086120292,0,0.447197933196394,0,0,-0.114460808224713,0,0,0,0,0,0,0,0,0,0,-0.221659111151899,0,0,0,0,0.0509821667058346,0,0,0,0,0,0,0,0,0
