,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,X600048.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.592927025719979,0,0.0137662309086209,0,0.030286977513752,0,0,0,0,0,0.102305402269615,0,0,0,0,0,0.0921718849524862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636434226575114,0,0,0.0628588264902762,0,0.00210068275033662,0,0,-0.0473842459818707,0.0236346031484086,-0.00884369951553246
X601318.CH.EQUITY,0,0,0,0.186239291280183,0,0,0,0,0.0711918005259205,0,0,0,0,0,0,0,0,0,0.199072847209781,0,0,0,0,0,0,0.029419533948458,0,0,0.0967353074565527,0,0,0,0,0.058982550938111,0,0,0,0,0,0.180483937472769,0,3.46944695195361e-18,0,0,0.0224151367989503,0,0.0899223955360887,0,0,0
X601939.CH.EQUITY,0.128763239248733,0,0,0.601422281069768,0,0,0,0,0,0,0.0718042429640172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267118327264971,0,-0.00742927357023611,0,0,0.0931644299894934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112213741659847
X601288.CH.EQUITY,0.257513665021603,0,0,0,-0.0240222283799582,0.040387292625053,0,0,0,0.137974547022326,0,0,0,0,0,0,0,0,0.0489622357957668,0,0,0,0,0,0.0451634871887401,0.185137230889298,0,0,0,0.0795889812584354,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.14582245698128,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.224113841326817,0,0.243414415078574,0,0,0,0,0,0,0,0.212619220177598,0.270236554053751,0,-0.13835277353125,0,-0.0647758312183024,0,0,0,0.139796369746752,0,0,0,0,0.168059260159138,0,0,0,0,-0.00628431972664116,0,0,0,0,0,0,0.0792319694294078,0,-0.416156621410517,-0.0854981917226883,0,0,-0.112613028352398,0,-0.211322965711625
X601988.CH.EQUITY,0.0808542919286556,0,0.0370013258751891,0,0.0147560149055247,0,0,0,0,0,0,0,0.0517818616091183,0,0,0,0,0,0,0,0,0,0.623700099966481,0,0,0,0,0.00579546122181428,0,0.121865463137737,0,0,0,0,0,0,0,0,0,0.0730074179027122,0,0,0,0,0,0.0108722992841972,0,0,0,-0.098719103553267
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0243256710161305,0,0,-0.02279391003281,0,0,0,0,0,0,0.0747282997968759,0,0,0,0,0,-0.00758481030669001,0.704097077323442,0,0,0.0280620723736542,0.0942716118396482,0,0,0,0,0,0,0,0,0,0,0,0,0.0661892099796239,0,0.0512698430610899,0,0,0,0,0
X1299.HK.EQUITY,0,0.186494402524247,0,0,0,0,0,0,0,0,0,0,0.059815269194529,0,0,0.0307295373955145,0.198034257230682,0,0,0.0709986103578335,0,0,0,0,0,0,0.119437686635096,0,0,0,0.0814209612471284,0,0,0,0.0625331532293926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.176587804298757,0,0,0.0117265032847614,0,0,0,0,0,0,0,0,0,0,0,0.022928576098326,-0.0488545896270468,0,0,0,0,0,0,0,0.114677806815859,0,0,0,0,0,0,0,0,0,0,0.380659211031003,0,0.234627198644645,0,0,0,0.0677170862105267,0,0.0105723451013681,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.144714860278662,0,0,0,0.126421620027618,0,0,0,0,0,0,0.244048530488838,0,0,0,0,0,0,0,0.229239800352214,0,0,0,0,0,0,0.0486623445422244,0,0,0,0,0,0,0,0.00855465704258557,0,0.0246234726515328,0.202229712638179,0,0,0,0,0,0,0,0,0.0143755839185417,0
