,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,macro_return_add
X2388.HK.EQUITY,0,0,0,0.0495241020353694,-0.0339840188160782,0,0,0,0.0771180794781562,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.402343056653684,0,0,0,0.104216369990021,0,0,0,0,0,0,0,0,0,-0.0302713077074982,0,0,0,0,0.397661816676379,0,0,0,-0.0986198765979656,0,0
X2007.HK.EQUITY,0.0925846619981263,0,0,0,0,0.0223698095080482,0,0.355651996853708,0.139895440558928,0,0,0,0,0,0,0,0,0,0,0,0,0.0616005193272713,0,0,0.0932699080803298,0,0,0,0.122640246453493,0.0982656838324802,0,0,0,0,0,0,0,0.0445349192138765,0,0,0,0,0,0,0.0688238997796478,0,0,0,0,0,0.0476473482371951
X300059.CH.EQUITY,0,0,0,0,0,-0.0117299677337836,0,0,0,0.265385003325189,0,0,0,0,0,-0.0723980432940913,0,0,0,0,0,0,-0.278374791426136,0,0,0,0,0,0,0,0,0,0,0.294479149373736,0.0689815583351996,0,0,0,-0.0303076223215223,0,0,0,0,0,0,0.0551321979859871,0,0.34681430790365,0,0,0
X267.HK.EQUITY,0,0.0909660990547959,0,0,0,0,0,0,0,0.234575784087725,0,0,0.132286983561391,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0737565066269509,0,0.00986715002777356,0,0.25706012662196,0,0,0,0,0.0706353144106113,0.139905192018839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405891631865814,0,-0.052692070126827
X600048.CH.EQUITY,0,0.135280967149596,0,0,0,0,0,0.108257078576879,0,0,0,0,0,0,0,0.674653534124583,0,0,0,0.0077810361460011,0.0852857723917689,0,0,0,-0.0199151831430904,0,0,0,0,0,0,0.0590500820461732,0,0,0,0,0,0,-0.00830593748306411,0.0484470863721314,0,0,-0.143699102811536,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0.0186281609622108,0.473206737190739,0,0,0,0.196237533318362,0,0,0,0,0,0,0,0.232364681626678,0,0,0,0.129515174876414,0,0,0,0.0216964896640994,0,0,0.0836629389594779,-0.224079021382541,1.73472347597681e-18,0,0,0,0,0.0792885750810436,0,0.340882446203221,0,0,0,-0.408346332206831,0,0,0,0.173917287767592,0,0,0,0,0
X601818.CH.EQUITY,0,0,0.0416225382240644,0.181511745236193,0,0,0.0657314682346861,0,0,0,0,0,0.0545340248164305,0,-1.0842021724855e-19,0,0.0896406047113844,0.0515769297273647,0,0,0,0,0,0,0,0,0,0,0,0.0505691734425353,0,0,0,0,0,0,0,0,0,0,0,0.0903912735068723,0,0,0,0.032640623806855,0,0.121245311252843,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.0213969072104724,0,0,0.049711928647611,0,0,0,0.227003497643418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440109359092752,0.116420792365324,0,0,0,0,0,0.109975487816501,0,0.246665460310972,0,0.0957801066363223,0,0,0,0,0.0560980833520357,0,0.0371802802126013,0,0.21005757234353,-0.0289290508212926,0,-0.0205681761297806
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0557842861642034,0,0.189704166495879,0.0591218875970309,0,0,0,0,0,0,0,0,0,0,0,0,0.0904361114271047,0,0,0.0159500256793051,0,0,0,0,0.460607322712749,0,0.00936781987749104,0,0,0.030019409597123,0,0,0.0495265457502503,0,0,0,0.0211093540266398,0,0.0850644805637487,0,0,0
X600999.CH.EQUITY,0,0,0,0,-0.157182281911295,0,0,0,0,0,0,0,0.0977849965316522,0,0,0,0.118785540080317,0,0,-0.197488005938038,0,0,0,0,0,-0.0139286572724279,0,0,0,0.149286913257466,0.0507667309629509,0,0,0,0.0832538910672965,0,0,0,0,-0.15056052527976,0,0.227586651188088,0,0,0,0,0,0.297247543788233,0,0,0.16949540654801
