,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.343162442945015,0,0.329531568014551,0,0,0,0,0,0,0.0398074806174868,0,0,0,0,0,0,0,0,0,0,0.0190356925891752,0,-0.0564557510714876,0,0,0,0,0,0,0.0272716145140807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291609588805113,0,0.109700155879053,0,-0.126894087314536
X601939.CH.EQUITY,0.441274444475438,0,0,0.204740727813842,0,0,-0.159044951546153,0,0,0.0285982779598628,0,0,0.239186030794417,0,-0.0416873128309867,0,0,0,0,0,0,0,0,0,-0.0268293140130142,0,0,0,-0.0189397424223122,-0.0468228557089899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183609260696146,0,0,0.044312170970837
X601318.CH.EQUITY,0,0,0,0,0.216548202182055,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0260356148680814,0,1.38777878078145e-17,0,0,0,0,0.181052997352427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258934327253735,0,0,0,0,0.218581635230313,0,0,0,0,0,0,0.110925815828168,0
X601288.CH.EQUITY,0.500262057133387,-6.93889390390723e-18,0,0,0.19860127941043,0,0,0,0,0,0,0,0.0747062358049647,0,0,0,0,0,0.0129349445061796,0,0.117481020410704,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508051641651304,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.381092123340003,0,0,0,0,0,0.264302494207195,0,0,0,0,0,0.35502231080508,0.087376792175122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.367511071719821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.00225682971411699,0,0,0,0.325081363051901,0,0,0,0,0.0671360318128172,0,0,0,0,0,0,0.00715740332206069,0,0,0,0,0,0.0464748537484672,0.174025954074193,0,0,0.0705208345254607,0,0,0,0,0,0,0,0.180937082704932,0,0,0,0,0.10650602912839,0,0.0171091437510876,0,0
X1299.HK.EQUITY,0.0759530823825537,0,0,0,0,0,0,0,0.134434710863398,0,0,0,0.101289578861487,0,0,0,0,0,0,0,0,0,0.0102370499164239,0,0,0,0.225815216731105,0,0,0,0,0,0,0,0,0.17841519804192,0,0,0,0,0,0,0.0718939451983465,0,0,0,0.106829929565433,0,0,0,0
X5.HK.EQUITY,0,-0.053843606642027,0,-0.123704227565572,0,0,0,0,0,0,0,0,0,0,-0.00819481375545555,0,0,0,0,0,0,0,-0.592437281138039,1.04203527888139,0,0,0,0,0.499963300467236,0,0,0,0,0,0,0,0,0,0.420848880748182,0,0,0,0,-0.103840803097035,0,0,0,0,0,0,-0.0724941791449541
X601628.CH.EQUITY,0,0,0,0,0,0,-0.00381873906930001,0,0,0,0,1.38777878078145e-17,0,0,0,0,0.0993055898714792,0,0,0,0.0290208209641177,0.0800233059359274,0,0,0.0676534162068518,0,0.27121886332715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153048554831276,0,0,-4.33680868994202e-19,0,0.170244685211657,0.0140882603259619,0,-0.0510433492038303
X601658.CH.Equity,0,0,0,0.0508806321160636,0.15880804329509,0,0,0,0,0,0,0,0.27132239460941,-0.0430520041093128,0,0,0,0,0,0,0,0,0,0,0,0,0.109615759789825,0.203042079737399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374062292525018,0,0,0
