,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0332523226557779,0,0,0,0,0,0,0,0,0,0,0,0,0.508745560852055,0.758964570806363,0.010679341217251,0,0,-0.110857514891932,0,0.218617441806368,0,-0.226716550476959,0,0,-0.320918546801467,0,0,0,0,-0.0453925874415495,-0.058505263597009,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.212117578859615,0,0,0,-0.097272274995802,0,0,0,0,0,0.0954111809127929,0,0,0,0,0,0.00801332347060179,0,0,0,0,0,0,0.133897633620199,0,0.0897005808864689,0,0,0,0,0,0,0.198055025693495,0,0,0,0,0,0,0,0,0.232461060331625,0,0,0.0790131659321192,0.00325743442573045
X601939.CH.EQUITY,0,0,0,0.818260059833226,0,0,0.0288104860880648,0,0,0.0268295657756953,0,0,-0.047271957269005,0,0,0,0.06687840758394,0.069823198571295,0,0,0,0.00569544095355903,0,0,0,0.0649630883118451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442598840402523,0,0
X601288.CH.EQUITY,0,0,0.888168251262013,0,-0.079746104249476,0,0,0,0,0,0,0,0,0,0,0,0,0.178355090519378,0,0,0,0,0,0,-0.0659293182580947,0.0431667008917836,0,0,0,0,0,0,0,0,0,0,0,0,0.0121301986213265,-0.108296540943311,0,0,0,0,0,0,-0.0215126350343243,0,0,0,0.0140661731522006
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0213117886305395,0,0.439054491115668,0,0,0,0,0,0,0,0,0,0.0812168885820842,-0.0576065330408256,0,0,0,0,0,0.0235248860125404,0,0,0,0,0,-0.126662395065775,0.38491793530906,0,0,0,0,0,0,0,0,0.161160548327372,0.157310032875798,0,0,0,0,0.100653570421948
X600036.CH.EQUITY,0,0,0.36275422505235,0,0,0,0,0,0.0218705717934992,0,0,0,0,0,0,0,0.142288774743034,0,0,0.00457668712189355,0,0,0,0,0,0.166213304018501,0,0,0,0.226737552108714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403282328283143,0.0226319985579718,-0.00297442817165656,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00123111872943676,-0.145658452379924,0.0805613115448171,0,0.0276732013876776,0,0,0,0,0,0.0374698829592892,0,0,0,0,0,0,-0.0746048034439375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106107639957412,0,0,0.0105609860926425,0,0,0,0,0,0,1.01454521976323,0.0371484826779473
X1299.HK.EQUITY,0,0,0,0,0.218744139336878,0,0,0,0,0.249886160017,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173762905734955,0,0.349752253486377,0,0,0.22455877019795,0,0.125757807560453,0.1273068053222,0,0,0,0,0,0,0,0,0,0.0760648138390187,0,-0.0885317195898374,0.0454335322247127,0,0,0,0,0,-0.0892373997778042
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0287091609414493,0,0.3444234405319,0,0,-0.348871497069981,0,0,0,0.0900869830482877,0,0.108777850519304,0.201609196967069,0.410793815319431,0,0,0,0.0127417465890422,0,0,0,0,-0.203714703621089,0,0,0.00975935583883848,0,0,0,0.114072118426946,0.0640850316585345,0,-0.111276832495122,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.356539785089341,0,0,0,0.13281742996951,0,0,0,0,0,0,0,0,0,-0.428546196115796,0,0,0,0.201115627211493,0,0.212945097914306,0,0,0.0755415523137112,0,0.0921590144287911,0,0,0,0,0,0,0,0,0.0418502510270179,0,0,0,-0.246902517995009,0,0.10129089383082,0.111207527051619,0,0,0,0,0
