,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,macro_return_add
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0891146151653009,0,0,0,0,0,0,0,0.0589180289811686,0,0,0,0,0,0,0,0.269103136065926,0,0.184504313010705,0,-0.0724961785048663,0,0,0.244473052971507,0.247430925520522,0,0.0203207422469136,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.224324506879442,0,0,-2.16840434497101e-19,0.445619234847578,0,0,0,0,6.93889390390723e-18,0,0,0.00337584099601457,0,0,0,0,0.0351159109327873,0,0,0,0,0,0,0.045643457000518,0,0,0,0,0,8.67361737988404e-19,0,0,0,3.68570672613687e-05,0,-3.46944695195361e-18,0,0,0.00716969170553037,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.00612470202308598,0,0,0,0,0,0,0,0.252629945122507,0,0.187506922537697,0,0,0,0,0,0.00975273323958847,0,0,0.0252598477950245,0.235350995800553,0,0,0.207094422133345,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0.0525376207266185,0.074798126372917,0,0,0,0,0.020971133103546,0,0,0,0,0,0,0,0,0,0,0.252060878911342,0,0,0.379536160233503,0,0,0,0,0,0,0.0763019390440412,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0
X600016.CH.EQUITY,0.00087661365356548,0.0925406182493882,0.036777156059815,0.044579550346169,0,0,0,0,0,0,0.252913404885552,0,0.00510148302056073,0,0,0,0,0,0,0,0,0,0,0,0.355100592887906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177839247778131,0.0229240927764125,0,0,0,-0.000437320268096296
X000001.CH.EQUITY,0.00425697076381223,0,0.221515297524354,0,0.297553768652614,0,0,0,0,0,0,0.0300798984817213,0,0.129970315229464,0,0,0,0,0,0,0,-0.00938541603176593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318181234207553,0,0,0,-2.77555756156289e-17,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0684510612112654,0,0.312418226563741,0,0,0,0,0,0,0,0,0,0,0,0.139727572133955,0,0.00793977524139772,0,0,0.0617950884282703,0,0,0,0,5.42101086242752e-20,0,0.245419201299587,0,0,0,0,0.0250956100706313,0,0.0391403941690159,8.67361737988404e-19,0,0,0.0543321906655443,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,-0.0589332455471482,0,0.177735257999591,0.356654381244537,0,0.0205445516142232,0,0,3.46944695195361e-18,0,0,0,0,-0.232967659126343,0,0,0,0,0,0.718515021410681,0,0,0,0,0,0,0,0,0,0,0,-0.0204461201569992,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.0701110953196622,0.145834129761976,0,0,0.0772948728229547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350087302066414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922182299055128,0,0.0614912324379734,0,0,0,0,0.112042968243491,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.119144788342027,0,0,0,0,0,0,0,0.0296732808489953,0,0,0,0,0,0.393483547990075,0,0,0,0,-0.0532537402777392,0,0,0,0,0,0,0.362928359147467,0,0,0.0755633864163095,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0.058830915268275,0.0343553395574568,-0.0408135928676587
