,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X601077.CH.Equity,0,0,0,0,0,-0.140858807386516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905408157939273,0,0.242625141833629,0,-0.122362348543091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617829706753869,0.379149424962018,0,0,0.0722444655892904,0,0,0,0,0.0023417018882103,0,0.0124022192984049
X11.HK.EQUITY,0,0,0,0,0.214372579005286,0.140095652215157,-0.313310440222529,0,0,0,0,0,0,0.075554008945635,0,0,0,0.036716048878346,0,0,0,0,0,0,0,0,0.00402646110196394,0.119443491558838,0,0,0,0,0,0.208326247767581,0.0469723275844821,0,0,0,0,0,0,0.0479184069008054,0,0.147928606348508,0,0,0,0,0,0,-0.0048311636380982
X2388.HK.EQUITY,0,0,0,0,0.0420010193004097,0,0,0,0,-0.0236336962301336,0.124779212656152,0,0,0,0,0,0,0,0,0,0,0,-0.0413556733934152,0,0,0.376454343541362,0,0.166598128198246,0,0,0,0,0,0,0,-0.0590908587481587,0,0,0,0,0,0,-0.0927851624965504,0.109734819821161,0,0,0,0.0749876626176293,0,0,0.147861744377416
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36372114648633,0,0,0,0.12268503517268,0,0,0.108150537564829,0.330642601651025,0,-0.142410090065898,0,0,0,0.075765932119565,0,-0.0150174313136318,0,0,0,0,0,-0.0809447930045526,0,0,0,0,-0.0435851784512376,0,0.0705634709556034,0,0,0
X2880.TT.EQUITY,0,0,0,-0.0303164753674138,0,0,0.105673918237244,0,0,0,0,0,-0.119468436183886,0,0,0,0,0,0,0,0,0,-0.0178420416872618,0,0,0.0416501034852377,0,0,0,0.283875599795575,0,0,0.137857263974345,0.294003334515271,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.101008248632655,0,0,0.191133493539066,0.0809791596253932,-0.0941143896989027,0,0
X2884.TT.EQUITY,-0.0305288320334259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106551563884234,0.0137201955843446,0,0.0505810665222163,0,0.0406138140567392,0.178898084446766,0,0.172509866840062,0,0,0,0,0.00659210166765145,0.0526386385866961,0.0926181419980497,0,0,0,0,0,0,0,0,0.0571437074313812,0.0965264381248021
X2886.TT.EQUITY,-0.129415628837151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0962566470221807,0,0.00195252419487674,0.184359737951119,0.202729792396271,0,0,0.0674235851050578,0,0,0.226674980740175,0,0,0,0,0,0,0,0,0,0,0,0.0296979970183801,0.0670699690922387,0,0,0,0,0
X2891.TT.EQUITY,0,0,0,0,0,0.112173923728176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068105903562981,0.323986758030376,0,0,0,0,0,0,0,0,0.0658180717940561,0.0225285916638333,0,0.492048503507082,0,0,-0.121771584586697,0,-0.0394020976076084
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.130149309904392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145271169096067,0,0,0.0516217625241477,0,0.433975776975693,0,0,0,0.100946959224985,0,0.106619317747548,0,0,0,0,0,0,0.00281243198381829,0.234605771003795,0,0,0
X5880.TT.EQUITY,0,0,-0.0748197432991383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531745866161427,0.0878510299855799,0,0,0.0698291074612071,0.39686660350166,0,0.0572487885015672,0.171306394278506,0,0,0,0,0,0,0,0,0,0,0,0.0575015444431345,8.67361737988404e-19,0.218030771667367,-4.33680868994202e-19,0,0,0
X600030.CH.EQUITY,0,0,-0.0731918284381918,0,0,0,0,-0.195047976303473,0,0,0,0,0,0,0.0772211397139567,0,0,0,0.132778351076986,0,-0.000229832515554307,0,0.11232716985461,0,0,0,0,-0.344914888199836,0,0,0,0,0,0,0,0,0,0.592724768694917,0,0,0,0,0,0,0.1202091756862,0,0,0,0,-0.122972212877939,-0.373656681019809
