,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601988.CH.EQUITY,0.0672686095709066,0.110433733014094,0,0,0,0,0.212752734871768,0,0,0,0.070956415779294,0,0,0,0,0,0,0,0.290365571897628,0,0,0,0,0,0,0,0,0.0115157901599905,0,0,0,0,0.0299424759731126,0,-0.0493722096982611,0,0.157004625504418,0,0,0,0,0,0,0,0,0,0,0,-0.160086031864863,0
X601998.CH.EQUITY,0.299825967557878,0,0,0,0,0,0,0.143559438978842,0.0749206689547259,0.0162981761947011,0,0,0,0.0566400370816604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583791474047755,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.0697823178132922,0,0,0,0,8.67361737988404e-19,0.140854178090836,0,0,0,0.139345815513917,0.140724370906765,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222199151948705,0,0.0477891728811985,0,0,0.50416038523208,0
X2388.HK.EQUITY,0,0.348869853843068,0,0,0,0,0,0,0,0,0,0,0,0,-0.468897307292325,0,0,0,0.190985478019498,0,0,0,0,0,0,0,0,0.567849138477322,0.245726451265658,-0.191964833183452,0,0,0,0,-0.0829170016488405,-0.0974524388749557,0,-0.221835884165809,0,0,-0.0973191973501305,0,0,0,-0.0230025551163818,0.17730556556296,0,0,-0.151068024760197,0.0272989748674657
X5.HK.EQUITY,0,0,0.0153162813849711,0,0,0,0.239195610539649,0,0,0,-1.35525271560688e-20,0,0,0,0.157772915342682,0,0,0.0173765837786348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228780579814176,0.128823158894927,0,0,0,0,0,0,0,0,0,0.0210706841007625,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0428914340218371,0,0,0,0,0,0,0.158578705726645,0,0,0,0.324079881935509,0,0.214344617723005,0.0439990507432099,0.00612886890340075,0.362042206195453,0,0,-0.0182714839199761,0.22912600079632,0,-0.0975771277141041,0,0,0,0,0,0,0,-0.151476118146516,0,-0.0131357140100254,0,0,0,0,0,0,0,-0.066121076716009
X002736.CH.EQUITY,0,0,0,0.0789303617693635,0,0,0,0,0,0,0,0,0,0,0.0448326953436208,0,0,0,0,0.400356106613965,0,0.326215762704088,0,0,0,0.0328234329134967,0,0.0257940231452916,0,0,0,0,0,0,0.0881002766004973,0.00964819409855948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383673075763743,0.126131315946296,0,0,0.3277246010936,0,0,0.215391172106096,0.147926533459143,0,0.0828390285497462,-1.73472347597681e-18,0,0,0,0,0,0,0.0872461057870543,0,0.0409946393616757,0,0,0,0,0,0,0,0,0,0,-0.0601329370730112
X600837.CH.EQUITY,0,0,0,0,0,0,0.000492253736318163,0,0,0,0,0,0,0,0.0205638089482354,0,0,0,0,0,0,0.563231463616946,0,0,0,0,0.184893725995622,0,0,0,0,0.0124859011333149,0,0,0,0,0,0,0.0541748472356767,0,0,0,0,0,0,-0.0383103901305743,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134633223097025,0,0.298197223704098,0,0.0831123199989936,0,0,0,0.540575224674357,0.0798984624955268,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292035985971521,0,0,0,0,0,0,0,0,-0.0103095615521981
X601066.CH.EQUITY,0,0,-0.300754965893593,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0567374812780995,0,-6.93889390390723e-18,0.386668549084119,0,0,0.0126635890139054,0,0,0,0.179237988694593,0,0,0.166890470655371,0,0,0,0,-0.0368165391371741,0,0,0,0,0,-0.123649121367914,0,-0.0671295974660091,0,0,0,0.360375780656822,0,0,0
