,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X000001.CH.EQUITY,0,0.0329048665476123,0,0,0,0.0192693606118016,0.264186276464416,0,0.1264384169841,0,0,0,0.0232526570516411,0,0,0,0,0,0,0,0,0,-0.401795097576694,0,0.0234649067102098,0,0,0.416632975073757,0,0,0,0.265075583754608,-0.0411447567196105,0,0,0,0,-0.0909166653230434,0,0,0,0,0,0,0.0309634294010717,-0.0286378607286973,0,0,0,0,-0.0305142022716435
X002142.CH.EQUITY,0.588689651858365,0,0,0,0,0.0501506546402709,0.138981286701649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594828425168936,0,0,0,0,0,0,0,0,0,0,-0.0105664858557596,0,0,-0.0853343384566413,0,0,0,0
X600000.CH.EQUITY,0.131218624199612,0,0,0,0,0,0,0.279424937299587,0,0,0.15195450024059,0,0,0,0,0.268673105249815,0.0308008281000471,0,0.142487558216888,0,-1.38777878078145e-17,0,0,0,0,0,0.138400002033149,0,0.00905594245100578,0,-0.11198560864019,0,0,0.00835170082979495,0,0,0,0,0,0,0,0,0,0,0,0.036444489025611,-0.0701658249198356,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0,0.0721263026431507,0,0,0,0,0,0,0.28950490371978,0.0632482237145289,0.29802117693727,0,0,0,0.210863302354955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237165216222033,0,0,0,0,0,0,0,0,-0.123380778737995,0,0
X600016.CH.EQUITY,0,0,2.16840434497101e-19,0,0,0,0.140925181694296,0.426986710458981,0,0,0.233196930386863,0,0.0512221724028556,0.0385477188000552,0,0,0,0,0.0983238747217867,0,0,0,0,0,0,0,0,0,0,0,0,0.106502708290222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.211252639105538,0.0451168128551667,0,0,0.193742929910653,0,0,0.242062888089381,0,0,0,0,0,0,0,0.0738148203212975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310171380180238,0,0,0.244610849987694,0,0.0323954813320429,0.0494502703320493,0,0,0,-0.15171505615032,0,0,0,0,0,-0.08465020396242,0
X601166.CH.EQUITY,0.46201733954321,0,0,0,0,0.00545314448541138,0,0,0,0,0,0,0.186807060469864,0.0535369003378206,0,0,0,0,0,0,0,0,0,0,0,0,-0.0795342463710298,0,0,0,-0.100718262915377,0,0,0.0432712764441503,0,0,0,0.12105169589241,0,0,0.118922354893009,0,0,-0.146652176545229,-0.0100078921298699,0,0.0493543044069064,0,0.0450370151301582,0,0
X601169.CH.EQUITY,0,0,0.0596876647168358,0,0.699390369330872,0.069244496063864,0,0,0,0,0,0,0,0.13910439582115,0,-0.06624512753751,-0.0264560623499377,0,0.0579235238612341,0.0573729982809056,0,0,0,0,0,0,0,-0.0920439791468347,0,0,0,0,0.167246537247762,0,0,0,0,-0.12948861277387,0,0,0,0,0,0,0,0,0,-0.10794127462965,0,0,0
X601229.CH.EQUITY,0,-8.67361737988404e-19,0,0.15278991516072,0.14181444085104,0,0,0,0,0,0,0,0.17523379370332,0,0,0,0,0.0483779361067503,0,0,0.109942543590115,0,0,0,0,0,0,0,0,0.0398407528317403,0,0,0,0,0,0.0379710563206929,0,0,0,0,0.0450597513006063,0,0.0362202321801617,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0715160828674151,0,0,0.112109000612053,0,0,0,0,0,0,0,0,0.0728505445438706,0.0954738993546038,0.375337566637652,0.0214014691699474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164506082557385,0,0
