,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.035849803866493,0,0.0946432521817984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0953666607309485,0.453001911041978,0,0.68456386650485,-0.0684386507652744,0,0.15199239043795,0,0,0,0,0,0,0.0173552849518904,-0.250842092011136,0,0,0,0,0,0,0,0,0,0,-0.28291945597282,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.106317976872097,0.00899791201157825,0.098176788338724,0,0,0.047230500726304,0,0,0,0,0,0,0,0,0,0.267693146627556,0,0,0,0,0,0,0,0,0.140733449031376,0.037215145526778,0,0,0,0,0,0,0,0,0,0.197635306553529,0,0,0,0,0,0,0.0524293418339303,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.828667333659426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377367165922744,0,0,0,0,0,0.0468788133296742,0,0,0,0,0.073090409643506,0,-0.0678781246686178,0,0,0,0,0,0,0.0385050915547437,0,0,0,0,0,-0.0607251206858706,0,0,0,0,0,0.0917856453391044,0,0
X601288.CH.EQUITY,0.0163762037472902,0,0.897120533318998,0,-0.074309716987526,0,0,0,0,0,0,0,0,0,0.000950581103957574,0,0.0176707199254005,0.128072911388582,0,0,0,0,0,0,0,0,-0.0736722066504242,0.0264953650029568,0,0,0.0316704379454832,0,0,0,0,0,0,0,0,0,-0.100633698375353,0,0,0,0,0,0,0,0,0,-0.0366516610468649,-0.0149798899715705
X601628.CH.EQUITY,0,0.0437500013494387,1.73472347597681e-18,0,0,0,0.290315439320308,0,0,-0.0125667326361485,0,0,0,0,0,0,0,0,0,0,0,0,0.0213778817548092,0,0,0,0,0.0227836345616047,0,0,0,0,0,0,0,0,0,0.161641789781228,0,0.17094539332696,0,0,0,-0.0261002697159601,0,0.0796544340299994,0,0.118371712592071,0,0.0778871158550864,0.102358530661275,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19676714360059,0,0,0,0,0,-0.237449833102715,-0.203666264722142,0,0,0.0275559486604547,0,0,0,0,0,-0.0618718184146992,0,0,0,-0.0682567527664273,0,0,0,0,0,0,0,0,0,0,0.034735954125584,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.306105924930245,0.159614629627965,0,0,0,0.101141847751859,0.0840547901740415,-0.068079177972151,0,0,0,0,2.16840434497101e-19,0.0470048094167425,0,0,0,0.0122010790566409,0,0,0,0,-0.0188572948872525,0,0,0.0184044058806516,0,0,0,0,0,0.254201015351211,0,0,0,-0.0620468216067121,0,0,0,0,0,0,0,0,0,0.0813554454083977,0,0,0.0191141167904025,0
X1299.HK.EQUITY,0,0,0,0,0.111524113958032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179910315901579,0,0,-0.0572776112797533,0,0,0,0,0,0.028702925900879,0.177606598571134,0,0,0,0,0,0.0298808768462952,0.203094605946132,0,0,0,0,0.0763249981847466,0,0,0,0,0.460638717331778,0,0,0.0594538673720674,-0.0157590331620824
X5.HK.EQUITY,0,0,0,0,-0.190446804172913,0,0,0,0,0.0803149694986477,0,0,0.0470538620913483,0,0,0,0.32630644196714,0,0,0,0,0.17399228095378,0,0,0,0.300582686439206,0.102476121931804,0,0.100759644374435,0.0668602497437025,0.0920605039954738,0.0351539253805028,0,0,0,0,0.177937948588315,0,-0.234354183115317,0,0,0,0,0.145097629910222,0,0,0,-0.197885456019315,0,0,0.231118036020611,0.0346933996531454
X388.HK.EQUITY,0,0.198150546645347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145817301488251,0,0,0,0,0.559332278621406,0.279045907972892,0,0,0,0,0,0.158655478511242,0,-0.231726568407159,0,0,0,0.0551279009287982,0,0,0.0406993967098429,0,0,0,0.00534617575470834,0,-0.484735067106581,-0.0127501512758417,-0.141548338427339,0,0,0,0,0,0,-0.127372867753273
