,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.191130537564673,0,0.204925207123963,0,0,0,0,0,0,0,0,0,0,0.100701831128933,0,0,-0.150144562593001,0,0,0,0,0,-0.279448659937061,0,0,0,-0.0775121723659968,-0.160085083489339,0.880298965938561,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.110738640461916,0,0.176506318687256,0.0118801323570068,0,0,0.0616622282671346,0,0.0667877682701158,0,0,0,0.064385675931813,0.0742409650615185,0,0,0,0,0.0847310679811519,0,0,0,0,0,0,0,0,0,0,0.0170930836153641,0,0,0.0187538592785987,0.0599073291510355,0.299819772102457,0,0,0,0.120230926440057,0,0,0,0,0,0
X601939.CH.EQUITY,0.197823492271796,-0.0672090779842215,0,0,0.119109600745762,0,0,0,0,0.206564220365877,0,0,0,0,0,0,0,0.119182429135609,0,0,0,0,0,0,0,0,0,0,0,0.067020384262373,0,0,0,-0.33879945031468,-0.173368390980807,0,0,0,0,0.128391155672834,0.488163194408222,0,0.112443356691419,0.0479148895832314,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.485302068905558,0.161689139239897,0.0419185168513789,0.474563483397589,0,0,0,0.0333335544918654,0.389925113904397,0,0,0,0,0,0,0,0,-0.2979425687126,0,0,0,0,0,0,0,-0.650593555856652,0,0,0,0,0,0,0,-0.132589206392132,0.344520383401458,0,0,0,0,0.240624331620414,0,0,0,-0.156401546517783
X5.HK.EQUITY,-0.0641069839032788,-0.0737129139221276,0,0,0,0,0,0,0,0,0,0,0,0,0.528364989809774,0,0,0.00873219381242181,0.406508160577238,0,0,0,0,0.0645767198246987,0.175593344449056,0,0,0,-0.079641927634468,-0.112576903092779,-0.0888954073384905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238006903018135,0,0,-0.105821434774853,0,0,0
X601988.CH.EQUITY,-0.371805883843489,0,0,-0.0244138708260732,0.484815159442263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768448826976754,0,0,-0.0718955856185098,0,0,0,0,-0.555329207082961,0,0,0,0,0,0,0,0,0.117560425521874,-0.0489593751206049,0,0,0.138354370786733,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.104567216425179,0.462279522254355,-0.0432897389498537,0,0,3.46944695195361e-18,0,-0.0997352028437141,0,0.490291167480399,0,0.140107370571404,0,0,0,0,0,0,0,-0.0876722502207048,0,0,0,0,0.284314167902445,0,0,0.0822510139752802,0,0,0.0836499168070514,0,0,-0.310541090025171,0,0,0,0,0,0,0,0.227513970067274,0,0,0.124789884715271,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.109168634908588,0.0143702772725701,0,0,0.134749842841688,0,0,-0.073581067186993,0,0,0.0271343194466967,0.138922844410335,0,0,0.0606839258690271,0,0,0,0,0,0,0.165538729703459,0,0,0,0,0,0.145086963086027,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0538586847573599,0.0321217438308061,0.0318639048722595,0,0,0,0,0,0,0.120803507575915,0,0.380404819242568,0,0,0,0,0,0,0.0189151370159128,0,0,0,0,0,0,0,0,0,0,-0.0534354296330788,0,0,0,0,0.15601373124516,0.193092094994747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.5780093850349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849046312023329,0,0.125505524772648,0.283022621993559,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.0685772736286909,0,-4.33680868994202e-19,0,0,-0.129137462605015,0,0,0.0224192283450869,0,0,-0.0131961715651279,0,0
X601166.CH.EQUITY,0.0198147779536107,0,0.0376295109825516,0.285964457762532,0,0,0,0,0,0,0,0.210164852188523,0,-7.19335598413774e-05,0.0231703795091763,0,0,0,0.0237918259326705,0.0857919253912505,0,0,0,0,0.0396583053440083,0,0,0,0.17226724200171,0,0.0948486084544993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276532349188912
