,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601066.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.236257742125274,3.46944695195361e-18,0,0.0871206519420873,0,0.238980749931607,0,0,0,0,0,0.128014684052488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381530305979766,0,0,0,0.0939279713737602,0,0,0,0,0,0.0225481742557321,0,0,0,0,0,0,0,0.106406781692569,0,0,0,0,0
X601318.CH.EQUITY,0.166446872780453,0,0,0,0,0,0,0,0.282458611188976,0,0,0,0,0,0,0,0.233092443382422,0,0.0535051027117191,0,0,0,0.105190514924708,0,0,0,0,0,0.0320200629806614,0,-0.0925552913645381,0,0,0,0.102041510629589,0,0,0,0,0,0,0.0651822641449946,0.0194995786880649,0,0.0537047524139653,0,0,0,0.0430163898112266,0,0,0
X601939.CH.EQUITY,0,0,0,0.282505074562272,0,0.0747349829174014,0,0,0,0,0,0,0,0.416030381105233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558748820269601,0,0,0.0735815311804469,0,0,0.00942076855521381,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.354591382228319,0,0.0265026285353752,0,0,0.487166228963181,0,0,0,0,0,0,0,0,0.0301700876894305,0,0,0,0,0,0,0.0175642614458418,-0.0286040573414855,0,0,0,0,0,-0.000304266501959377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104906914914199,0,0,0,0.0034969571938721,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.0668058313595831,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.612867053004291,0,0,0,0,0,0.403621003545369,0.0847832737767309,0,0,0.155497662357638,0,0,-0.0734628775566628,0,0,0,6.93889390390723e-18,0.00386078800121207,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.375600226539333,0,0.000199896517095711,0,0,0,0,0,0,0,0,0.0950882072565073,0,0,0,0,0,0,0.0251685955276761,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159788771439911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297351424506087,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.280080589078166,0,0,0,0.320085275463098,0.0712691597337634,0,0,0,0.152054344132088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115670433659575,0,0,0,-0.0532318090008609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335809488382265,6.93889390390723e-18,-0.00574669077690634
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378510959003274,0,0,0.0701646805200836,0.171052386448279,0.0133286119310299,0,0,0,0,0,0,0,0.273552858476953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.169291602457699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183493239810113,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.194887223083239,0,0,0,0,0.067678364312694,0,0,0.16395907764548,0,0,0,0,0,0,0,0,0,0,0.10821030685468,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.254262175894958,0,0,0,0,0,0.274625019090501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166229677680186,0,0,0,-0.148732759762247,0,0,0,0,0.746899416903562,0,0,0,0,0,0.251787398010836,0,0,0,0,0
