,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.313292029053926,0.24092489919999,0,0.168380700983464,0,-0.121979355091877,0,0,0.071365870129033,0,0,0,0,0,0,0.0262653034199191,-0.155843649273319,0,0,0.130615978963702,0,0,0,0.0473556303904975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901625592560138,0,-0.0155264110227436,0,-0.0834195196413995,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.185836936020554,0,0,0,0.29338061733701,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0674342427333655,0,0,0,0,0,0,0,-0.249496321681554,0.274039088813655,0,0.190008943309349,0,-0.00144959280125076,0,0,0,0.063519400982738,0,0,0
X601939.CH.EQUITY,0.425902860112399,0,0,0.0869079769549982,0.107532475361337,0,0,0,0,0,0,0,0.141613471481418,0,0,0,0,0,0,0.0136988123237515,0.128145869326796,0.0123033031594239,0,0.0302685645566876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321648351450679,0,0,0,0,0,0,-0.170914510638879,0,0,0,0,0
X601288.CH.EQUITY,0.44108437245471,0.0348178487869247,0.127062229047733,0,0.0356417554534606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137611001695798,0,0,-0.0367479002906231,0,0.0418545941189965,0.0753497392368077,0,0,0.234674841211072,0,0,0,0,0,0,0.106806773866147,0,0
X5.HK.EQUITY,0,-0.251526064394083,0,0.0168153127502125,0,0,0,0,-0.315436270750324,0,0.28313388147999,0,0,0,0.0263893686518246,0,0,0.0734127505161151,0,0.0257445229604859,0,0,-0.0610391930662874,0.60466902984552,0,0,0,-0.0078340901398233,0,0,0,0,0,0,0,0,0,0,0.0324545702057722,0,0.0675838108441082,0,0,0,0,0,0,0,0,0,-0.339199914497827
X601988.CH.EQUITY,0,0,0.179179734621063,0.301868051454048,0,0,0,0.105227084863232,0,0.126514895142642,0.160308312903072,0,0,0,-0.271675183862282,0,0,0,0,0,0,0.0870731918844605,0,0,0,0,0,0,0,-0.0194219071591243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254821183700006,0,0,0,0,0.0775760509025426,-0.0687504843507854
X600036.CH.EQUITY,0,0.350677792074596,0,0,0,0,0,-0.0267611155084241,0,0,0,0,0.185810109771384,0,0,0,0,0,0.0607074223860386,0,0.0224373349089139,0,0,0.267697827892951,0,0,0,-0.0051649070454763,0,-0.00111750625071848,0.218936942885084,0,0,0,0,0,0,0,0,0,0.0623681688047444,0,0,0,0,0,0.0191560477376094,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.203712684263887,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.258838261075961,0,0,0,-0.0183979145777801,0,0.0639396962624078,4.33680868994202e-19,0,0,0,0,0,0,0.0780910067375821,0,0,0,0,0.00920996325860593,0,0,0,0,0,0,0,0.0622651025111719,0,0,0.00519437146919732,0,0,0,0,0,0.172275203214751,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390250617958387,0,0,0,0,0,0.18860503734058,-0.0107585204798604,0.137854927942688,0,0.177572486603711,0,0,0,0,0.0198416387608517,0.37098344229203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570007415411895,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.153015874049479,0,0,0,0,0,0,0,0,0,0.265111466936125,0,0,0,0,0,0,0,0,0,0,0,0.0346792267466046,0,0,0.507026165220258,0,0.183869437329625,0,0,-0.067172579419378,0,0,0,0.193812465870666,0,-0.131026868169068,0,0,0,0,-0.0154152460708872,0,0,0,0
X601328.CH.EQUITY,0,0.0149378752998859,0.0288738587768849,0,0.058320599255285,0.101659864624584,0,0,0,0.0187197626080202,0,0.182891770499236,0,0.0642405094300471,0,0,0,0,0,0.18407038314452,-0.180292339598881,0.187493073190485,0.0242083637744996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23753574221298,0,0,0,0,0,0,0,0,0
