,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0426466737505272,0.236195264928664,0,0,0,0,0,0,0,0,0,0,0,-0.0630850575832654,0,0,0,-0.0345557551229666,0,0,0,0,0,-0.279551298171821,0,0,0,0.123782193525731,0,0.578208841327734,-0.127966488608053,0.111934262974656,0,0,0,0,0,0,-0.0802370148495941,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0545464845420941,0,0.158386977030925,0.0219977895915694,0,0.00678677613096975,0,0.277189355638997,0,0,0,0,0,0,0,0,0,0,0.0939143291955433,0,0,0,0,0.0203398556504389,0,0,0,0,0,0,0,0,0,0,0,0,0.0757389359657038,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410844947254736,-0.144517921880624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252432767570833,0,0,0,0,0,0.0433857900321848,0,0,0,0,0.0673004080931605,0.0901937027199536,0,0,0,-0.263231902881282,-0.123751151180837,0,0,0,0.563248037902426,0,0,0,-0.0121402753322233,0.131093688091787,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.199744534578253,0.17762809884397,0.0095589462284122,0.38101454092219,0,0,0,0.139695621357108,0,0,0,0,0,-0.0765449934818232,0,0,0,0,0,0,0,0,0,-0.591633575154921,0,0,0,0,0,0,0,0,0,0,0.20700312721593,0,0.0194374334395163,0,0,0.236957704123551,0,0,0,-0.112770250231215
X5.HK.EQUITY,-0.204574854989748,0,0,0,0,0,0,0,0,0,0.0230833438981417,0,0,0,0,0.288803699954085,0,0,0,0.288544465684939,0.0166953078800281,0,0,0.454303341936802,0,0,0.0503760301060954,0,0,0,0,0,-0.169047146434871,0,0,0,0,0,0,0,-0.141252874761721,0,0.217773560376463,0,0,-0.0386134773481259,-0.0999370573850808,0,-0.0995840277911272,0,0
X601988.CH.EQUITY,0.0354126939470069,0,0.0934892039516586,0.328152477200088,0.00440828346264976,0,0.0454926783030421,0,0,0,0.183505482528008,0,0,0,0,0,0.110938517527746,0.110883114381509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132785145504045,0,0,0,0,0.146927172624982,0.17295967381111,0,0,0,0,0,-0.0307483929133236
X600036.CH.EQUITY,0,0.241420275753507,-0.0114114177764588,0,0,0,0,0,-0.10956591097303,0.0606535727313664,0,0,0.530902058844635,0,0,0,0,0.020119572299207,0,0,0.292389916116925,-0.107586867307757,0,0,0,0,0,0.0960021907555244,0,0,0,0,0.327287513918419,-0.154015588342276,0,0,0,0,0,0,0,0,0.108140091959553,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0616816609453254,0,0,0.181709480071023,0,0,0,0.0199141567554105,0,0,0,-0.0161762221181479,0.0197904086228615,0.15659354417517,0,0,0,0,0,0,0,0,0,0,0.183036341265529,0,0,0,0.0308921641843993,0,0.0953530758996292,0,0,0,0,0,0,0,-0.00582417451566809,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.0401991631585533,0,0.0676259054904513,0,0,0,0,0,0,0,0,0,0.313476427557913,0,0,0,0,0,0,0,0.09918127849264,0,0,0.0595292219791643,0,0,0,0,0,0,0,-0.0791695952720258,0,0,0,0.0717157050084999,0.231874257822458,0.0333876957498248,0,0,0,0,0,0,0.101134983407051,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.610662217875707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284824064855452,0,0,0,0,0.0728070171340387,0,0,0,0,0,0,0,0,0,-0.0502736012206497,0,0,0,-0.0582522035718759,0,0,0,0,0.0499853431208901,0,0,0,-0.0038593876692874,0,0
