,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.0433783387852588,0.299177167006452,0,0.189227943195472,0,0,-0.0642445361401557,0,0,0,0,0,0,0,0,0,0,-0.0249003835575588,0,0,0,0,0,0,0,0,0,-0.00113173460763472,-0.00877555438918882,0,0,0.101374671571398,0,0,0,0.0388473322358514,0,0,0,0,0,0,0,0,0.244798576264749,0,0,-0.0634594165952879,0
X601318.CH.EQUITY,0,0,0,0.0575376655681505,0,0,0,0.0562686283036978,0.143468082720921,0,0,0.0861696417896275,0,0.043850515919757,0,0,0,0,0.246656951317959,0.147586065307918,0,0,0,0,0.0229993176999742,0,-0.0147831253626848,0,0,0,0,0.13522574155844,0,0,0,0,0,0.0920994578650087,0,0,0,0,0,0.0447798646847526,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.0670159320942835,0,0.369712097370499,0,0,0.0249429858540846,0,0.0475419596408297,-0.0962548337917687,0,0.0119090774764157,0,0,0,0,0,0.0235148612991049,0,0.608125469304131,8.67361737988404e-19,-0.120165708085366,-0.0296166878398386,0,0,0,0,0.0398752519911183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.120983015074231
X601628.CH.EQUITY,0.105891730997823,0,0,0,0,0,0.0670274820019561,0,0,0,0,0,0,0,0,0,0,0.263835820405577,0,0,0,0,0,0,0.146842631665756,-0.206985027879367,0,0,0,0,0,0.0346890331255808,0.225955680523139,0,0.388978920336274,0,0,0,-0.0623417823720492,0,0.0795438782285545,0,0,0,0,0,0.0202874698033037,0,0,0,0,0
X601288.CH.EQUITY,0.274314821079323,0,0.0419022177531619,0,0,0,0.187862999782436,-0.121614491406205,0,0,-0.040561585090254,0,0,0,0,0.188483533711764,0,0.135134108604058,0,0,0,0,0.00143694906991193,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0330134911506616,0,0,0,0,0,0,0.123982669249873,0,0,0,0,0,0,0,-0.0754116796547694
X600036.CH.EQUITY,0,0.185828288158074,0,0.0702229853517051,0,0,0.101353872242604,0,0,0,0,0,0,0.213596494769154,0,0,0,0,0,0,0,0,0,0.321624139407852,0,0,0.0255988944663968,0,0,0,0.0860412508814063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0897549055727788,0.0907221589697306,0.0104623885726725,0,0,0.335212090933055,0,0,0,0,0,0,0,0,0,0.327240977908511,0,0,0,0,0.0682234330297348,0,0,0,0,0,0,0,0,0,0,0.111331832847889,0,0,-0.0886671803245924,0,0,0,0,0,0,0,-0.0572227412320213,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,-0.151608834296456,0,-0.0310415579525529,0.178447506266815,0,0,0,0.321576213211197,0,0,0,0,0,0,0.0485159838368306,0,0,-0.00731120549468672,-0.0633146602070909,0,0,0,0,0,0.0782044456718685,0.300130162637844,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.125235954016628,0.119481122034646,0,0,-0.0408814189118189,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00511675859424386,0,0,0.075593821339174,0,0,0,0,0.573441681524123,0,0.0171205687824489,0.0973133829625582,0,0,0,0,0,0,0,0,0.0260857988617489,0,0,0.193095666801852,-0.0621103952063295,0.162429395136826,0,0,0,0.115698685296701,0,0,0.133760379744696,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0119502932559184,0,0,0,0.133284575413474,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.3146009906248,0.132551346528156,0,0,0,0,0.239908863364003,0,-0.0378265007463473,0,0.38172415854419,0,0,0,0,0,0.0779028717618882,0,0,0,-0.435745311920094,0,0.150260198401033,0,0,0,0.229855498459438,-0.00339498724124026
