,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.671021632953026,0,0,0,0.00881438025776083,0,0,0.0494966274756203,0,0,0.0995849867596988,0,0,0,0,0,0,0.0272964478122358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266984701762902,0,0,0,0,0.0564086709442439,0,0,0,0,0,0,0,0,0,-0.00824666176198528
X601318.CH.EQUITY,0,0,0.0649219728628454,0.179104681656589,0,0,0,0,0.0714779138309605,0,0,0,0,0,0,0.0488396085348232,0,0.161460088812198,0,0.0139504399413091,0,0,0,0,0,0,0,0,0.0994322237256789,0,0,0,0.0288860463419941,0,0,0,0,0,0,0,0.164300750323451,0,0,0,0.0249059567368857,0.0588633921773584,0.0612819778815801,0,-1.73472347597681e-18,0,0
X601939.CH.EQUITY,0.153264623952702,0,0,0.303122403118433,0,0.251264513717531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997129303977282,0,0,0,0.0805590651061675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498038322839786,0,0,0,0
X601288.CH.EQUITY,0.164798301631109,0,0.090341185420104,0,0,0,0,0,0,0.155264485683308,0,0,0,0,0,0,0,0.12817006736104,0,0,0,0.0277101889477556,0,0,0.011815986366737,0.291759157012449,0,0.0427509956276695,0,0.0569893089647709,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
X5.HK.EQUITY,0,0.202582488103272,0,0,0,0.0413255459012864,0,0.36651759097477,0,0,0,0,0,0,0,0,0.245893048532108,0,0.115690739048868,-0.134653635409744,0,0,0,0,0.362438102750306,0,0,0,0,0.0571423936568524,0,-0.0114210031024884,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.637759580548503,-0.223410944055178,1.73472347597681e-18,0,0,-0.183612492258932
X601988.CH.EQUITY,0,0,0.0601151989478706,-1.73472347597681e-18,0.0721096686861736,0,0,0,0.0239452244146925,0,0,0,0.0270656016788848,0,0,0,0,0,0,0,0,0,0.624054841996611,0,0,0,0,0,0,0.0867137272587664,0,0,0,0,0,0,0,0,0,0,0.0460517053403517,0,0,0,0,0,0,0,0.0662773302484634,0.104026473774278,0
X600036.CH.EQUITY,0,0.0098157283475608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784532559157282,0,0,0.00547506730612234,0.0704150644207145,0,0,0,0,0,0,0,0,0,0,0,0,0.0148276019797293,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.022863317641472,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.231642134163339,0,0,0,0.221713011652894,0,0,0,0.156360307458591,0,0,0.0215208772319623,0,0,0,0,0,0,0,0.0401803529136267,0,0,0,0,0,-0.0186540280918836,0,0,-0.00877917621018355,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.130730351506467,0,0.0921748890107955,0,0,0,0,0,0,0,0,0,0,0,0.0396371405274852,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.360316827927459,0,0,0.0456160253969148,0,0,0.0801793063501725,0,0.105936613628038,0,0,0,0.0339937780701398,0,0
X601328.CH.EQUITY,0,0,0.00356083967338369,0,0,0,0.180011026205136,0,0,0,0.0299486491567662,0,0,0.14596531148807,0,0,0,0,0,0,0,0.268047742281567,0,0,0,0,0,0,0.0329413617968869,0,0,0,0.034908508792889,-0.00706776616253092,0,0,0,0,0,0.0709670089469613,0.251657214820728,0.043092035740518,0,0,0,0,0,0,0,0,-0.00397529944251229
