,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.426790363280449,0,0,0,0,0,0.00331925245042686,0,0,0,0,0.365238152892963,0,0,0,0,-0.0458182287617104,0,0,0,0,0,0,0,0,0,0.0758119901292479,0,0,0,0,0,0,0.000825505910109522,0,0,0,0,0,0,0,0,0.00467711591997258,0,0.111276929718841,0,0,0,0
X601939.CH.EQUITY,0.1436370114988,0,0,0,0,0,0,0,0,0,0,0.0262577528790961,0,0.263071213387104,0.297093285524965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116493555428157,0,0,0,0,0,0,0,0,0,0,0,0.13232777370028,0,0,0,0,0
X601318.CH.EQUITY,0,0.0852644646054619,0,0.0884246193312928,0,0,0,0,0,0,0,0,0,0,0.239884551192559,0.0598377556819693,0.0274971888241719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100208632429558,0,0.0360338286561363,0,0,0,0,0.236609432155239,0,0,0.0701228235533663,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.377893419343663,0.0839675711110043,0,0,0.313255356996935,0,0,0,0,0,0.111467420826558,0,0,0,0,0.0478483548645806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153711163577182,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.184606535928297,0,0,0,0,0,0,0.186088791008059,0,0,0.0605705825897943,0,0,0,0,0,0,0,0.0323003912194387,0,0,0,0.136935720405207,0,0,0.0166804005855839,0,0,0,0,0,0,0.0651901674567187,0,0,0,0.120361791038535,0,0,0,0,0,0.119268095098646,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.225547605640178,0,0,0.178167842663223,0,0,0,0.621722440354383,0.0704611472874173,0,0,0,0.0383149536733968,0.541663887847187,-0.681367494980123,0,0,0.200715790463474,0,0.0919779263217784,0,0,0,0,-0.088496298169629,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.215981403065811
X600036.CH.EQUITY,0.120643167232439,0,0,0.0407680047472239,0,0,0,0.00317506656391537,0,0,0,0.0713624513221965,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0931302961218201,0,0,0,0,0,0,0,0,0,0.08820693737326,0.0908868475417657,0,0.21164836014808,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0766688693455447,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0643826842592876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174507642216533,0,0,0.100647840414187,0,0,0.0778142381875148,0.078507255997919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364347368014773,0,0
X601628.CH.EQUITY,0,0.416319992506277,0,0.0410992735356901,0.179353007695219,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.113932271357279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489436110818247,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0.257977708650671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497485344892961,0,0,0,-0.129398860382876,0.216722660854287,0,0,0,0,0.418892398830189,0,0,0,0,0,0,0.944800668641463,0,0,-0.576014213214214,0,0
