,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.146448057282943,0,0.0778560200423611,0,0,0,0,0,0,0.346166898200636,0.129640566412219,0,0,0,-0.137887714146104,0,0,0,0,0,0,0,0,0,0,0,0.000998962364670703,0,0,0,0,0.172259382489195,0,0,0,0,0,0,0,0,0.127795260696678,0,0,0,0.0641111218766194,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0464250723471723,0,0,0.237854477878438,0,1.38777878078145e-17,0.152159530322644,0,0,0,0.0547401657083687,0,0,0,0,0,-0.122710828278225,0,0,0,0,0,0,0,0,0,0.181874781656105,0,0,0,0,0,0,-0.311227130187621,0,0.339869505164818,0.0396079839417066,0.198256483257087,0,0,0,0,0.0901379255049669,0,0,0
X601939.CH.EQUITY,0.484113385642672,0,0,0,0,0.178923844090236,0,0,0,0,0,0,0,0.0590661398559651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375058418404219,-0.120860358922543,0,0,0.0496636134014843,0,0,-0.0474864044462328,0,0,0,0,0
X601288.CH.EQUITY,0.577976211818108,0.0534363691384612,0.173319034019922,0,0.00359319873057671,0.040108099030522,0,0,0.045147734804846,0,0,0,0,0,0.0219167765275853,0,0,0,0,0,0,0,0,0,0,0,0.00833428688608716,0,0,0,0,0,0,0.127850727676486,0.0525971202784688,0,0,0,0.10368824545575,0,0,0,0,0,0,0,0,0,0.103039778737474,0,0
X5.HK.EQUITY,0,-0.0566255902868731,0.104100836335313,0.0920979872805822,0,0.165580640608652,0,-0.0566446842310745,0,0,0,0.273933552411516,0,0,0,0,0,0.691017021334296,0,0,0,0,0,0,0,0,-0.194723879361838,0,0,0,0,0,0,0,0.0240650669266362,0,0,0,0,0,0,0,0,0,0,0.0865599768749074,0,0,-0.0597694241395538,0,0
X601988.CH.EQUITY,0.17380712241869,0,0,0.18827608676985,0.0667449944802779,0,0,0,0.0667907377315944,0.0590102821883891,0,0,-0.414552406058554,0,0,0,0,0,0,0,0.408659625797772,0,0.00596543924229639,0,0,0,0,0,0,0,0,0,0.0118558058560742,0,0,0,0,0,0,0,0.117472443246707,0,0.074637281657566,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.153989420729369,0,0,0,0,0,0.0800981021650988,0,0,0,0,0,0.248794814944862,0,0.0482662648679635,0,0,0,0,0,0,0,0,0.0624223797792581,0,0,0,0,0,0,0.238893862361043,0,0,0,0,0.143226510961021,0,0,0,0.0465925337316637,0.104594107534121,0,0,0,0,0,0,0,0.00358764513291524,0
X1299.HK.EQUITY,0,0,0,0,0,-0.0136842686249455,0.0357255949826125,0,0,0.216211886585217,0,0,0,-0.159165603169068,-6.93889390390723e-18,0,0.288176321035468,0.240764211371262,0,0,0,0,0.0503348983878056,0,0,0,0.150376075996136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766921186020122,0,0.157185406112348,0,0,0,0,0
X601628.CH.EQUITY,0.366186161493425,0.280377855826853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315524257069787,0.00124982421412064,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190425279586714,0.0530503825584259,0,0,0,0,0,0,0,0,0,0,-0.113951037133452,0.177623976946108,0,-0.177792504023986,0,0,0
X601166.CH.EQUITY,0.0537571011468086,0,0,0,0,0,0.493993261232313,0,0,0,0,0,0,0.0199235867614724,0,0.202237613956106,0,0,0,0.0520798123283284,0,0,0,0,0,0,0,0.0355422086892104,0,0,0,0,0,0,0,0,0,0.00902857243047566,0,0,0,0,0,0.179325848940785,0,0,0,0,0,0,0
