,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.41241197809776,0,0.228170537035293,0.0382944792820244,0,0,-0.104958864590567,0,0,0,0,0,0,0,0.0310381148416171,0,0,-0.0736443202436306,-8.67361737988404e-19,0,0,0,0.0318452724575373,0,0,0,0,0,0,0,0.0891547787143697,0,0,0,0,0,0,0,0,0,0.00223197563220444,0.408730172296461,0,-0.0450152411768967,0,0,0,-0.0745292045515088,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0131390047043869,0,0,0,0.0156850539967894,0,0.0798674641003172,0,0,0,0.208372375328625,0,0,0,0,0,0,0,0,0.127741999827695,0,0,0,0.080408468828182,0,0,0.376451139383091,0,0.0545251200445296,0,0,0,0,0,0,0,0,0,0,0,0.0494391200363877,0,0
X601939.CH.EQUITY,0,0,0,0.701620522183647,0,0,0,0,0,0.0685493739038804,0,0.277726975341907,0,-0.0347165137759172,0,0.0344584311938267,0,0,0,0,0,0,0.0356984849383844,0,0,0.00223972842424152,0,0,0,0.00329991599797559,0,0,0,0,0,0.0421916663668578,0,0,0,0,0,0,0,-0.0271469257359705,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.151418264724451,0,0.85397544070391,0,0,0,0,-0.0765012398605327,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0159328983933107,0,0,0,0.037752540227157,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285496259540436,0,0,0,0,0.0245634444637128,0,0,-0.144488583870918,0,0,0,0,0,0,0,-0.0507136566251023,-0.00306564036641794
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0898532906297254,0.179822169653305,0,0,0,0,0,0,0,0.0597034117145544,0,0,0,0.0927649175334334,0,0.0360527372159103,0,0,0,0,0,0,0.165793019300726,0,0,0.280120663393639,0,0,0,0,0,0,0,0,0,0,0,0.0215963546689756,0.0557739326612051,0,0,0,0
X600036.CH.EQUITY,0.241855138745668,0.0429046199652718,0.222412112594661,0,0,0,0,0,0,0,0,0,0,0,0,0.187765653988845,0,0.0187805928749376,0,0,0,0,0,0,0,0,0,0,0,0.215059207213162,0,0,0,0,0,0,0,0,0,0,0,0.00974392519403631,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.103761467714702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567503815035263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91362241189338,0,0,0
X1299.HK.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.129946149734966,0,0,0,0.0323941215095893,-0.0572946082411209,0,0,0,0,0,-0.133256784658682,0.295178334587083,0,0,0,0,0,0,0.0482036453196641,0,-0.14030741536193,0,0,0,0,0,0.0690590931407623,0.0455303952230326,0,0,0.0731576527389299,0,0,0.255006681495412,-0.0253554306292323,0,-0.00240775789912109,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.196429859588249,0,0,0,0,0,-0.0410336260942185,0,0,0,0,0,0,0.0397279944382273,0.302994863151894,0,0,0,0.0816098231830878,0,0,0,-0.155608329579411,0,0,0.0670572055937264,0,0,0.0860212174692469,0,0,0.309009725874538,0.114266258266164,0,0.0232076679824221,0,0,0.0505242290125361,0.0025956388608037,0
X388.HK.EQUITY,0,0,0,0,0.258564824899467,0,0,0.0696976594275429,0,0,0,0,0,0,0,0.0442837305485418,0,0,0,0,0.0608794252998976,0.286961362632344,0,0,0.0338707333528264,0,0.0544527235220792,0,0,0,0,0,0,0,0,0,0,0.088755968287251,0.255770658787836,0,0,0,-0.31881820613694,1.73472347597681e-18,0,0,0.108681327228374,0,0,0,0,0
